iter	MAE
0	1068.364173
1	1044.457411
2	1020.682991
3	998.7000787
4	978.6502875
5	957.0861306
6	938.6301425
7	920.1556317
8	900.7452332
9	883.5512658
10	866.9202444
11	849.8651007
12	833.8530244
13	818.0048007
14	801.8062361
15	785.7353944
16	771.7708217
17	756.9521205
18	742.7575875
19	728.9041292
20	716.7517951
21	704.1452472
22	691.8065507
23	680.1104418
24	668.3335282
25	657.3293276
26	646.3883866
27	636.2584635
28	626.0781682
29	616.3710807
30	606.9653936
31	598.4195621
32	589.6277589
33	581.2523406
34	573.0169308
35	565.3935594
36	558.0949016
37	550.7340129
38	543.6909851
39	537.0783361
40	530.6924515
41	524.3576246
42	518.4707111
43	512.6378045
44	507.0590828
45	501.5300432
46	496.8250067
47	491.7776413
48	486.8720343
49	482.0057916
50	477.8151768
51	473.4882615
52	469.5225604
53	465.3600604
54	461.5386915
55	458.0052594
56	454.3730245
57	450.8775732
58	447.7234484
59	444.7913318
60	442.1270437
61	439.4216197
62	436.5582205
63	433.8438475
64	430.9302747
65	428.2785885
66	425.690093
67	423.2066094
68	421.0968104
69	418.6431713
70	416.5348208
71	414.4055408
72	412.4375011
73	410.3100174
74	408.6159877
75	406.9033251
76	405.0419732
77	403.0710211
78	401.1434574
79	399.3987597
80	397.9708305
81	396.4032969
82	394.8129154
83	393.3100619
84	391.8185087
85	390.3480986
86	389.1565159
87	387.9101132
88	386.5167305
89	385.4117546
90	384.1174279
91	382.8382691
92	381.7476346
93	380.5033539
94	379.3196037
95	378.3143914
96	377.4541881
97	376.3543612
98	375.4974023
99	374.5050633
100	373.7751945
101	372.9560003
102	372.2006944
103	371.3659131
104	370.8105891
105	370.145113
106	369.3870807
107	368.8911008
108	368.1996925
109	367.602969
110	366.9375691
111	366.4417346
112	365.8171069
113	365.3025656
114	364.6902213
115	364.1870416
116	363.724874
117	363.2064353
118	362.7039776
119	362.2714619
120	361.7993186
121	361.2959602
122	360.9105845
123	360.4428047
124	360.0414015
125	359.7069747
126	359.3400336
127	358.9528747
128	358.5765639
129	358.3049078
130	357.9325183
131	357.5749887
132	357.2115457
133	356.8882965
134	356.5551491
135	356.3254672
136	355.9972335
137	355.6704234
138	355.4101942
139	355.1761888
140	354.9077836
141	354.5983498
142	354.3734532
143	354.1329194
144	353.9366386
145	353.7057898
146	353.4999535
147	353.2952049
148	353.0937176
149	352.9123572
150	352.6970816
151	352.4966219
152	352.3602193
153	352.1783158
154	352.0124958
155	351.8493442
156	351.661582
157	351.5298195
158	351.3426137
159	351.2141361
160	350.9869728
161	350.8217098
162	350.6471989
163	350.5014269
164	350.3245298
165	350.1550032
166	349.9704804
167	349.8495282
168	349.6739486
169	349.526431
170	349.4312023
171	349.2896961
172	349.1524444
173	349.0168887
174	348.8710054
175	348.7849963
176	348.6406235
177	348.4912064
178	348.3511123
179	348.2456914
180	348.1265354
181	348.0038007
182	347.8951667
183	347.7565657
184	347.6439831
185	347.5456074
186	347.4182886
187	347.2907706
188	347.1848943
189	347.1108604
190	347.0101953
191	346.886859
192	346.8342651
193	346.7390809
194	346.6316665
195	346.5345305
196	346.4265974
197	346.3786842
198	346.3329145
199	346.2035821
200	346.1508282
201	346.0843172
202	346.0011103
203	345.9353091
204	345.8783009
205	345.8207304
206	345.7341687
207	345.659443
208	345.6119522
209	345.4868683
210	345.4123825
211	345.3615001
212	345.2983326
213	345.2137788
214	345.1414701
215	345.0761783
216	345.0247847
217	344.9695373
218	344.9215205
219	344.8629077
220	344.7802444
221	344.7130922
222	344.6335358
223	344.568784
224	344.5008457
225	344.4189036
226	344.365767
227	344.2831934
