iter	Passed	Remaining
0	9	18206
1	12	12284
2	16	11224
3	19	9968
4	22	8958
5	27	9034
6	30	8815
7	34	8698
8	38	8434
9	44	8894
10	47	8667
11	51	8553
12	55	8494
13	61	8699
14	66	8741
15	69	8580
16	78	9114
17	82	9106
18	89	9337
19	95	9460
20	100	9461
21	103	9303
22	110	9459
23	113	9334
24	117	9288
25	121	9230
26	128	9356
27	131	9277
28	136	9279
29	145	9566
30	149	9497
31	156	9610
32	161	9611
33	166	9609
34	171	9633
35	176	9611
36	181	9613
37	187	9668
38	190	9593
39	197	9656
40	202	9652
41	207	9664
42	212	9664
43	218	9697
44	222	9681
45	227	9669
46	232	9668
47	236	9607
48	239	9543
49	244	9542
50	249	9547
51	254	9523
52	260	9569
53	264	9531
54	270	9561
55	274	9533
56	278	9497
57	283	9500
58	289	9524
59	294	9511
60	297	9461
61	302	9443
62	305	9405
63	312	9468
64	318	9479
65	321	9434
66	327	9447
67	332	9438
68	335	9397
69	344	9490
70	348	9457
71	355	9527
72	363	9587
73	368	9581
74	373	9580
75	380	9637
76	385	9616
77	390	9613
78	393	9579
79	397	9538
80	400	9498
81	404	9459
82	408	9443
83	412	9410
84	419	9459
85	426	9498
86	431	9492
87	438	9518
88	444	9533
89	447	9500
90	452	9484
91	455	9445
92	459	9415
93	462	9379
94	467	9375
95	470	9339
96	474	9305
97	477	9275
98	481	9244
99	485	9219
100	488	9187
101	492	9171
102	496	9140
103	500	9121
104	503	9090
105	507	9063
106	510	9039
107	516	9046
108	520	9022
109	523	8999
110	529	9011
111	537	9066
112	541	9047
113	546	9033
114	549	9007
115	552	8979
116	556	8962
117	560	8947
118	564	8928
119	568	8904
120	571	8880
121	575	8861
122	579	8847
123	583	8825
124	587	8816
125	591	8803
126	595	8787
127	599	8769
128	602	8744
129	607	8732
130	610	8715
131	614	8694
132	617	8672
133	621	8660
134	625	8646
135	629	8628
136	632	8606
137	639	8626
138	643	8616
139	647	8605
140	654	8631
141	658	8617
142	662	8609
143	666	8595
144	672	8604
145	678	8618
146	682	8603
147	686	8588
148	690	8574
149	696	8586
150	701	8589
151	706	8591
152	715	8637
153	719	8626
154	729	8683
155	734	8687
156	739	8683
157	745	8687
158	750	8686
159	756	8704
160	764	8730
161	769	8731
162	773	8712
163	779	8731
164	784	8721
165	790	8730
166	796	8747
167	801	8744
168	808	8758
169	817	8798
170	821	8782
171	829	8812
172	834	8811
173	838	8796
174	844	8806
175	850	8811
176	856	8822
177	860	8810
178	866	8815
179	870	8803
180	875	8798
181	880	8798
182	884	8784
183	893	8815
184	897	8802
185	900	8786
186	905	8783
187	913	8808
188	919	8808
