iter	MAE
0	1063.828615
1	1040.09941
2	1015.772079
3	992.2746808
4	970.2114581
5	948.4945001
6	930.0307982
7	910.5921463
8	890.6429903
9	873.5551339
10	857.828067
11	839.6767945
12	823.6370747
13	807.8680523
14	794.3518778
15	781.7217721
16	766.2945446
17	752.2396352
18	738.1529288
19	724.099753
20	711.5243883
21	698.4120584
22	685.9858238
23	673.7786436
24	662.4617666
25	651.3208907
26	640.7193665
27	630.33212
28	620.2397947
29	610.8375339
30	601.5087359
31	592.3050747
32	583.5607182
33	575.1394269
34	566.9954013
35	559.2793947
36	551.7466449
37	544.6796841
38	537.9342696
39	531.7618705
40	525.2380363
41	519.275388
42	513.5045978
43	508.0338035
44	502.7856951
45	497.2983987
46	492.5307106
47	487.5523563
48	483.0449777
49	478.1692152
50	473.4621875
51	469.6648665
52	465.6276234
53	461.8398927
54	458.3450146
55	455.1253444
56	451.3457382
57	448.1473106
58	444.9387668
59	441.8533906
60	438.7089328
61	435.8900777
62	432.9308306
63	430.2497058
64	427.3734776
65	425.1150457
66	422.4813593
67	420.0571655
68	417.6887538
69	415.3794133
70	413.1146349
71	411.0290932
72	409.1331458
73	407.2353546
74	405.2953711
75	403.5452776
76	401.7782095
77	399.9132283
78	398.2495014
79	396.5530206
80	395.1803552
81	393.9637223
82	392.7221589
83	391.4642395
84	390.3221712
85	388.9946628
86	387.7002316
87	386.4250836
88	385.4182813
89	384.4154743
90	383.4331889
91	382.4000309
92	381.5215583
93	380.4056678
94	379.2570878
95	378.3036859
96	377.303707
97	376.2902234
98	375.2214989
99	374.454951
100	373.4535768
101	372.5385689
102	371.7466845
103	370.9235448
104	370.0906251
105	369.4982249
106	368.8071847
107	368.3558113
108	367.6172953
109	366.9473188
110	366.2624353
111	365.7159949
112	365.0663459
113	364.4373241
114	363.9021749
115	363.2921481
116	362.7024441
117	362.1488807
118	361.6496998
119	361.18635
120	360.6566779
121	360.259183
122	359.892493
123	359.3914075
124	359.0000206
125	358.6792921
126	358.2305055
127	357.8426528
128	357.4520777
129	357.0669814
130	356.737735
131	356.4659926
132	356.1092498
133	355.8322071
134	355.4858874
135	355.1963542
136	354.8986189
137	354.5935238
138	354.3023313
139	354.0717797
140	353.8638632
141	353.5678203
142	353.2530853
143	353.0317786
144	352.8946013
145	352.7041558
146	352.5386198
147	352.3640457
148	352.1955302
149	352.0724147
150	351.8946664
151	351.7213885
152	351.5306863
153	351.3712137
154	351.2217114
155	350.9570984
156	350.721494
157	350.5867119
158	350.3680687
159	350.2066618
160	350.0726145
161	349.9592133
162	349.8034039
163	349.6119223
164	349.474641
165	349.3158773
166	349.1617197
167	349.0244166
168	348.866526
169	348.7612403
170	348.6268905
171	348.5069833
172	348.3280738
173	348.1673524
174	348.0207979
175	347.9141025
176	347.8101374
177	347.6829211
178	347.5708378
179	347.4542997
180	347.3248518
181	347.2084333
182	347.1007173
183	346.9535766
184	346.8569267
185	346.7298464
186	346.610012
187	346.5177966
188	346.4213083
189	346.3169285
190	346.2307983
191	346.1576328
192	346.0679571
193	345.9719271
194	345.9094601
195	345.8156739
196	345.7236357
197	345.6462801
198	345.5643883
199	345.4895476
200	345.4104267
201	345.2888336
202	345.2153047
203	345.1857078
204	345.1019449
205	345.0354457
206	344.9501482
207	344.8794537
208	344.8277703
209	344.751625
