iter	Passed	Remaining
0	3	7104
1	6	6841
2	9	6585
3	13	6677
4	16	6617
5	19	6547
6	22	6455
7	26	6488
8	29	6512
9	32	6544
10	35	6445
11	38	6367
12	41	6300
13	46	6536
14	49	6553
15	54	6732
16	57	6755
17	65	7251
18	71	7420
19	74	7417
20	81	7724
21	87	7824
22	92	7968
23	98	8119
24	102	8098
25	110	8355
26	115	8403
27	120	8486
28	124	8441
29	136	8935
30	141	8998
31	148	9108
32	152	9061
33	156	9027
34	160	9030
35	166	9108
36	171	9078
37	174	9019
38	180	9100
39	185	9082
40	189	9051
41	193	9007
42	198	9054
43	203	9030
44	206	8990
45	212	9023
46	216	8990
47	220	8948
48	226	9006
49	231	9034
50	236	9028
51	243	9119
52	247	9097
53	252	9111
54	257	9119
55	263	9154
56	270	9215
57	278	9317
58	284	9357
59	288	9321
60	294	9367
61	298	9332
62	302	9305
63	307	9307
64	313	9330
65	317	9308
66	323	9330
67	331	9431
68	337	9458
69	343	9475
70	349	9485
71	355	9512
72	362	9562
73	368	9594
74	373	9588
75	378	9572
76	383	9571
77	388	9563
78	394	9580
79	397	9551
80	404	9584
81	409	9577
82	413	9549
83	418	9553
84	427	9639
85	432	9617
86	437	9612
87	442	9623
88	447	9610
89	452	9600
90	458	9627
91	464	9629
92	470	9657
93	477	9675
94	481	9650
95	488	9689
96	492	9667
97	499	9695
98	505	9714
99	509	9688
100	513	9660
101	519	9657
102	523	9632
103	526	9606
104	534	9644
105	541	9683
106	547	9677
107	554	9709
108	562	9758
109	570	9809
110	576	9813
111	580	9786
112	585	9772
113	590	9768
114	594	9752
115	600	9753
116	606	9758
117	611	9749
118	616	9747
119	621	9743
120	626	9727
121	637	9808
122	641	9791
123	646	9784
124	651	9778
125	657	9782
126	662	9775
127	667	9766
128	672	9749
129	677	9740
130	683	9755
131	689	9762
132	694	9744
133	699	9741
134	707	9777
135	715	9811
136	721	9805
137	726	9805
138	734	9830
139	738	9812
140	743	9796
141	747	9785
142	752	9770
143	756	9751
144	760	9731
145	765	9714
146	770	9711
147	774	9690
148	779	9677
149	783	9657
150	787	9636
151	790	9614
152	795	9603
153	799	9584
154	804	9581
155	810	9574
156	815	9573
157	819	9553
158	827	9585
159	831	9567
160	838	9578
161	843	9566
162	847	9546
163	850	9524
164	854	9507
165	862	9533
166	866	9515
167	870	9489
168	875	9487
169	879	9467
170	883	9446
171	886	9424
172	892	9420
173	896	9403
174	899	9382
175	903	9363
176	908	9355
177	912	9337
