iter	Passed	Remaining
0	4	10520
1	8	9617
2	16	11942
3	20	11158
4	24	10625
5	30	10974
6	34	10697
7	39	10654
8	44	10499
9	50	10807
10	54	10677
11	58	10467
12	63	10490
13	67	10330
14	71	10190
15	75	10101
16	80	10072
17	84	10008
18	88	9914
19	93	9948
20	98	10038
21	102	9960
22	108	10002
23	111	9925
24	115	9850
25	119	9781
26	124	9772
27	128	9714
28	131	9656
29	135	9567
30	139	9561
31	143	9517
32	147	9474
33	151	9432
34	156	9478
35	160	9449
36	164	9417
37	169	9414
38	173	9382
39	177	9347
40	181	9321
41	186	9363
42	190	9332
43	194	9299
44	199	9335
45	203	9314
46	207	9295
47	211	9260
48	215	9248
49	219	9229
50	223	9220
51	227	9194
52	231	9172
53	236	9197
54	241	9221
55	249	9324
56	253	9307
57	257	9289
58	263	9347
59	268	9343
60	272	9338
61	276	9318
62	280	9298
63	284	9283
64	288	9255
65	293	9285
66	298	9295
67	308	9438
68	313	9451
69	317	9439
70	321	9422
71	326	9430
72	330	9407
73	334	9384
74	339	9410
75	344	9417
76	349	9414
77	355	9441
78	359	9426
79	364	9424
80	368	9406
81	372	9398
82	377	9394
83	381	9379
84	385	9377
85	389	9360
86	394	9358
87	399	9367
88	403	9356
89	408	9354
90	413	9369
91	419	9398
92	428	9476
93	433	9485
94	437	9465
95	441	9443
96	445	9432
97	450	9428
98	454	9412
99	458	9400
100	463	9412
101	467	9397
102	471	9380
103	477	9405
104	484	9436
105	488	9420
106	492	9403
107	496	9399
108	500	9380
109	504	9363
110	508	9344
111	513	9356
112	518	9346
113	521	9326
114	525	9311
115	530	9299
116	533	9279
117	537	9263
118	541	9245
119	545	9230
120	549	9219
121	553	9204
122	557	9186
123	561	9179
124	565	9165
125	570	9161
126	573	9144
127	577	9132
128	581	9118
129	585	9102
130	589	9089
131	594	9088
132	597	9072
133	601	9056
134	605	9043
135	610	9045
136	614	9029
137	618	9015
138	622	9004
139	626	8996
140	630	8981
141	633	8968
142	637	8953
143	643	8968
144	647	8956
145	651	8945
146	657	8969
147	661	8957
148	665	8943
149	669	8931
150	674	8935
151	678	8923
152	682	8911
153	686	8897
154	691	8910
155	695	8897
156	699	8886
157	704	8884
158	708	8874
159	712	8860
160	715	8846
161	719	8833
162	723	8827
163	727	8814
164	730	8797
165	734	8783
166	740	8794
167	744	8783
168	748	8772
169	752	8767
170	756	8760
171	760	8749
172	764	8739
173	768	8732
174	772	8724
175	779	8742
176	783	8733
177	788	8741
178	792	8733
179	796	8725
180	800	8716
181	805	8715
182	809	8706
183	813	8696
184	817	8686
185	822	8686
186	826	8676
187	830	8669
188	834	8662
189	838	8653
190	842	8642
191	846	8633
192	850	8628
193	854	8619
194	858	8611
195	862	8603
196	866	8594
197	870	8586
198	874	8577
199	878	8573
200	884	8579
201	888	8573
202	892	8564
203	896	8557
204	901	8556
205	905	8549
206	909	8541
207	914	8546
208	922	8573
209	926	8562
210	932	8575
211	936	8569
212	940	8560
213	945	8557
214	950	8557
215	954	8548
216	958	8546
217	963	8539
218	966	8530
219	971	8523
220	974	8513
221	979	8512
222	983	8505
223	988	8500
224	992	8496
225	998	8507
226	1003	8501
227	1007	8494
228	1011	8489
229	1016	8489
230	1020	8482
231	1028	8504
232	1032	8496
233	1035	8485
234	1040	8485
235	1046	8489
236	1050	8480
237	1055	8484
238	1061	8489
239	1064	8479
240	1068	8469
241	1072	8461
242	1076	8454
243	1080	8444
244	1084	8435
245	1088	8425
246	1092	8421
247	1096	8410
248	1100	8404
249	1104	8394
250	1109	8395
251	1112	8386
252	1116	8377
253	1120	8370
254	1125	8366
255	1131	8374
256	1135	8368
257	1139	8363
258	1145	8368
259	1151	8373
260	1155	8368
261	1159	8362
262	1163	8353
263	1167	8347
264	1172	8342
265	1176	8335
266	1180	8326
267	1185	8326
