iter	Passed	Remaining
0	13	26878
1	19	19093
2	28	18869
3	33	16533
4	39	15637
5	47	15778
6	52	14861
7	59	14793
8	63	14106
9	73	14585
10	78	14123
11	85	14163
12	91	13946
13	95	13602
14	100	13278
15	106	13198
16	113	13223
17	119	13134
18	125	13054
19	132	13098
20	138	13050
21	142	12826
22	146	12598
23	150	12418
24	157	12411
25	163	12423
26	170	12437
27	176	12460
28	181	12364
29	187	12312
30	195	12398
31	199	12287
32	208	12406
33	213	12331
34	217	12233
35	221	12111
36	226	12007
37	232	12013
38	238	11997
39	242	11884
40	246	11770
41	250	11667
42	254	11566
43	258	11479
44	262	11385
45	266	11326
46	270	11241
47	274	11156
48	278	11084
49	282	11017
50	286	10945
51	290	10875
52	294	10803
53	300	10829
54	304	10765
55	308	10714
56	313	10676
57	317	10625
58	321	10586
59	325	10533
60	329	10482
61	333	10437
62	338	10392
63	341	10340
64	346	10305
65	350	10259
66	353	10213
67	357	10168
68	362	10131
69	366	10098
70	369	10051
71	375	10045
72	383	10124
73	390	10151
74	395	10162
75	407	10317
76	416	10396
77	423	10431
78	431	10485
79	437	10511
80	443	10508
81	447	10471
82	453	10471
83	460	10506
84	464	10472
85	470	10471
86	478	10519
87	484	10536
88	490	10521
89	498	10579
90	502	10551
91	508	10549
92	518	10626
93	525	10650
94	533	10695
95	539	10709
96	548	10764
97	553	10747
98	561	10779
99	566	10757
100	570	10735
101	576	10721
102	580	10688
103	585	10677
104	592	10685
105	598	10701
106	603	10674
107	608	10658
108	614	10655
109	620	10660
110	628	10692
111	632	10669
112	640	10698
113	645	10677
114	649	10652
115	657	10674
116	662	10670
117	667	10640
118	674	10656
119	681	10672
120	685	10650
121	692	10660
122	697	10645
123	703	10648
124	708	10624
125	716	10660
126	726	10711
127	730	10685
128	738	10706
129	742	10680
130	750	10703
131	755	10696
132	763	10712
133	770	10724
134	774	10697
135	784	10746
136	791	10761
137	798	10767
138	802	10744
139	808	10739
140	816	10766
141	823	10769
142	830	10779
143	834	10759
144	839	10746
145	844	10722
146	851	10729
147	855	10709
148	861	10704
149	868	10715
150	875	10726
151	880	10707
152	885	10690
153	889	10665
154	895	10664
155	900	10649
156	905	10628
157	910	10612
158	916	10608
159	921	10602
160	927	10597
161	932	10582
162	939	10589
163	949	10634
164	954	10611
165	959	10597
166	963	10574
167	967	10548
168	971	10528
169	977	10522
170	983	10520
171	993	10555
172	998	10547
173	1004	10541
174	1010	10542
175	1014	10517
176	1019	10499
177	1023	10475
178	1029	10468
179	1033	10448
180	1040	10459
181	1047	10465
182	1052	10452
183	1059	10454
184	1064	10446
185	1071	10449
186	1079	10468
187	1083	10446
188	1090	10444
189	1094	10423
190	1100	10420
191	1105	10414
192	1111	10407
193	1117	10402
194	1122	10394
195	1132	10423
196	1137	10412
197	1142	10394
198	1146	10373
199	1149	10349
200	1155	10341
201	1158	10313
202	1162	10293
203	1166	10267
204	1171	10257
205	1175	10235
206	1179	10214
207	1183	10196
208	1187	10179
209	1191	10155
210	1195	10136
211	1199	10116
212	1204	10105
213	1208	10087
214	1212	10068
215	1218	10061
216	1222	10043
217	1227	10032
218	1231	10013
219	1235	9997
220	1239	9977
221	1243	9959
222	1248	9947
223	1252	9930
224	1256	9916
225	1260	9896
226	1264	9879
227	1268	9860
228	1272	9844
229	1278	9835
230	1285	9843
231	1290	9833
232	1297	9841
233	1303	9836
234	1309	9836
235	1318	9858
236	1333	9917
237	1338	9907
238	1343	9900
239	1349	9899
240	1358	9917
241	1368	9940
242	1373	9930
243	1377	9916
244	1383	9911
245	1388	9902
246	1396	9908
247	1402	9906
248	1408	9907
249	1414	9902
250	1422	9909
251	1433	9944
252	1445	9979
253	1458	10028
254	1477	10107
255	1491	10163
256	1497	10155
257	1513	10216
258	1518	10209
259	1529	10233
260	1534	10225
261	1543	10239
262	1548	10228
263	1559	10252
264	1568	10267
265	1575	10269
266	1585	10288
267	1593	10299
268	1598	10289
269	1603	10271
270	1609	10270
271	1618	10283
272	1627	10293
273	1640	10333
274	1645	10321
275	1650	10312
276	1655	10299
277	1660	10283
278	1666	10276
279	1671	10266
280	1676	10255
281	1682	10247
282	1688	10246
283	1693	10232
284	1706	10267
285	1712	10264
286	1720	10268
287	1725	10254
288	1729	10237
289	1735	10234
290	1741	10230
291	1746	10217
292	1752	10208
293	1757	10196
294	1763	10190
295	1768	10179
296	1774	10176
297	1778	10160
298	1787	10167
299	1792	10154
300	1802	10173
301	1807	10160
302	1813	10154
303	1817	10141
304	1825	10142
305	1834	10154
306	1841	10157
307	1849	10161
308	1854	10148
309	1859	10136
310	1866	10138
311	1870	10121
312	1875	10106
313	1881	10103
314	1886	10091
315	1891	10077
316	1899	10083
317	1905	10077
318	1912	10077
319	1917	10066
320	1922	10054
321	1929	10053
322	1934	10046
323	1947	10072
324	1953	10068
325	1959	10061
326	1966	10059
327	1970	10044
328	1978	10048
329	1984	10040
330	1991	10040
331	1995	10026
332	2002	10023
333	2008	10019
334	2015	10018
335	2022	10018
336	2027	10007
337	2032	9994
338	2037	9983
339	2046	9993
340	2052	9986
341	2059	9983
342	2066	9981
343	2072	9974
344	2082	9990
345	2089	9988
346	2093	9974
347	2098	9959
348	2102	9944
349	2107	9935
350	2112	9924
351	2116	9909
352	2121	9896
353	2125	9881
354	2130	9870
355	2135	9862
356	2142	9860
357	2147	9848
358	2152	9839
359	2156	9825
360	2160	9810
361	2164	9795
362	2170	9788
363	2174	9773
364	2178	9759
365	2183	9748
366	2188	9736
367	2192	9721
368	2196	9707
369	2200	9692
370	2204	9679
371	2208	9666
372	2212	9652
373	2218	9645
374	2222	9630
375	2226	9617
376	2230	9603
377	2235	9592
378	2240	9581
379	2245	9574
380	2252	9570
381	2258	9565
382	2263	9555
383	2268	9548
384	2273	9538
385	2279	9529
386	2285	9524
387	2289	9512
388	2293	9500
389	2298	9490
390	2303	9477
391	2307	9464
392	2311	9452
393	2316	9441
394	2324	9444
395	2330	9440
396	2334	9427
397	2338	9414
398	2343	9405
399	2351	9404
400	2358	9404
401	2364	9398
402	2368	9386
403	2374	9379
404	2378	9366
405	2383	9356
406	2386	9342
407	2392	9335
408	2398	9330
409	2402	9317
410	2406	9303
411	2411	9293
412	2415	9281
413	2419	9267
414	2423	9255
415	2427	9242
416	2431	9230
417	2436	9219
418	2440	9208
419	2444	9195
420	2448	9183
421	2452	9171
422	2458	9164
423	2462	9152
424	2468	9148
425	2475	9145
426	2482	9144
427	2487	9136
428	2491	9123
429	2496	9114
430	2505	9121
431	2510	9112
432	2514	9100
433	2520	9094
434	2524	9082
435	2528	9071
436	2533	9061
437	2537	9050
438	2541	9037
439	2545	9025
440	2549	9014
441	2554	9003
442	2558	8992
443	2562	8980
444	2568	8974
445	2572	8963
446	2576	8952
447	2581	8943
448	2586	8934
449	2594	8938
450	2601	8934
451	2608	8932
452	2612	8920
453	2616	8910
454	2620	8899
455	2625	8888
456	2630	8883
457	2636	8877
458	2640	8866
459	2647	8862
460	2651	8852
461	2655	8841
462	2659	8830
463	2664	8819
464	2668	8808
465	2672	8797
466	2676	8786
467	2681	8777
468	2685	8766
469	2689	8754
470	2693	8742
471	2697	8733
472	2701	8721
473	2705	8709
474	2708	8697
475	2714	8692
476	2718	8681
477	2722	8669
478	2726	8657
479	2731	8650
480	2735	8639
481	2739	8628
482	2743	8618
483	2748	8609
484	2752	8598
485	2756	8588
486	2763	8587
