iter	RMSE
0	2.037428347
1	1.942453156
2	1.852567805
3	1.767289265
4	1.686624582
5	1.610398966
6	1.537355963
7	1.467326727
8	1.401804087
9	1.33951991
10	1.279598236
11	1.224239702
12	1.170439128
13	1.118601143
14	1.071747545
15	1.025408396
16	0.981831873
17	0.9407016891
18	0.9007897642
19	0.8631832262
20	0.8274551261
21	0.7936741309
22	0.7609468688
23	0.7294707839
24	0.7008909029
25	0.6731410258
26	0.646691312
27	0.6221460417
28	0.5988811293
29	0.5765046698
30	0.5562444048
31	0.5360531475
32	0.5168135005
33	0.4986097569
34	0.4820307999
35	0.4653335262
36	0.4498537847
37	0.435964556
38	0.4224379216
39	0.4100330099
40	0.3979130332
41	0.3868608383
42	0.3767493067
43	0.366946672
44	0.3578549476
45	0.3488626366
46	0.3405653094
47	0.3333006134
48	0.3263890526
49	0.3199300148
50	0.313329066
51	0.3067543284
52	0.3000783131
53	0.2942270961
54	0.2886435802
55	0.2836307225
56	0.2793769801
57	0.2753964398
58	0.2709355773
59	0.2669472014
60	0.2629240331
61	0.2594225145
62	0.2561996071
63	0.2527893147
64	0.2497987134
65	0.2475674987
66	0.2446079175
67	0.2418923216
68	0.2394617615
69	0.2369875596
70	0.2343779028
71	0.2321213129
72	0.2300382263
73	0.2284621769
74	0.2265908463
75	0.2248613126
76	0.2232787038
77	0.2216560443
78	0.2201221147
79	0.2188946746
80	0.2172477789
81	0.2160960512
82	0.2149048198
83	0.2139388146
84	0.2129666885
85	0.2115614075
86	0.2105948636
87	0.2096405734
88	0.2087218326
89	0.2079745262
90	0.2069149851
91	0.2061989807
92	0.2054728946
93	0.2047309807
94	0.2036429819
95	0.2029774347
96	0.2019014165
97	0.2011645332
98	0.2004888452
99	0.1998464669
100	0.199173985
101	0.1988531726
102	0.1983363398
103	0.1978948963
104	0.1975207516
105	0.1967025205
106	0.196081189
107	0.1956439425
108	0.1953427107
109	0.1947036358
110	0.1943184908
111	0.1937949521
112	0.1933295307
113	0.1927791706
114	0.1923867591
115	0.1919794843
116	0.1914969958
117	0.191151962
118	0.1907160501
119	0.1902853877
120	0.1898653182
121	0.1893768914
122	0.189145357
123	0.1887525971
124	0.1882098086
125	0.1872611248
126	0.1867064743
127	0.1861763924
128	0.1859477749
129	0.1856489899
130	0.1853643281
131	0.1851125276
132	0.1846448321
133	0.1842769623
134	0.183824217
135	0.1836348442
136	0.1832074194
137	0.1825183323
138	0.1824214598
139	0.1823016883
140	0.1819994002
141	0.1817804344
142	0.1815676486
143	0.181420735
144	0.1812802621
145	0.181168608
146	0.1810092748
147	0.1805095931
148	0.1803726411
149	0.1801824135
150	0.1798223247
151	0.1794234863
152	0.1793027288
153	0.1791380838
154	0.1790130061
155	0.1786166022
156	0.1784575474
157	0.1782568174
158	0.1780829886
159	0.1775016931
160	0.1772324803
161	0.1768760029
162	0.1767840164
163	0.1764663692
164	0.1762004571
165	0.1758536901
166	0.1757988312
167	0.1756635072
168	0.1754575209
169	0.175217533
170	0.1751401468
171	0.1750517281
172	0.1749894419
173	0.174886943
174	0.1748225886
175	0.1745996064
176	0.1743878319
177	0.1741664015
178	0.1739045304
179	0.1736783647
180	0.1736149458
181	0.173474857
182	0.1730420822
183	0.1729270888
184	0.172838272
185	0.1726104522
186	0.1724889149
187	0.1723456835
188	0.17227202
189	0.1720812813
190	0.172000943
191	0.1719057592
192	0.1717422472
193	0.1716526962
194	0.1715826685
195	0.1714606788
196	0.1713493345
197	0.1712681798
198	0.1711666424
199	0.1710510033
200	0.170961638
201	0.1708791553
202	0.1703270069
203	0.1702489401
204	0.1697601532
205	0.1695236495
206	0.1693812458
207	0.1691341004
208	0.1689049012
209	0.1688086071
210	0.168710899
211	0.1685654963
212	0.1683307252
