iter	Passed	Remaining
0	33	13498
1	75	15023
2	116	15480
3	151	14992
4	190	15015
5	232	15282
6	272	15301
7	319	15674
8	357	15529
9	392	15311
10	420	14855
11	446	14435
12	472	14061
13	500	13806
14	530	13604
15	557	13384
16	593	13377
17	636	13513
18	679	13626
19	716	13615
20	761	13749
21	800	13750
22	849	13919
23	883	13847
24	928	13934
25	970	13964
26	1014	14016
27	1051	13965
28	1097	14041
29	1138	14046
30	1172	13956
31	1212	13947
32	1253	13937
33	1289	13876
34	1326	13836
35	1379	13944
36	1411	13846
37	1438	13702
38	1470	13613
39	1497	13479
40	1526	13369
41	1554	13252
42	1594	13238
43	1638	13257
44	1682	13271
45	1732	13329
46	1783	13397
47	1832	13440
48	1886	13513
49	1927	13492
50	1976	13527
51	2018	13511
52	2070	13555
53	2111	13531
54	2175	13647
55	2218	13628
56	2260	13605
57	2294	13529
58	2339	13521
59	2384	13514
60	2420	13451
61	2452	13369
62	2487	13305
63	2516	13212
64	2548	13134
65	2575	13032
66	2604	12947
67	2634	12864
68	2664	12783
69	2693	12699
70	2720	12603
71	2745	12505
72	2772	12420
73	2798	12327
74	2822	12230
75	2848	12142
76	2876	12065
77	2903	11986
78	2937	11934
79	2962	11848
80	2987	11767
81	3014	11689
82	3041	11618
83	3067	11541
84	3093	11464
85	3120	11393
86	3145	11317
87	3169	11235
88	3194	11163
89	3218	11086
90	3251	11041
91	3275	10966
92	3301	10897
93	3321	10812
94	3351	10759
95	3375	10689
96	3404	10635
97	3434	10585
98	3459	10517
99	3487	10462
100	3514	10402
101	3540	10343
102	3564	10276
103	3589	10217
104	3616	10159
105	3639	10094
106	3668	10045
107	3693	9986
108	3716	9921
109	3746	9877
110	3777	9835
111	3803	9779
112	3831	9731
113	3860	9684
114	3883	9624
115	3918	9593
116	3962	9584
117	3991	9538
118	4014	9478
119	4043	9435
120	4078	9403
121	4126	9402
122	4156	9359
123	4199	9347
124	4239	9326
125	4287	9323
126	4327	9301
127	4357	9258
128	4399	9241
129	4442	9227
130	4493	9227
131	4527	9191
132	4561	9158
133	4602	9135
134	4641	9110
135	4678	9080
136	4715	9051
137	4753	9025
138	4785	8985
139	4819	8951
140	4856	8920
141	4901	8904
142	4925	8852
143	4954	8807
144	4987	8771
145	5010	8717
146	5036	8667
147	5068	8630
148	5108	8604
149	5142	8571
150	5181	8543
151	5222	8521
152	5257	8487
153	5295	8458
154	5331	8427
155	5368	8397
156	5407	8369
157	5446	8341
158	5493	8326
159	5530	8296
160	5565	8261
161	5613	8246
162	5650	8216
163	5686	8183
164	5727	8157
165	5774	8139
166	5805	8100
167	5843	8069
168	5882	8040
169	5912	7999
170	5939	7953
171	5963	7905
172	5985	7854
173	6021	7821
