iter	Logloss
0	0.6834951398
1	0.6722576482
2	0.6633673713
3	0.6533490703
4	0.6426478943
5	0.6332277861
6	0.6243732256
7	0.6141772494
8	0.6060189254
9	0.59657675
10	0.5877516321
11	0.5790273849
12	0.571588051
13	0.564339172
14	0.556896837
15	0.5496735138
16	0.5431687883
17	0.5349971055
18	0.5287673272
19	0.5229321106
20	0.5169625846
21	0.5111240047
22	0.5034455622
23	0.4980483063
24	0.4916424574
25	0.4857765936
26	0.4802089924
27	0.4758665147
28	0.4711672391
29	0.4668133866
30	0.4614904797
31	0.4578185444
32	0.4526474553
33	0.448158868
34	0.4431209831
35	0.4398191431
36	0.4357156068
37	0.4325778173
38	0.4288067821
39	0.4260380679
40	0.4217042132
41	0.4174470219
42	0.4141794552
43	0.4098724411
44	0.4072603162
45	0.4039564587
46	0.4002478809
47	0.3960316032
48	0.3919628195
49	0.3893641683
50	0.3853677644
51	0.3820577676
52	0.3789959333
53	0.3764119294
54	0.3733456409
55	0.3703105804
56	0.3681871012
57	0.3661465023
58	0.3637145612
59	0.3610835032
60	0.3581997819
61	0.3558967452
62	0.3533972004
63	0.3517663937
64	0.3492802976
65	0.3472481054
66	0.3453774454
67	0.343406384
68	0.3412675817
69	0.3394872912
70	0.3380567031
71	0.3365057437
72	0.3343499501
73	0.3323804683
74	0.3305673565
75	0.3283670454
76	0.326595684
77	0.324591291
78	0.3230534694
79	0.3214086316
80	0.3197087689
81	0.3179513258
82	0.3163917904
83	0.3148316764
84	0.3139295305
85	0.3126914616
86	0.3110549955
87	0.3095111691
88	0.3084449347
89	0.3075018096
90	0.3061222228
91	0.3052033246
92	0.3037529573
93	0.3024496704
94	0.3010237928
95	0.300001933
96	0.2987402272
97	0.2970805606
98	0.2961648204
99	0.294557162
100	0.293419641
101	0.2924442903
102	0.2913907648
103	0.2905657012
104	0.2897195819
105	0.2888162545
106	0.288206912
107	0.2867574681
108	0.2857254559
109	0.2848755266
110	0.2840103797
111	0.2829410978
112	0.2818149233
113	0.2808859294
114	0.2806005378
115	0.2791827792
116	0.2784191554
117	0.2772867083
118	0.2761803091
119	0.275468014
120	0.2744912585
121	0.2735049673
122	0.2726516805
123	0.2715821958
124	0.2706754721
125	0.2699872829
126	0.2690559713
127	0.2681794683
128	0.2675175665
129	0.266503872
130	0.2657123124
131	0.2647271311
132	0.2639641294
133	0.2627941447
134	0.2621182445
135	0.2615987932
136	0.2611129599
137	0.2602338145
138	0.259525738
139	0.2586643153
140	0.2580702992
141	0.2572853507
142	0.2567352326
143	0.2558677941
144	0.2551766561
145	0.2545434406
146	0.2538334904
147	0.2530625877
148	0.2524199773
149	0.2517743127
150	0.2512845688
151	0.2508042008
152	0.2502389242
153	0.2495158159
154	0.2488965511
155	0.248498276
156	0.2477327144
157	0.2471802579
158	0.2468471882
159	0.2463419698
160	0.2457343112
161	0.245244595
162	0.244559199
163	0.2436805514
164	0.2434850708
165	0.2429741422
166	0.2420446966
167	0.2414790801
168	0.2409627725
169	0.2403152038
170	0.2398748859
171	0.2391331488
172	0.2386403388
173	0.2379757758
174	0.2374656979
175	0.2372685655
176	0.2367061098
177	0.2363812061
178	0.2356426388
179	0.2352477707
180	0.2344902473
181	0.2339280785
182	0.2336041162
183	0.2332751799
184	0.2329002526
185	0.2325476546
186	0.2320632934
187	0.2316219946
188	0.2311759799
189	0.2308861526
190	0.2302200348
191	0.2299740008
192	0.2292719975
193	0.228952004
194	0.2285195492
195	0.2281647936
196	0.2275848108
197	0.2271025767
198	0.2267206974
199	0.2262961089
200	0.226000902
201	0.2254637291
202	0.2252238682
203	0.2248456705
204	0.2244040281
205	0.2241216656
206	0.2237436991
207	0.2235095825
208	0.2230414722
209	0.2224067275
210	0.221960849
211	0.2214931934
212	0.2212181313
213	0.220722241
214	0.2202686838
215	0.2198239611
216	0.2192624292
