iter	Passed	Remaining
0	3	3549
1	7	3564
2	9	3028
3	11	2766
4	13	2605
5	15	2499
6	17	2413
7	18	2333
8	21	2342
9	23	2351
10	25	2307
11	27	2255
12	29	2218
13	30	2182
14	32	2154
15	34	2129
16	36	2132
17	38	2120
18	40	2107
19	43	2112
20	45	2100
21	47	2101
22	49	2120
23	53	2166
24	55	2154
25	57	2141
26	59	2130
27	61	2129
28	63	2120
29	66	2163
30	71	2223
31	72	2188
32	75	2211
33	77	2202
34	79	2190
35	81	2194
36	84	2193
37	86	2185
38	88	2179
39	90	2162
40	93	2177
41	95	2169
42	98	2184
43	101	2196
44	102	2173
45	104	2167
46	106	2169
47	108	2161
48	110	2154
49	114	2170
50	116	2160
51	118	2151
52	120	2147
53	122	2145
54	124	2139
55	126	2133
56	128	2130
57	132	2147
58	134	2149
59	137	2155
60	142	2195
61	146	2213
62	148	2210
63	150	2205
64	153	2201
65	155	2195
66	157	2193
67	159	2191
68	162	2190
69	164	2185
70	166	2180
71	168	2175
72	171	2173
73	173	2171
74	176	2176
75	178	2173
76	181	2172
77	184	2175
78	186	2171
79	188	2167
80	191	2167
81	194	2174
82	196	2174
83	199	2170
84	201	2166
85	203	2161
86	205	2158
87	208	2159
88	210	2153
89	213	2159
90	215	2153
91	217	2148
92	220	2153
93	223	2152
94	226	2159
95	229	2156
96	231	2153
97	233	2148
98	235	2147
99	238	2150
100	241	2146
101	243	2141
102	245	2136
103	247	2132
104	249	2130
105	254	2143
106	256	2140
107	258	2138
108	261	2134
109	263	2131
110	265	2128
111	269	2138
112	272	2135
113	274	2131
114	275	2117
115	277	2114
116	279	2110
117	282	2108
118	284	2106
119	286	2103
120	289	2101
121	291	2099
122	294	2096
123	296	2093
124	298	2092
125	301	2088
126	303	2086
127	305	2083
128	308	2081
129	310	2078
130	313	2080
131	315	2077
132	318	2073
133	320	2070
134	322	2068
135	325	2066
136	329	2072
137	331	2072
138	334	2069
139	336	2067
140	339	2066
141	341	2062
142	344	2064
143	347	2063
144	349	2060
145	351	2057
146	354	2055
147	356	2051
148	360	2056
149	362	2053
150	366	2061
151	369	2059
152	371	2057
153	375	2062
154	377	2060
155	380	2058
156	383	2058
157	389	2073
158	391	2071
159	394	2069
160	398	2074
161	401	2078
162	405	2083
163	408	2080
164	409	2072
165	411	2068
166	414	2066
167	416	2062
168	419	2060
169	422	2061
170	424	2059
171	427	2056
172	429	2053
173	431	2050
174	434	2047
175	437	2046
176	439	2044
177	442	2041
178	444	2038
179	446	2036
180	449	2033
181	454	2041
182	456	2038
183	458	2035
184	461	2032
185	463	2029
186	467	2033
187	470	2031
188	472	2028
189	475	2025
190	477	2023
191	480	2021
192	486	2033
193	488	2030
194	491	2028
195	494	2029
196	497	2028
197	501	2031
198	504	2028
199	506	2025
200	508	2022
201	511	2019
202	513	2017
203	516	2015
204	519	2012
205	521	2009
206	523	2007
207	526	2004
208	528	2000
209	532	2003
210	535	2003
211	538	2000
212	541	2001
213	544	1999
214	548	2002
215	551	2000
216	554	1999
217	556	1995
218	558	1992
219	561	1991
220	564	1989
221	566	1986
222	569	1982
223	571	1979
224	573	1976
225	576	1975
226	581	1978
227	584	1978
228	587	1977
229	593	1986
230	601	2002
231	606	2008
232	610	2008
233	613	2007
234	616	2005
235	620	2009
236	623	2006
237	628	2011
238	630	2008
239	635	2013
240	641	2020
241	644	2018
242	647	2016
243	651	2017
244	657	2024
245	661	2027
246	666	2032
247	675	2048
248	678	2045
249	680	2042
250	683	2039
251	687	2039
252	690	2037
253	692	2034
254	695	2031
255	699	2032
256	705	2039
257	708	2036
258	714	2043
259	717	2042
260	721	2043
261	726	2045
262	730	2046
263	732	2043
264	736	2041
265	739	2039
266	741	2035
267	745	2036
268	748	2034
269	751	2032
270	756	2035
271	762	2041
272	765	2039
273	769	2040
274	779	2055
275	783	2054
276	785	2050
277	788	2047
278	791	2044
279	795	2046
280	799	2045
281	802	2042
282	804	2039
283	808	2038
284	813	2040
285	817	2041
286	820	2038
287	823	2035
288	827	2036
289	830	2032
290	833	2030
291	835	2026
292	839	2025
293	841	2021
294	844	2018
295	847	2015
296	849	2011
297	852	2007
298	857	2009
299	859	2005
300	863	2004
301	867	2005
302	871	2005
303	874	2003
304	877	1999
305	880	1996
306	883	1993
307	890	2000
308	893	1999
309	896	1995
310	899	1992
311	904	1995
312	908	1994
313	911	1990
314	914	1987
315	917	1985
316	922	1987
317	925	1984
318	927	1980
319	931	1978
320	934	1975
321	937	1973
322	939	1969
323	942	1966
324	946	1965
325	951	1966
326	958	1971
327	961	1970
328	965	1969
329	968	1967
330	973	1966
331	978	1968
332	983	1970
333	986	1967
334	990	1965
335	993	1962
336	996	1960
337	998	1956
338	1001	1953
339	1005	1951
340	1009	1950
341	1012	1948
342	1016	1947
343	1019	1944
344	1022	1940
345	1024	1936
346	1027	1933
347	1030	1931
348	1035	1930
349	1038	1928
350	1045	1933
351	1050	1933
352	1053	1930
353	1055	1926
354	1060	1925
355	1064	1925
356	1069	1926
357	1072	1923
358	1076	1921
359	1079	1918
360	1082	1915
361	1086	1914
362	1100	1931
363	1103	1927
364	1118	1945
365	1136	1968
366	1158	1997
367	1160	1993
368	1174	2008
369	1178	2007
370	1190	2017
371	1207	2038
372	1210	2034
373	1214	2033
374	1219	2032
375	1223	2030
376	1226	2027
377	1229	2023
378	1243	2037
379	1259	2054
380	1262	2050
381	1269	2054
382	1278	2058
383	1283	2058
384	1289	2060
385	1294	2058
386	1298	2056
387	1300	2052
388	1306	2051
389	1314	2056
390	1318	2053
391	1321	2049
392	1329	2053
393	1332	2049
394	1335	2045
395	1339	2043
396	1347	2046
397	1351	2043
398	1356	2042
399	1360	2041
400	1363	2036
401	1368	2036
402	1372	2033
403	1378	2033
404	1381	2029
405	1384	2025
406	1386	2020
407	1389	2016
408	1394	2014
409	1397	2011
410	1404	2012
411	1410	2013
412	1414	2009
413	1416	2005
414	1421	2004
415	1425	2001
416	1428	1997
417	1431	1993
418	1434	1988
419	1437	1984
420	1440	1981
421	1446	1980
422	1449	1977
423	1451	1972
424	1456	1970
425	1463	1972
426	1469	1972
427	1472	1967
428	1482	1972
429	1488	1972
430	1492	1970
431	1498	1969
432	1506	1972
433	1510	1970
434	1514	1967
435	1518	1964
436	1526	1966
437	1529	1962
438	1535	1962
439	1538	1958
440	1546	1959
441	1549	1955
442	1553	1953
443	1559	1953
444	1562	1948
445	1568	1948
446	1571	1944
447	1582	1949
448	1586	1947
449	1590	1943
450	1595	1941
451	1606	1947
452	1611	1945
