iter	Logloss
0	0.6826140353
1	0.6708598
2	0.6613154549
3	0.6507253706
4	0.6396391307
5	0.6297271057
6	0.6197718494
7	0.60900622
8	0.5995227267
9	0.5896430301
10	0.5795021469
11	0.5707629024
12	0.5629546689
13	0.555708412
14	0.5484301004
15	0.5409917319
16	0.5340888264
17	0.52575964
18	0.5193237033
19	0.5132397051
20	0.5072148746
21	0.5012959324
22	0.4937170105
23	0.4882607377
24	0.4822112328
25	0.4761105622
26	0.4706100327
27	0.4662317853
28	0.4614735435
29	0.4577197061
30	0.4528344408
31	0.449063082
32	0.4446701204
33	0.4398055451
34	0.4357513402
35	0.431570171
36	0.4278408381
37	0.4244591047
38	0.4203217357
39	0.4160569515
40	0.4123600465
41	0.4090767157
42	0.4053932383
43	0.4012630814
44	0.3976879523
45	0.3948182771
46	0.3908880775
47	0.3875878949
48	0.3851866608
49	0.3821996684
50	0.3790901131
51	0.3759932548
52	0.3723878097
53	0.3699272881
54	0.3673508545
55	0.3651017708
56	0.361550545
57	0.3593180943
58	0.3569483344
59	0.3544934004
60	0.3523552896
61	0.3494435552
62	0.3473540481
63	0.3456569342
64	0.3434699041
65	0.341427737
66	0.3393214055
67	0.3375618767
68	0.3348675993
69	0.3334229685
70	0.3317137426
71	0.3297008302
72	0.3281716407
73	0.3268833341
74	0.325384743
75	0.3240301705
76	0.322006785
77	0.3205033905
78	0.3192442966
79	0.3178501953
80	0.3161174181
81	0.3149358149
82	0.3137377232
83	0.3125135348
84	0.3114968758
85	0.3099411616
86	0.3085334012
87	0.3077310492
88	0.3062560835
89	0.3045294359
90	0.3032022272
91	0.3018752449
92	0.30104265
93	0.3001093472
94	0.2986002327
95	0.2974107901
96	0.2962311109
97	0.2953607064
98	0.2946320766
99	0.2935889435
100	0.292598654
101	0.291528998
102	0.2903406844
103	0.2896112226
104	0.2882838691
105	0.287438275
106	0.2867640309
107	0.2857483863
108	0.2849947527
109	0.2838492066
110	0.2830651866
111	0.2821297838
112	0.281287046
113	0.2803780377
114	0.2796109484
115	0.2786262386
116	0.2776388911
117	0.2766716438
118	0.2757213825
119	0.2748656867
120	0.2743345803
121	0.2737448829
122	0.2727999877
123	0.271863792
124	0.2710037355
125	0.2702839123
126	0.2695563932
127	0.2689001011
128	0.2681885605
129	0.2673531279
130	0.2669112847
131	0.2658793285
132	0.265079947
133	0.2645406955
134	0.2638141105
135	0.2632372549
136	0.2622210585
137	0.2614969132
138	0.26102294
139	0.2603179829
140	0.2595806004
141	0.2590792043
142	0.2584438017
143	0.2578892971
144	0.2573703823
145	0.2569842276
146	0.2563121149
147	0.2556055173
148	0.2551979774
149	0.2544838058
150	0.2541726195
151	0.2537481154
152	0.2529794013
153	0.252305837
154	0.2518154262
155	0.2511673501
156	0.2506266217
157	0.2500648513
158	0.2494978245
159	0.249022507
160	0.2483013293
161	0.2479720222
162	0.2472629081
163	0.246546497
164	0.2460950826
165	0.2456024291
166	0.245019607
167	0.2446596714
168	0.244123037
169	0.2435993811
170	0.2433164263
171	0.2428102304
172	0.2424250306
173	0.241772297
174	0.2412209727
175	0.2407322003
176	0.2401933406
177	0.2396327242
178	0.2392463136
179	0.2387431995
180	0.2383635966
181	0.2378947461
182	0.2373050554
183	0.2367357563
184	0.2364339829
185	0.2359882074
186	0.2356406949
187	0.235176105
188	0.2346618119
189	0.2342433865
190	0.2338460103
191	0.2334586194
192	0.2331572498
193	0.2327155582
194	0.2321779717
195	0.2318634701
196	0.2314550479
197	0.231225832
198	0.2309908118
199	0.230321793
200	0.2299300933
201	0.2296150007
202	0.229318148
203	0.2288158505
204	0.2284144958
205	0.2279216351
