iter	Passed	Remaining
0	2	2493
1	4	2324
2	6	2246
3	9	2446
4	11	2367
5	14	2472
6	16	2405
7	19	2364
8	21	2316
9	24	2420
10	26	2381
11	28	2340
12	33	2529
13	35	2505
14	38	2510
15	40	2508
16	43	2491
17	45	2469
18	49	2557
19	51	2531
20	53	2498
21	55	2478
22	58	2463
23	59	2439
24	61	2413
25	63	2396
26	66	2381
27	69	2427
28	73	2470
29	75	2456
30	78	2445
31	79	2402
32	81	2389
33	83	2383
34	85	2370
35	89	2405
36	92	2395
37	94	2383
38	96	2373
39	98	2359
40	100	2349
41	103	2367
42	106	2377
43	109	2370
44	111	2360
45	113	2359
46	116	2354
47	118	2346
48	121	2353
49	123	2349
50	125	2340
51	128	2336
52	130	2327
53	132	2318
54	136	2341
55	138	2333
56	140	2329
57	142	2322
58	145	2314
59	147	2309
60	151	2330
61	153	2324
62	156	2321
63	158	2317
64	160	2312
65	163	2306
66	166	2323
67	169	2319
68	171	2313
69	173	2310
70	176	2304
71	178	2300
72	182	2314
73	184	2313
74	187	2309
75	189	2305
76	191	2299
77	194	2294
78	197	2302
79	199	2298
80	202	2294
81	204	2291
82	207	2291
83	210	2291
84	212	2290
85	215	2285
86	217	2280
87	219	2275
88	221	2270
89	224	2265
90	228	2279
91	230	2278
92	233	2273
93	235	2267
94	237	2263
95	239	2258
96	244	2278
97	247	2274
98	249	2270
99	251	2266
100	254	2262
101	256	2257
102	258	2255
103	263	2266
104	265	2262
105	267	2260
106	270	2256
107	273	2258
108	276	2259
109	278	2257
110	282	2265
111	286	2271
112	289	2272
113	292	2270
114	294	2267
115	297	2264
116	299	2259
117	301	2256
118	304	2251
119	308	2260
120	310	2255
121	312	2251
122	317	2263
123	322	2281
124	327	2293
125	330	2295
126	333	2293
127	337	2299
128	344	2327
129	347	2324
130	350	2325
131	359	2361
132	365	2380
133	373	2412
134	377	2419
135	382	2427
136	389	2456
137	393	2455
138	395	2452
139	399	2451
140	403	2458
141	406	2456
142	410	2462
143	413	2458
144	415	2452
145	419	2450
146	423	2456
147	426	2456
148	429	2454
149	432	2451
150	440	2474
151	445	2486
152	448	2483
153	451	2478
154	453	2474
155	456	2472
156	461	2478
157	466	2484
158	469	2481
159	473	2484
160	477	2487
161	480	2485
162	484	2488
163	487	2484
164	490	2482
165	494	2482
166	500	2497
167	504	2499
168	507	2494
169	511	2496
170	517	2509
171	521	2510
172	524	2508
173	528	2507
174	531	2506
175	536	2513
176	540	2514
177	546	2522
178	552	2532
179	555	2530
180	558	2525
181	561	2525
182	567	2532
183	578	2565
184	581	2562
185	586	2567
186	591	2571
187	594	2568
188	597	2563
189	601	2562
190	604	2559
191	611	2571
192	614	2569
193	618	2568
194	626	2587
195	630	2588
196	636	2596
197	643	2608
198	647	2605
199	650	2601
200	654	2599
201	657	2596
202	660	2593
203	666	2601
204	669	2596
205	674	2597
206	678	2599
207	681	2594
208	686	2599
209	689	2595
210	694	2595
211	696	2590
212	701	2591
213	704	2589
214	707	2584
215	712	2586
216	716	2583
217	719	2581
218	723	2580
219	728	2581
220	731	2577
221	733	2572
222	736	2567
223	741	2567
224	744	2563
225	747	2558
226	750	2554
227	754	2556
228	758	2552
229	762	2551
230	766	2551
231	769	2546
232	774	2548
233	781	2557
234	787	2563
235	800	2590
236	803	2585
237	809	2591
238	813	2590
239	819	2593
240	822	2591
241	825	2585
242	829	2585
243	833	2581
244	837	2579
245	841	2578
246	846	2580
247	849	2577
248	852	2572
249	857	2573
250	862	2573
251	865	2568
252	868	2563
253	870	2558
254	877	2563
255	881	2561
256	884	2558
257	889	2558
258	898	2571
259	903	2570
260	910	2576
261	914	2575
262	919	2577
263	927	2587
264	932	2585
265	935	2581
266	939	2579
267	948	2590
268	955	2595
269	960	2597
270	968	2605
271	973	2604
272	981	2612
273	985	2612
274	989	2608
275	995	2610
276	1002	2616
277	1006	2614
278	1009	2609
279	1018	2618
280	1021	2613
281	1024	2609
282	1028	2605
283	1034	2608
284	1038	2604
285	1040	2598
286	1044	2596
287	1048	2591
288	1052	2589
289	1057	2587
290	1060	2583
291	1063	2578
292	1067	2575
293	1070	2570
294	1073	2564
295	1078	2566
296	1082	2561
297	1085	2556
298	1088	2551
299	1092	2548
300	1096	2547
301	1102	2548
302	1105	2543
303	1110	2542
304	1116	2543
305	1121	2542
306	1127	2545
307	1132	2544
308	1135	2540
309	1138	2535
310	1144	2535
311	1147	2529
312	1150	2524
313	1155	2525
314	1159	2521
315	1162	2516
316	1168	2517
317	1172	2514
318	1178	2515
319	1182	2513
320	1187	2512
321	1190	2507
322	1195	2505
323	1199	2502
324	1203	2499
325	1206	2493
326	1210	2490
327	1212	2485
328	1216	2480
329	1219	2476
330	1222	2471
331	1227	2470
332	1234	2473
333	1238	2470
334	1243	2468
335	1247	2465
336	1254	2468
337	1258	2464
338	1261	2460
339	1264	2454
340	1269	2452
341	1273	2450
342	1279	2451
343	1284	2450
344	1287	2445
345	1294	2447
346	1298	2443
347	1304	2443
348	1309	2442
349	1316	2444
350	1322	2446
351	1329	2447
352	1333	2444
353	1337	2440
354	1340	2435
355	1344	2431
356	1348	2428
357	1354	2428
358	1358	2424
359	1361	2420
360	1364	2415
361	1370	2415
362	1373	2410
363	1376	2404
364	1380	2402
365	1383	2397
366	1389	2396
367	1392	2391
368	1394	2385
369	1402	2388
370	1406	2384
371	1412	2383
372	1419	2386
373	1424	2383
374	1433	2389
375	1439	2389
376	1450	2396
377	1458	2399
378	1461	2394
379	1472	2402
380	1477	2400
381	1480	2395
382	1491	2402
383	1511	2424
384	1515	2420
385	1529	2432
386	1531	2426
387	1544	2436
388	1548	2432
389	1555	2433
390	1558	2428
391	1561	2422
392	1565	2417
393	1567	2411
394	1572	2408
395	1576	2405
396	1580	2399
397	1583	2394
398	1586	2389
399	1590	2385
400	1599	2389
401	1602	2383
402	1611	2387
403	1618	2387
404	1626	2390
405	1638	2397
406	1641	2392
407	1649	2393
408	1654	2390
409	1663	2394
410	1673	2397
411	1676	2392
412	1679	2387
413	1682	2381
414	1686	2377
415	1689	2372
416	1694	2368
417	1697	2362
418	1702	2361
419	1706	2356
420	1711	2353
421	1714	2348
422	1717	2343
423	1720	2337
424	1726	2336
425	1730	2331
426	1735	2329
427	1739	2324
428	1745	2322
429	1752	2323
430	1757	2320
431	1762	2317
432	1765	2312
433	1771	2310
434	1776	2307
435	1782	2305
436	1789	2305
437	1795	2303
438	1799	2299
439	1803	2294
440	1806	2290
441	1809	2284
442	1814	2280
443	1817	2275
444	1820	2270
445	1823	2264
446	1826	2259
447	1830	2255
448	1834	2251
449	1837	2245
450	1839	2239
451	1844	2236
452	1847	2231
453	1850	2225
454	1854	2221
455	1861	2220
456	1864	2214
457	1869	2211
458	1872	2206
459	1877	2203
460	1886	2205
461	1892	2203
462	1905	2209
463	1912	2208
464	1921	2210
465	1939	2221
466	1944	2219
467	1952	2219
468	1961	2220
469	1975	2227
470	1981	2225
471	1984	2220
472	1987	2214
473	1995	2214
474	2000	2211
475	2004	2206
476	2010	2204
477	2019	2205
478	2022	2199
479	2027	2196
480	2032	2192
481	2037	2189
482	2040	2184
483	2043	2179
484	2047	2173
485	2050	2168
486	2056	2165
487	2059	2161
488	2070	2164
489	2074	2158
490	2077	2153
491	2081	2149
492	2088	2147
493	2093	2144
494	2097	2140
495	2101	2134
496	2106	2132
497	2110	2127
498	2122	2130
499	2125	2125
500	2130	2122
501	2135	2118
502	2138	2113
503	2142	2108
504	2146	2104
505	2157	2106
506	2163	2103
507	2168	2100
508	2174	2097
509	2177	2091
510	2182	2088
511	2191	2089
512	2196	2085
513	2202	2082
514	2209	2080
515	2213	2076
516	2217	2071
517	2220	2066
518	2227	2063
519	2230	2059
520	2240	2060
521	2247	2058
522	2251	2053
523	2259	2052
524	2264	2048
525	2275	2050
526	2280	2046
527	2293	2050
528	2296	2044
529	2300	2040
530	2310	2041
531	2315	2036
532	2322	2034
533	2328	2032
534	2334	2029
535	2338	2024
536	2341	2018
537	2344	2013
538	2347	2007
539	2350	2002
540	2352	1996
541	2359	1994
542	2363	1989
543	2367	1984
544	2373	1981
545	2376	1976
546	2384	1974
547	2388	1969
548	2393	1966
549	2396	1960
550	2401	1957
551	2410	1956
552	2415	1952
553	2419	1948
554	2426	1945
555	2432	1942
556	2438	1939
557	2448	1939
558	2458	1939
559	2466	1937
560	2471	1934
561	2474	1928
562	2481	1926
563	2484	1920
564	2487	1915
565	2490	1909
566	2495	1905
567	2498	1899
568	2502	1895
569	2506	1890
570	2511	1887
571	2514	1881
572	2519	1877
573	2522	1872
574	2529	1869
575	2531	1863
576	2534	1858
577	2541	1855
578	2544	1850
579	2548	1845
580	2552	1840
581	2556	1836
582	2560	1831
583	2562	1825
584	2566	1820
585	2569	1815
586	2575	1811
587	2580	1808
588	2584	1803
589	2589	1799
590	2593	1794
591	2595	1789
592	2598	1783
593	2601	1778
594	2605	1773
595	2609	1769
596	2612	1763
597	2615	1758
598	2618	1753
599	2622	1748
600	2625	1742
601	2627	1737
602	2630	1732
603	2634	1727
604	2639	1723
605	2642	1717
606	2647	1714
607	2650	1709
608	2655	1705
609	2660	1700
610	2663	1696
611	2668	1691
612	2676	1689
613	2687	1689
614	2692	1685
615	2697	1681
616	2701	1676
617	2704	1671
618	2706	1666
619	2709	1660
620	2711	1655
621	2715	1649
622	2718	1644
623	2720	1639
624	2724	1634
625	2727	1629
626	2729	1624
627	2736	1620
628	2739	1616
629	2743	1611
630	2748	1607
631	2752	1602
632	2755	1597
633	2758	1592
634	2762	1588
635	2765	1582
636	2768	1577
637	2773	1573
638	2776	1568
639	2785	1566
640	2790	1562
641	2792	1557
642	2796	1552
643	2800	1548
644	2807	1545
645	2809	1539
646	2812	1534
647	2817	1530
648	2820	1525
649	2825	1521
650	2829	1517
651	2834	1513
652	2838	1508
653	2842	1503
654	2846	1499
655	2851	1495
656	2855	1490
657	2858	1485
658	2861	1480
659	2864	1475
660	2870	1471
661	2874	1467
662	2881	1464
663	2887	1460
664	2890	1456
665	2897	1453
666	2901	1448
667	2906	1444
668	2909	1439
669	2914	1435
670	2918	1430
671	2921	1425
672	2924	1420
673	2928	1416
674	2932	1411
675	2937	1407
676	2939	1402
677	2944	1398
678	2948	1393
679	2952	1389
680	2955	1384
681	2958	1379
682	2961	1374
683	2964	1369
684	2967	1364
685	2972	1360
686	2975	1355
687	2978	1350
688	2982	1346
689	2985	1341
690	2988	1336
691	2993	1332
692	2998	1328
693	3001	1323
694	3012	1322
695	3015	1317
696	3018	1312
697	3021	1307
698	3024	1302
699	3028	1297
700	3031	1292
701	3034	1288
702	3037	1283
703	3042	1279
704	3045	1274
705	3049	1269
706	3052	1265
707	3056	1260
708	3058	1255
709	3061	1250
710	3065	1246
711	3069	1241
712	3072	1236
713	3076	1232
714	3081	1228
715	3085	1223
716	3089	1219
717	3095	1215
718	3098	1211
719	3103	1206
720	3111	1204
721	3115	1199
722	3119	1195
723	3122	1190
724	3126	1185
725	3129	1181
726	3132	1176
727	3139	1172
728	3142	1168
729	3146	1163
730	3150	1159
731	3155	1155
732	3160	1151
733	3166	1147
734	3169	1142
735	3173	1138
736	3176	1133
737	3179	1128
738	3182	1124
739	3187	1119
740	3190	1115
741	3196	1111
742	3200	1107
743	3205	1103
744	3209	1098
745	3214	1094
746	3219	1090
747	3222	1085
748	3225	1080
749	3229	1076
750	3233	1071
751	3236	1067
752	3240	1063
753	3245	1059
754	3254	1056
755	3259	1051
756	3265	1048
757	3268	1043
758	3271	1038
759	3274	1033
760	3277	1029
761	3284	1025
762	3288	1021
763	3294	1017
764	3299	1013
765	3303	1009
766	3306	1004
767	3312	1000
768	3315	995
769	3317	991
770	3320	986
771	3327	982
772	3329	977
773	3334	973
774	3337	968
775	3340	964
776	3343	959
777	3348	955
778	3354	951
779	3359	947
780	3364	943
781	3367	938
782	3371	934
783	3374	929
784	3377	925
785	3381	920
786	3385	916
787	3390	912
788	3393	907
789	3396	902
790	3399	898
791	3402	893
792	3407	889
793	3411	885
794	3414	880
795	3418	876
796	3422	871
797	3424	866
798	3427	862
799	3430	857
800	3434	853
801	3438	848
802	3443	844
803	3449	840
804	3456	837
805	3460	833
806	3463	828
807	3466	823
808	3469	819
809	3472	814
810	3475	809
811	3477	805
812	3480	800
813	3485	796
814	3488	791
815	3491	787
816	3494	782
817	3497	778
818	3501	773
819	3504	769
820	3507	764
821	3511	760
822	3513	755
823	3518	751
824	3521	747
825	3524	742
826	3527	737
827	3529	733
828	3533	728
829	3536	724
830	3539	719
831	3541	715
832	3544	710
833	3549	706
834	3552	701
835	3554	697
836	3557	692
837	3560	688
838	3565	684
839	3569	679
840	3572	675
841	3575	670
842	3578	666
843	3583	662
844	3586	657
845	3593	654
846	3598	650
847	3603	645
848	3606	641
849	3608	636
850	3611	632
851	3614	627
852	3617	623
853	3620	618
854	3623	614
855	3625	609
856	3628	605
857	3631	601
858	3634	596
859	3636	592
860	3639	587
861	3641	583
862	3645	578
863	3648	574
864	3651	569
865	3656	565
866	3660	561
867	3663	557
868	3666	552
869	3668	548
870	3671	543
871	3677	539
872	3682	535
873	3684	531
874	3687	526
875	3691	522
876	3694	518
877	3696	513
878	3699	509
879	3701	504
880	3704	500
881	3709	496
882	3711	491
883	3714	487
884	3717	483
885	3720	478
886	3722	474
887	3725	469
888	3728	465
889	3731	461
890	3733	456
891	3736	452
892	3739	448
893	3741	443
894	3744	439
895	3747	435
896	3750	430
897	3754	426
898	3757	422
899	3760	417
900	3765	413
901	3768	409
902	3771	405
903	3774	400
904	3777	396
905	3780	392
906	3782	387
907	3785	383
908	3788	379
909	3791	374
910	3793	370
911	3796	366
912	3799	362
913	3803	357
914	3806	353
915	3811	349
916	3814	345
917	3818	341
918	3821	336
919	3824	332
920	3827	328
921	3829	324
922	3834	319
923	3838	315
924	3841	311
925	3844	307
926	3849	303
927	3852	298
928	3854	294
929	3857	290
930	3860	286
931	3865	281
932	3867	277
933	3870	273
934	3873	269
935	3876	265
936	3879	260
937	3882	256
938	3884	252
939	3888	248
940	3891	244
941	3894	239
942	3897	235
943	3900	231
944	3903	227
945	3905	222
946	3909	218
947	3912	214
948	3914	210
949	3917	206
950	3920	201
951	3924	197
952	3927	193
953	3930	189
954	3933	185
955	3936	181
956	3939	177
957	3942	172
958	3945	168
959	3947	164
960	3950	160
961	3954	156
962	3957	152
963	3960	147
964	3962	143
965	3965	139
966	3969	135
967	3971	131
968	3974	127
969	3979	123
970	3984	119
971	3990	114
972	3995	110
973	4000	106
974	4003	102
975	4005	98
976	4010	94
977	4013	90
978	4017	86
979	4019	82
980	4022	77
981	4025	73
982	4028	69
983	4033	65
984	4035	61
985	4038	57
986	4040	53
987	4043	49
