iter	Passed	Remaining
0	5	6633
1	10	6581
2	15	6360
3	20	6268
4	25	5987
5	31	6326
6	41	7058
7	46	6936
8	51	6843
9	55	6590
10	60	6488
11	66	6566
12	73	6682
13	77	6605
14	85	6731
15	90	6689
16	95	6671
17	102	6725
18	107	6694
19	112	6666
20	119	6693
21	124	6664
22	129	6629
23	136	6686
24	141	6644
25	147	6656
26	154	6692
27	158	6640
28	164	6629
29	170	6631
30	174	6589
31	180	6576
32	188	6653
33	194	6658
34	202	6726
35	206	6686
36	212	6675
37	218	6666
38	223	6640
39	228	6619
40	235	6651
41	240	6640
42	247	6661
43	252	6646
44	257	6618
45	265	6655
46	269	6601
47	272	6534
48	277	6521
49	283	6528
50	289	6528
51	295	6523
52	300	6511
53	306	6498
54	311	6483
55	316	6473
56	322	6469
57	327	6457
58	333	6445
59	339	6442
60	345	6450
61	350	6441
62	356	6432
63	362	6439
64	370	6477
65	379	6525
66	387	6559
67	394	6569
68	399	6553
69	404	6523
70	411	6537
71	416	6524
72	421	6509
73	429	6531
74	436	6552
75	444	6575
76	447	6522
77	454	6532
78	460	6530
79	465	6519
80	470	6501
81	477	6511
82	481	6484
83	484	6442
84	492	6465
85	494	6410
86	499	6395
87	505	6383
88	510	6378
89	519	6411
90	528	6435
91	530	6388
92	535	6377
93	541	6375
94	547	6362
95	551	6344
96	557	6337
97	562	6322
98	567	6309
99	572	6302
100	578	6290
101	588	6337
102	594	6327
103	599	6314
104	608	6342
105	612	6326
106	618	6322
107	624	6315
108	629	6304
109	636	6303
110	641	6297
111	646	6284
112	653	6285
113	658	6276
114	664	6265
115	671	6274
116	676	6265
117	680	6240
118	688	6254
119	693	6242
120	698	6229
121	704	6220
122	709	6211
123	715	6207
124	720	6200
125	726	6192
126	733	6194
127	739	6197
128	746	6195
129	752	6190
130	758	6185
131	763	6180
132	769	6176
133	776	6180
134	783	6184
135	789	6173
136	795	6170
137	797	6139
138	802	6128
139	808	6120
140	812	6103
141	818	6095
142	821	6073
143	827	6065
144	833	6063
145	836	6041
146	842	6034
147	848	6028
148	854	6026
149	859	6015
150	865	6011
151	870	6002
152	873	5977
153	879	5973
154	889	5996
155	897	6007
156	902	5997
157	908	5990
158	913	5980
159	919	5977
160	925	5974
161	928	5947
162	933	5941
163	940	5942
164	946	5935
165	951	5929
166	958	5931
167	962	5910
168	967	5903
169	974	5901
170	979	5893
171	983	5876
172	991	5883
173	996	5878
174	1004	5884
175	1008	5868
176	1016	5872
177	1024	5881
178	1029	5873
179	1035	5868
180	1041	5862
181	1046	5854
182	1051	5840
183	1056	5835
184	1062	5831
185	1070	5836
186	1076	5832
187	1083	5834
188	1091	5838
189	1099	5846
190	1105	5842
191	1114	5849
192	1120	5844
193	1125	5838
194	1129	5818
195	1134	5813
196	1140	5809
197	1148	5812
198	1155	5812
199	1163	5815
200	1168	5807
201	1176	5810
202	1182	5806
203	1187	5799
204	1195	5800
205	1200	5792
206	1208	5797
207	1214	5791
208	1220	5785
209	1224	5771
210	1231	5774
211	1237	5767
212	1245	5769
213	1252	5770
214	1260	5774
215	1265	5767
216	1271	5761
217	1277	5755
218	1284	5752
219	1291	5752
220	1297	5746
221	1302	5737
222	1308	5734
223	1314	5728
224	1320	5722
225	1328	5723
