iter	Passed	Remaining
0	10	12769
1	16	10052
2	20	8060
3	25	7529
4	30	7328
5	52	10391
6	84	14428
7	101	15124
8	129	17109
9	146	17390
10	175	18945
11	190	18859
12	208	19067
13	238	20175
14	240	19009
15	242	17935
16	271	18913
17	292	19212
18	304	18929
19	320	18929
20	340	19125
21	358	19218
22	367	18788
23	375	18377
24	383	18021
25	405	18330
26	423	18416
27	439	18408
28	455	18411
29	467	18236
30	476	17968
31	487	17807
32	498	17624
33	506	17374
34	513	17083
35	524	16946
36	532	16737
37	542	16596
38	549	16350
39	558	16192
40	563	15943
41	574	15826
42	582	15682
43	589	15485
44	597	15325
45	605	15182
46	617	15139
47	623	14956
48	628	14771
49	640	14737
50	652	14705
51	658	14538
52	670	14502
53	677	14368
54	684	14250
55	690	14115
56	699	14031
57	709	13960
58	717	13876
59	728	13844
60	740	13833
61	747	13725
62	753	13607
63	762	13532
64	772	13495
65	783	13456
66	790	13372
67	798	13300
68	810	13292
69	816	13173
70	823	13094
71	831	13026
72	838	12947
73	845	12868
74	851	12777
75	863	12771
76	869	12680
77	877	12624
78	884	12548
79	896	12546
80	905	12506
81	912	12446
82	919	12370
83	928	12335
84	935	12269
85	946	12266
86	952	12182
87	964	12187
88	978	12211
89	988	12192
90	995	12135
91	1007	12128
92	1013	12063
93	1023	12041
94	1031	11997
95	1038	11946
96	1045	11891
97	1051	11825
98	1058	11775
99	1068	11751
100	1077	11719
101	1092	11755
102	1102	11743
103	1107	11675
104	1118	11665
105	1124	11609
106	1132	11568
107	1143	11565
108	1151	11524
109	1158	11483
110	1166	11444
111	1174	11405
112	1188	11431
113	1200	11431
114	1212	11436
115	1220	11408
116	1226	11349
117	1244	11413
118	1253	11389
119	1259	11339
120	1267	11298
121	1278	11296
122	1285	11257
123	1293	11227
124	1300	11182
125	1311	11180
126	1321	11163
127	1325	11103
128	1337	11107
129	1344	11062
130	1355	11061
131	1361	11013
132	1368	10982
133	1378	10969
134	1391	10973
135	1399	10950
136	1411	10955
137	1421	10936
138	1434	10946
139	1444	10938
140	1454	10921
141	1462	10896
142	1470	10870
143	1481	10861
144	1488	10832
145	1497	10813
146	1507	10801
147	1518	10791
148	1527	10776
149	1536	10755
150	1543	10723
151	1552	10705
152	1560	10677
153	1569	10658
154	1577	10632
155	1586	10614
156	1596	10605
157	1603	10577
158	1613	10566
159	1622	10547
160	1634	10548
161	1644	10535
162	1652	10511
163	1663	10509
164	1669	10469
165	1682	10482
166	1693	10472
167	1701	10449
168	1708	10421
169	1722	10435
170	1735	10442
171	1743	10420
172	1748	10381
173	1753	10340
174	1758	10301
175	1764	10264
176	1770	10230
177	1775	10192
178	1783	10171
179	1788	10136
180	1794	10103
181	1801	10075
182	1806	10040
183	1814	10019
184	1819	9984
185	1825	9950
186	1830	9918
187	1836	9886
188	1842	9858
189	1848	9824
190	1853	9793
191	1863	9783
192	1870	9757
193	1875	9724
194	1880	9692
195	1887	9670
196	1894	9645
197	1899	9614
198	1907	9592
199	1913	9567
200	1920	9544
201	1923	9503
202	1929	9477
203	1938	9465
204	1948	9456
205	1953	9426
206	1961	9407
207	1970	9398
208	1979	9384
209	1988	9374
210	1996	9359
211	2007	9357
212	2021	9368
213	2028	9345
214	2040	9349
215	2051	9345
216	2065	9357
217	2075	9348
218	2082	9330
219	2091	9317
220	2099	9302
221	2107	9283
222	2114	9265
223	2126	9266
224	2136	9257
225	2144	9240
226	2150	9215
227	2158	9200
228	2166	9185
229	2171	9159
230	2177	9134
231	2189	9133
232	2198	9125
233	2209	9121
234	2219	9112
235	2226	9096
236	2237	9091
237	2250	9098
238	2259	9086
239	2268	9073
240	2271	9039
241	2277	9014
242	2286	9003
243	2296	8997
244	2305	8986
245	2313	8973
246	2321	8956
247	2328	8938
248	2336	8924
249	2343	8906
250	2355	8904
251	2360	8880
252	2370	8873
253	2377	8855
254	2387	8849
255	2399	8848
256	2413	8856
257	2421	8842
258	2431	8835
259	2438	8816
260	2446	8803
261	2452	8779
262	2462	8775
263	2471	8764
264	2480	8752
265	2489	8742
266	2497	8726
267	2506	8716
268	2517	8713
269	2525	8700
270	2538	8701
271	2541	8669
272	2551	8663
273	2558	8647
274	2565	8630
275	2571	8610
276	2579	8596
277	2586	8576
278	2597	8573
279	2609	8574
280	2620	8570
281	2629	8560
282	2640	8557
283	2646	8536
284	2657	8532
285	2665	8517
286	2672	8502
287	2679	8484
288	2688	8474
289	2697	8465
290	2703	8445
291	2711	8430
292	2716	8408
293	2722	8390
294	2728	8369
295	2732	8345
296	2739	8328
297	2745	8309
298	2750	8287
299	2755	8266
300	2760	8244
301	2765	8222
302	2771	8204
303	2776	8182
304	2780	8159
305	2787	8143
306	2792	8121
307	2796	8100
308	2803	8084
309	2808	8063
310	2813	8042
311	2820	8027
312	2825	8007
313	2831	7988
314	2836	7969
315	2841	7950
316	2847	7930
317	2852	7912
318	2857	7891
319	2863	7874
320	2869	7856
321	2874	7836
322	2881	7824
323	2887	7806
324	2897	7801
325	2914	7813
326	2942	7855
327	2963	7879
328	2990	7916
329	3008	7931
330	3028	7950
331	3049	7972
332	3074	8005
333	3090	8013
334	3108	8026
335	3124	8034
336	3136	8033
337	3152	8040
338	3168	8046
339	3185	8057
340	3196	8051
341	3208	8050
342	3215	8033
343	3223	8020
344	3231	8009
345	3238	7992
346	3246	7980
347	3253	7964
348	3259	7948
349	3265	7930
350	3271	7912
351	3278	7898
352	3284	7880
353	3291	7866
354	3297	7849
355	3307	7841
356	3316	7831
357	3323	7816
358	3328	7798
359	3335	7783
360	3342	7769
361	3351	7759
362	3358	7743
