iter	Logloss
0	0.6412114601
1	0.5950620916
2	0.5515225133
3	0.5137029049
4	0.4787374274
5	0.4463870982
6	0.4171876547
7	0.3913634795
8	0.3679858013
9	0.3464363255
10	0.3270299245
11	0.309568294
12	0.2937819322
13	0.2800436052
14	0.2673145669
15	0.2554988844
16	0.2449299396
17	0.2357938906
18	0.2269830547
19	0.2192282058
20	0.2120693073
21	0.205478539
22	0.1996059559
23	0.1941655837
24	0.1891917712
25	0.1845179456
26	0.1803855574
27	0.1769096697
28	0.1731886619
29	0.1699819803
30	0.1673523048
31	0.1647256482
32	0.1623144649
33	0.1599437414
34	0.1576891051
35	0.1556644504
36	0.1538054808
37	0.1520723896
38	0.1504815625
39	0.1490570052
40	0.1477287799
41	0.1465347009
42	0.1453534486
43	0.1442073086
44	0.1432279846
45	0.1423274354
46	0.1414506758
47	0.1405064134
48	0.1397985147
49	0.1391074409
50	0.1384586849
51	0.1377450544
52	0.137178328
53	0.1365503876
54	0.1360573565
55	0.135570158
56	0.1351001236
57	0.1346841612
58	0.1342052449
59	0.1338742743
60	0.133499407
61	0.1330658258
62	0.1327086982
63	0.1323972869
64	0.1320729118
65	0.1318013115
66	0.1315005244
67	0.1312604659
68	0.1310583965
69	0.1307920555
70	0.1305196696
71	0.1302586657
72	0.1300277236
73	0.1298271475
74	0.1296207714
75	0.1294225474
76	0.1292132347
77	0.1290634597
78	0.1288658678
79	0.1287113442
80	0.1285420536
81	0.1283559583
82	0.1281775472
83	0.1279973485
84	0.127883815
85	0.1277390106
86	0.1276187489
87	0.1274709204
88	0.1274282698
89	0.1273102347
90	0.1272754586
91	0.1271820262
92	0.1270396447
93	0.1269507218
94	0.1268572208
95	0.1267579132
96	0.1266317532
97	0.1265333034
98	0.126437562
99	0.1263537158
100	0.1262471127
101	0.1261384003
102	0.1260261312
103	0.1259504424
104	0.1258437067
105	0.1257285553
106	0.125637329
107	0.125554956
108	0.1254624906
109	0.1253448495
110	0.125247153
111	0.1251616939
112	0.1250654763
113	0.1250026791
114	0.1249299684
115	0.1248669492
116	0.1247651083
117	0.1247090086
118	0.1246089209
119	0.124541396
120	0.1244453991
121	0.1243703262
122	0.124303385
123	0.1242057058
124	0.1241540271
125	0.1240526603
126	0.1239473037
127	0.1238720068
128	0.1237749778
129	0.1237036195
130	0.1236275774
131	0.1235361629
132	0.1234272233
133	0.1233333687
134	0.1232471918
135	0.1231924748
136	0.1231394035
137	0.1230617284
138	0.1229858849
139	0.1228904857
140	0.1228436742
141	0.1227847557
142	0.1227382769
143	0.1226879008
144	0.1226337203
145	0.1225409705
146	0.1224787563
147	0.122405769
148	0.1223553685
149	0.1222943451
150	0.1222265749
151	0.1221693471
152	0.1221131977
153	0.1220340305
154	0.1219950073
155	0.1218850517
156	0.1218262333
157	0.1217296224
158	0.1216956334
159	0.1216132488
160	0.1215474634
161	0.1214650114
162	0.1214133224
163	0.1213460194
164	0.1212946995
165	0.1212276717
166	0.1211881578
167	0.1211534323
168	0.1211176604
169	0.1210628085
170	0.1210189657
171	0.1209308426
172	0.1208866798
173	0.1207991459
174	0.1207862626
175	0.1207039698
176	0.1206534113
177	0.1206062402
178	0.1205591713
