iter	Passed	Remaining
0	4	4113
1	6	3236
2	12	4262
3	17	4238
4	21	4376
5	27	4519
6	32	4609
7	36	4560
8	40	4465
9	44	4379
10	49	4488
11	53	4377
12	56	4270
13	60	4227
14	64	4240
15	68	4230
16	72	4186
17	75	4096
18	80	4169
19	84	4122
20	87	4085
21	91	4057
22	96	4087
23	99	4061
24	103	4020
25	106	3987
26	110	3970
27	112	3919
28	116	3884
29	120	3882
30	122	3839
31	129	3914
32	134	3951
33	138	3929
34	143	3948
35	146	3925
36	150	3911
37	154	3902
38	157	3890
39	162	3888
40	165	3871
41	168	3853
42	172	3841
43	176	3843
44	180	3827
45	184	3816
46	187	3806
47	194	3852
48	199	3868
49	204	3886
50	208	3878
51	212	3871
52	216	3869
53	220	3860
54	224	3861
55	228	3851
56	232	3844
57	238	3874
58	242	3866
59	246	3857
60	250	3852
61	256	3879
62	260	3878
63	264	3869
64	268	3863
65	272	3860
66	277	3863
67	281	3857
68	287	3874
69	291	3868
70	295	3863
71	299	3857
72	303	3859
73	307	3852
74	312	3849
75	316	3847
76	321	3849
77	325	3841
78	328	3834
79	333	3831
80	337	3830
81	342	3830
82	346	3825
83	352	3838
84	356	3835
85	360	3834
86	364	3827
87	370	3836
88	373	3818
89	377	3815
90	379	3794
91	385	3805
92	390	3804
93	396	3819
94	402	3832
95	406	3827
96	410	3825
97	417	3840
98	421	3838
99	426	3836
100	430	3832
101	437	3849
102	443	3859
103	449	3876
104	456	3894
105	462	3896
106	468	3908
107	474	3916
108	478	3912
109	484	3922
110	489	3921
111	494	3923
112	504	3960
113	510	3966
114	516	3976
115	525	4008
116	532	4018
117	537	4016
118	541	4012
119	547	4014
120	551	4009
121	557	4010
122	562	4009
123	573	4048
124	581	4069
125	590	4095
126	599	4117
127	605	4126
128	612	4137
129	619	4148
130	631	4189
131	639	4205
132	649	4235
133	658	4253
134	665	4266
135	672	4273
136	681	4290
137	689	4308
138	698	4325
139	703	4323
140	712	4338
141	719	4348
142	729	4374
143	736	4375
144	746	4404
145	753	4409
146	765	4439
147	775	4465
148	784	4481
149	793	4495
150	801	4504
151	808	4511
152	816	4518
153	825	4532
154	835	4553
155	843	4563
156	849	4563
157	855	4558
158	862	4563
159	871	4577
160	878	4575
161	890	4606
162	899	4620
163	906	4622
164	914	4626
165	922	4632
166	927	4627
167	935	4634
168	948	4665
169	963	4704
170	975	4727
171	983	4733
172	1000	4784
173	1010	4798
174	1021	4814
175	1028	4816
176	1036	4817
177	1044	4822
178	1053	4830
179	1059	4826
180	1070	4843
181	1077	4844
182	1086	4851
183	1093	4848
184	1103	4859
185	1111	4862
186	1118	4863
187	1127	4868
188	1137	4880
189	1146	4887
190	1154	4889
191	1161	4887
192	1171	4897
193	1179	4900
194	1185	4894
195	1193	4895
196	1203	4903
197	1215	4922
198	1223	4923
199	1231	4927
200	1243	4942
201	1260	4979
202	1269	4984
203	1279	4992
204	1287	4994
205	1297	5001
206	1303	4995
207	1313	5001
208	1319	4993
209	1327	4992
210	1333	4987
211	1343	4992
212	1349	4986
213	1359	4992
214	1365	4983
215	1371	4978
216	1377	4970
217	1383	4961
218	1391	4961
219	1396	4952
220	1402	4943
221	1409	4938
222	1414	4928
223	1422	4929
224	1429	4924
225	1434	4914
226	1442	4911
227	1447	4901
228	1456	4903
229	1465	4906
230	1475	4911
231	1487	4924
232	1494	4919
233	1504	4923
234	1509	4913
235	1514	4903
236	1520	4895
237	1526	4885
238	1531	4876
239	1539	4874
240	1546	4870
241	1555	4873
242	1562	4867
243	1571	4870
244	1580	4871
245	1591	4877
246	1599	4877
247	1611	4885
248	1619	4885
249	1627	4881
250	1633	4875
251	1646	4887
252	1652	4880
253	1665	4891
254	1673	4888
255	1684	4894
256	1694	4899
257	1702	4897
258	1715	4907
259	1724	4908
260	1740	4929
261	1748	4926
262	1758	4926
263	1765	4922
264	1772	4917
265	1781	4916
266	1790	4916
267	1800	4917
268	1809	4916
269	1817	4914
270	1826	4913
271	1833	4907
272	1847	4918
273	1856	4918
274	1863	4912
275	1872	4912
276	1884	4917
277	1896	4924
278	1909	4934
279	1918	4932
280	1929	4937
281	1940	4941
282	1947	4935
283	1959	4939
284	1965	4931
285	1984	4953
286	1995	4956
287	2002	4951
288	2012	4950
289	2021	4948
290	2028	4941
291	2038	4941
292	2045	4936
293	2055	4936
294	2068	4942
295	2077	4940
296	2086	4938
297	2092	4930
298	2107	4941
299	2115	4936
300	2123	4932
301	2130	4923
302	2141	4925
303	2149	4921
304	2161	4926
305	2172	4927
306	2180	4921
307	2189	4918
308	2197	4913
309	2208	4916
310	2216	4910
311	2226	4909
312	2233	4902
313	2241	4896
314	2252	4898
315	2262	4897
316	2272	4896
317	2282	4894
318	2289	4887
319	2297	4883
320	2310	4886
321	2317	4879
322	2324	4872
323	2332	4866
324	2341	4862
325	2351	4862
326	2362	4863
327	2370	4856
328	2378	4850
329	2385	4842
330	2395	4842
331	2401	4832
332	2409	4825
333	2414	4815
334	2422	4808
335	2426	4796
336	2431	4784
337	2439	4777
338	2444	4766
339	2454	4764
340	2464	4763
341	2472	4757
342	2478	4747
343	2486	4741
344	2494	4735
345	2499	4725
346	2506	4716
347	2511	4705
348	2517	4695
349	2522	4685
350	2528	4675
351	2535	4667
352	2540	4656
353	2545	4645
354	2553	4639
355	2558	4628
356	2566	4622
357	2572	4612
358	2584	4613
359	2591	4607
360	2605	4611
361	2614	4607
362	2626	4609
363	2639	4611
364	2651	4612
365	2665	4617
366	2675	4615
367	2683	4609
368	2692	4603
369	2698	4595
370	2711	4597
371	2719	4590
372	2725	4581
373	2735	4578
374	2745	4575
375	2755	4572
376	2764	4568
377	2777	4569
378	2785	4563
379	2795	4560
380	2806	4558
381	2813	4552
382	2823	4548
383	2829	4539
384	2842	4540
385	2852	4537
386	2861	4533
387	2869	4526
388	2879	4523
389	2887	4517
390	2895	4509
391	2905	4506
392	2913	4499
393	2921	4494
394	2937	4499
395	2951	4501
396	2963	4501
397	2978	4505
398	2987	4500
399	2997	4496
400	3008	4494
401	3020	4492
402	3028	4486
403	3041	4486
404	3052	4484
405	3061	4478
406	3070	4473
407	3076	4463
408	3083	4455
409	3090	4447
410	3099	4441
411	3108	4436
412	3119	4434
413	3127	4426
414	3137	4423
415	3143	4413
416	3157	4413
417	3165	4407
418	3171	4398
419	3185	4398
420	3193	4391
421	3202	4386
422	3210	4379
423	3216	4370
424	3223	4361
425	3229	4351
426	3238	4345
427	3246	4338
428	3257	4335
429	3265	4328
430	3271	4319
431	3277	4309
432	3288	4306
433	3298	4301
434	3306	4294
435	3314	4287
436	3322	4279
437	3332	4275
438	3341	4270
439	3347	4260
440	3356	4254
441	3364	4247
442	3372	4240
443	3380	4232
444	3389	4227
445	3397	4219
446	3403	4210
447	3409	4201
448	3417	4193
449	3425	4186
450	3434	4181
451	3441	4172
452	3447	4163
453	3453	4153
454	3459	4143
455	3465	4133
456	3471	4125
457	3480	4119
458	3488	4111
459	3497	4105
460	3503	4096
461	3509	4087
462	3515	4076
463	3520	4066
464	3526	4057
465	3531	4047
466	3539	4039
467	3545	4029
468	3550	4019
469	3557	4011
470	3563	4002
471	3569	3992
472	3574	3983
473	3581	3974
474	3589	3967
475	3598	3961
476	3604	3951
477	3610	3942
478	3618	3935
479	3623	3925
480	3629	3916
481	3635	3907
482	3641	3897
483	3647	3889
484	3653	3879
485	3658	3869
486	3665	3861
487	3673	3853
488	3680	3846
489	3686	3836
490	3691	3827
491	3698	3818
492	3703	3809
493	3711	3801
494	3718	3793
495	3725	3786
496	3732	3777
497	3737	3767
498	3745	3760
499	3751	3751
500	3757	3742
501	3762	3732
502	3768	3723
503	3773	3713
504	3780	3705
505	3785	3695
506	3792	3687
507	3797	3678
508	3806	3671
509	3811	3662
510	3816	3652
511	3825	3646
512	3830	3636
513	3837	3628
514	3842	3619
515	3848	3609
516	3855	3601
517	3861	3593
518	3869	3585
519	3874	3576
520	3884	3571
521	3895	3566
522	3906	3562
523	3916	3558
524	3924	3550
525	3932	3543
526	3941	3537
527	3947	3529
528	3953	3520
529	3960	3512
530	3967	3504
531	3973	3495
532	3981	3488
533	3988	3480
534	3995	3472
535	4003	3465
536	4010	3457
537	4016	3448
538	4023	3440
539	4028	3431
540	4038	3426
541	4045	3418
542	4052	3410
543	4058	3401
544	4070	3398
545	4076	3389
546	4085	3383
547	4091	3374
548	4096	3365
549	4103	3357
550	4110	3349
551	4118	3342
552	4123	3333
553	4132	3326
554	4140	3319
555	4147	3312
556	4153	3303
557	4159	3294
558	4167	3288
559	4173	3279
560	4181	3271
561	4187	3263
562	4195	3256
563	4201	3248
564	4209	3241
565	4216	3232
566	4221	3223
567	4227	3215
568	4233	3206
569	4238	3197
570	4245	3189
571	4250	3180
572	4257	3172
573	4262	3163
574	4268	3154
575	4275	3147
576	4280	3138
577	4287	3130
578	4293	3121
579	4298	3112
580	4305	3104
581	4310	3095
582	4316	3087
583	4322	3078
584	4327	3070
585	4336	3063
586	4341	3054
587	4347	3046
588	4354	3038
589	4360	3030
590	4371	3025
591	4378	3017
592	4383	3008
593	4390	3000
594	4395	2992
595	4402	2983
596	4407	2975
597	4415	2968
598	4420	2959
599	4426	2951
600	4433	2943
601	4438	2934
602	4445	2927
603	4451	2918
604	4456	2909
605	4464	2902
606	4470	2894
607	4476	2886
608	4483	2878
609	4492	2871
610	4499	2864
611	4505	2856
612	4512	2848
613	4517	2840
614	4527	2834
615	4533	2826
616	4539	2817
617	4545	2809
618	4550	2801
619	4558	2793
620	4563	2785
621	4569	2777
622	4575	2769
623	4580	2760
624	4588	2753
625	4593	2744
626	4601	2737
627	4607	2729
628	4613	2721
629	4621	2714
630	4626	2705
631	4634	2698
632	4640	2690
633	4645	2681
634	4653	2674
635	4659	2666
636	4665	2658
637	4671	2650
638	4677	2642
639	4684	2634
640	4689	2626
641	4697	2619
642	4702	2610
643	4708	2602
644	4715	2595
645	4721	2587
646	4729	2580
647	4735	2572
648	4740	2563
649	4747	2556
650	4752	2548
651	4761	2541
652	4771	2535
