iter	Logloss
0	0.6690619012
1	0.6457835249
2	0.6239710464
3	0.6029501274
4	0.5826236811
5	0.5622625005
6	0.5431329862
7	0.5248979163
8	0.507755576
9	0.4912538413
10	0.4758867913
11	0.4611140698
12	0.4465356277
13	0.4328381105
14	0.4195229328
15	0.4071918283
16	0.3951325359
17	0.3836700492
18	0.3732282411
19	0.3635681627
20	0.35321319
21	0.3434258496
22	0.3343655548
23	0.3255337466
24	0.3171213839
25	0.3086943157
26	0.3011532851
27	0.2938882831
28	0.2867633246
29	0.2800811082
30	0.2734494909
31	0.2672231934
32	0.2611492467
33	0.2554954568
34	0.2500398468
35	0.2450122471
36	0.2402238335
37	0.2355651328
38	0.2312926983
39	0.2266925818
40	0.2225321768
41	0.2185125269
42	0.2146473491
43	0.2114042766
44	0.207894149
45	0.2048405728
46	0.2016091355
47	0.1983855384
48	0.1954248985
49	0.1929351596
50	0.1900740312
51	0.1876329412
52	0.1850476833
53	0.1825863141
54	0.1802497561
55	0.1779649039
56	0.1758341155
57	0.1736482083
58	0.1717133333
59	0.1698265405
60	0.167920022
61	0.1661677517
62	0.1645371564
63	0.1628772031
64	0.1613204772
65	0.1596735689
66	0.1581305601
67	0.1566079622
68	0.1554110433
69	0.1538564257
70	0.1525902361
71	0.1512658444
72	0.1501282081
73	0.1489245163
74	0.1478246844
75	0.1468190801
76	0.1458975836
77	0.1448829664
78	0.1438200428
79	0.1427419659
80	0.1418385613
81	0.140874609
82	0.1400297755
83	0.1392045622
84	0.1384682005
85	0.1376508802
86	0.1367882052
87	0.1360620028
88	0.135274673
89	0.1344470615
90	0.1337925675
91	0.1331185455
92	0.1324837904
93	0.1318793552
94	0.1312639306
95	0.1307088954
96	0.1300863684
97	0.1295572521
98	0.12898344
99	0.1285248989
100	0.1280668321
101	0.1275973279
102	0.1271459286
103	0.1266202515
104	0.1261619476
105	0.1259902137
106	0.1256079138
107	0.1252296724
108	0.1248007924
109	0.1244188879
110	0.1241931289
111	0.1237068901
112	0.1234066556
113	0.1230065802
114	0.1226817577
115	0.1223317543
116	0.1219419964
117	0.1216078315
118	0.1213229613
119	0.1209890204
120	0.1206380551
121	0.1203212046
122	0.1200281647
123	0.1197017742
124	0.1194011444
125	0.1191115305
126	0.1187202836
127	0.1184705164
128	0.1181982696
129	0.1178949913
130	0.1175207556
131	0.1171196656
132	0.1169122225
133	0.1165950953
134	0.1164130703
135	0.1161970491
136	0.1159577971
137	0.1156498805
138	0.1154245433
139	0.1152112101
140	0.1149784543
141	0.1147914089
142	0.1145782602
143	0.1143906351
144	0.1142133802
145	0.1139789509
146	0.113791194
147	0.1136476059
148	0.1134898395
149	0.1133375151
150	0.1130684176
151	0.1129100055
152	0.1126727827
153	0.1125035393
154	0.1122962411
155	0.112110105
156	0.1119214784
157	0.1116875367
158	0.1115241833
159	0.1113228411
160	0.1112140003
161	0.111110259
162	0.1110111164
163	0.1108597935
164	0.1106595581
165	0.1105318284
166	0.1103371734
167	0.1101810277
168	0.1100100582
169	0.1098862156
170	0.1097738434
171	0.109600917
172	0.1094561496
173	0.1093126076
174	0.1092508741
175	0.1090330608
176	0.1088537898
177	0.1087218896
178	0.1086027511
179	0.1084361167
180	0.1083458751
181	0.1081812765
182	0.1080945267
183	0.1079899421
184	0.1078792763
185	0.1077817215
186	0.1075876463
187	0.1074374566
188	0.107280639
189	0.107166455
190	0.1070580491
191	0.1069911436
192	0.1068824281
193	0.1067764335
194	0.1066387091
195	0.106533683
196	0.1063769971
197	0.1062564751
198	0.1061126893
199	0.1059626051
200	0.1058790573
201	0.1057528824
202	0.1056268195
203	0.1055584316
204	0.1054493734
205	0.105334333
206	0.1052795173
207	0.1051877406
208	0.1050506552
209	0.1049325841
210	0.1047788498
211	0.1046673737
212	0.1045218222
213	0.1043562222
214	0.1042694593
215	0.1041461437
216	0.1040355439
217	0.1039098499
218	0.1038200958
219	0.1036645102
220	0.1035286437
221	0.1034362279
222	0.1032948074
223	0.1032784483
224	0.1031273824
225	0.1029667434
226	0.1028492125
227	0.1027624232
228	0.1027100453
229	0.1026096509
230	0.1023872389
231	0.1022792875
232	0.1021505695
233	0.1020744798
234	0.1020050312
235	0.1018968427
236	0.101674299
237	0.1015887417
238	0.1015235361
239	0.1014459837
240	0.1013997791
241	0.1013168045
242	0.1011045123
243	0.1008924507
244	0.1008150565
245	0.100691181
246	0.1006065593
247	0.1005332235
248	0.1004156399
249	0.1003362824
250	0.1002327519
251	0.1000901191
252	0.09997824766
253	0.09985031365
254	0.09977034337
255	0.09964513696
256	0.09960850533
257	0.09953149324
258	0.09937856276
259	0.09931351525
260	0.09917426233
261	0.09908119426
262	0.09902276812
263	0.09895655446
264	0.09884990765
265	0.09876987148
266	0.09867783779
267	0.09854048233
268	0.09835928751
269	0.09825613256
270	0.09818348201
271	0.09808794987
272	0.09802414099
273	0.09794888142
274	0.09782512447
275	0.09766071695
276	0.09759172298
277	0.09745845894
278	0.09732440428
279	0.09722212559
280	0.09715235419
281	0.0970077317
282	0.09687087038
283	0.09678948358
284	0.09663082775
285	0.09647025469
286	0.0964026377
287	0.09621287792
288	0.09615221172
289	0.09610163898
290	0.09596549579
291	0.09573283879
292	0.09556864869
293	0.09546645565
294	0.09540264018
295	0.0953351286
296	0.0952698505
297	0.09517512873
298	0.09508737093
299	0.09500913999
300	0.094904417
301	0.09479979942
302	0.09474016101
303	0.09468696607
