iter	Passed	Remaining
0	2	2069
1	6	2997
2	7	2569
3	9	2402
4	13	2738
5	15	2648
6	17	2545
7	22	2810
8	28	3125
9	32	3171
10	34	3067
11	36	2968
12	38	2887
13	40	2818
14	48	3152
15	50	3079
16	52	3052
17	55	3012
18	60	3125
19	62	3057
20	64	3014
21	66	2970
22	68	2928
23	71	2887
24	82	3234
25	85	3187
26	87	3141
27	89	3105
28	94	3163
29	98	3169
30	100	3132
31	102	3098
32	104	3065
33	108	3070
34	110	3049
35	115	3089
36	117	3067
37	121	3072
38	123	3036
39	125	3015
40	128	2995
41	130	2973
42	133	2969
43	134	2930
44	137	2911
45	139	2884
46	142	2879
47	144	2864
48	146	2843
49	148	2825
50	151	2810
51	153	2806
52	157	2815
53	159	2798
54	163	2811
55	166	2805
56	169	2801
57	171	2789
58	173	2774
59	176	2760
60	179	2764
61	181	2750
62	187	2782
63	189	2768
64	191	2754
65	193	2741
66	204	2848
67	206	2834
68	209	2821
69	211	2808
70	216	2826
71	220	2848
72	223	2834
73	225	2820
74	227	2808
75	230	2805
76	233	2802
77	236	2799
78	239	2789
79	241	2777
80	243	2762
81	246	2761
82	249	2751
83	251	2742
84	254	2734
85	256	2728
86	260	2730
87	263	2735
88	267	2741
89	270	2734
90	272	2725
91	275	2715
92	281	2742
93	283	2734
94	288	2748
95	291	2741
96	293	2731
97	297	2737
98	299	2730
99	302	2723
100	305	2723
101	308	2717
102	315	2744
103	318	2739
104	320	2731
105	321	2713
106	324	2704
107	326	2700
108	329	2693
109	333	2700
110	335	2685
111	338	2681
112	340	2676
113	343	2671
114	346	2667
115	349	2664
116	352	2657
117	354	2650
118	356	2642
119	359	2636
120	364	2647
121	366	2639
122	372	2653
123	374	2647
124	377	2639
125	379	2635
126	382	2627
127	384	2620
128	387	2618
129	390	2612
130	393	2607
131	397	2613
132	400	2612
133	403	2610
134	406	2605
135	409	2599
136	412	2595
137	417	2608
138	420	2602
139	422	2594
140	424	2587
141	427	2582
142	436	2613
143	438	2605
144	440	2597
145	443	2591
146	447	2594
147	449	2590
148	454	2595
149	456	2587
150	459	2581
151	461	2574
152	466	2584
153	474	2605
154	476	2597
155	486	2631
156	490	2634
157	492	2626
158	495	2619
159	497	2612
160	501	2611
161	505	2614
162	507	2607
163	511	2605
164	516	2613
165	519	2608
166	521	2601
167	523	2594
168	529	2602
169	531	2597
170	535	2597
171	539	2595
172	541	2588
173	545	2591
174	549	2588
175	552	2584
176	557	2592
177	559	2585
178	564	2588
179	566	2581
180	568	2573
181	571	2568
182	573	2561
183	576	2555
184	578	2549
185	586	2565
186	588	2559
187	590	2552
188	594	2549
189	602	2567
190	604	2562
191	607	2558
192	610	2551
193	612	2544
194	625	2580
195	627	2574
196	630	2568
197	641	2598
198	643	2591
199	651	2604
200	653	2598
201	657	2598
202	659	2591
203	662	2583
204	667	2587
205	670	2582
206	672	2575
207	675	2572
208	678	2566
209	680	2560
210	683	2555
211	685	2548
212	688	2543
213	691	2539
214	694	2536
215	697	2530
