iter	Passed	Remaining
0	16	1489
1	23	1048
2	35	1017
3	50	1092
4	59	1004
5	66	937
6	75	895
7	85	880
8	97	875
9	106	849
10	111	797
11	121	787
12	130	773
13	141	768
14	153	768
15	158	732
16	168	725
17	177	709
18	189	708
19	196	687
20	206	677
21	216	669
22	228	665
23	238	654
24	249	647
25	263	648
26	276	644
27	289	640
28	297	626
29	314	628
30	330	628
31	339	615
32	350	605
33	362	597
34	368	579
35	377	565
36	388	556
37	396	543
38	413	540
39	426	532
40	434	519
41	442	505
42	454	496
43	465	486
44	470	470
45	478	457
46	486	445
47	495	433
48	504	422
49	518	415
50	530	405
51	543	397
52	550	384
53	572	381
54	578	368
55	591	358
56	605	350
57	615	339
58	631	331
59	646	323
60	661	314
61	674	304
62	682	292
63	694	282
64	706	271
65	713	259
66	722	247
67	729	236
68	737	224
69	744	212
70	756	202
71	766	191
72	774	180
73	787	170
74	799	159
75	816	150
76	829	139
77	835	128
78	845	117
79	853	106
80	861	95
81	870	84
82	879	74
83	885	63
84	894	52
85	901	41
86	915	31
87	926	21
88	944	10
89	956	0
