iter	Accuracy	Logloss
0	0.9647098516	0.6453678574
1	0.9652496626	0.6014544567
2	0.967071525	0.5616150596
3	0.9666666667	0.5256453195
4	0.9663292848	0.4921215661
5	0.9659919028	0.4627056843
6	0.9661268556	0.4349842053
7	0.9663292848	0.4094519843
8	0.9661268556	0.3869569642
9	0.9661268556	0.3661411483
10	0.966194332	0.3470792722
11	0.966194332	0.3305903683
12	0.966194332	0.314519142
13	0.9663967611	0.3009281613
14	0.966194332	0.2875568607
15	0.9665991903	0.2748342374
16	0.9668016194	0.2635466202
17	0.9670040486	0.2539854747
18	0.967071525	0.2445343852
19	0.9673414305	0.2358109952
20	0.9673414305	0.2280340662
21	0.9674089069	0.2206905976
22	0.9674763833	0.2140211388
23	0.967611336	0.2080607097
24	0.9677462888	0.2023013331
25	0.9677462888	0.197311994
26	0.9678137652	0.1924989212
27	0.9678137652	0.1883065298
28	0.9680161943	0.1841775729
29	0.9679487179	0.1804849156
30	0.9680161943	0.1770394758
31	0.9679487179	0.173996696
32	0.9680161943	0.170963446
33	0.9680836707	0.1683156991
34	0.9680836707	0.1659023571
35	0.9680836707	0.1635761331
36	0.9682186235	0.1612931457
37	0.9682186235	0.1592889326
38	0.9682186235	0.1574000385
39	0.9682860999	0.1557392259
40	0.9682860999	0.1541820956
41	0.9683535762	0.1527313273
42	0.9683535762	0.1513494991
43	0.9683535762	0.1500942757
44	0.9683535762	0.148931593
45	0.9683535762	0.1477416991
46	0.9683535762	0.1465876003
47	0.9683535762	0.1456142205
48	0.9683535762	0.1446119834
49	0.9683535762	0.1437503664
50	0.9683535762	0.1428294538
51	0.968488529	0.1420281319
52	0.968488529	0.1413078855
53	0.9685560054	0.140608543
54	0.9685560054	0.1399712976
55	0.9685560054	0.1393097812
56	0.9685560054	0.138774233
57	0.9685560054	0.1382464147
58	0.9686234818	0.1377471914
59	0.9686234818	0.1372710332
60	0.9686234818	0.1368513655
61	0.9686234818	0.1364667367
62	0.9686234818	0.1360790232
63	0.9686909582	0.1357266896
64	0.9686909582	0.1353781121
65	0.9686909582	0.1350755214
66	0.9686909582	0.13475952
67	0.9686909582	0.134427601
68	0.9686909582	0.1341813611
69	0.9686909582	0.13385016
70	0.9686909582	0.1335860245
71	0.9686909582	0.1333624001
72	0.9686234818	0.1330536143
73	0.9686234818	0.1327981039
74	0.9686234818	0.1326380993
75	0.9686234818	0.1324626988
76	0.9686234818	0.1322924072
77	0.9686234818	0.132129211
78	0.9686234818	0.1319541195
79	0.9686234818	0.1317863845
80	0.9686234818	0.1316418433
81	0.9686234818	0.1315636941
82	0.9686234818	0.1314434334
83	0.9686234818	0.1313747161
84	0.9686234818	0.131270833
85	0.9686234818	0.1310884674
86	0.9686234818	0.1309693746
87	0.9686234818	0.1308641138
88	0.9686234818	0.1307722272
89	0.9686909582	0.1307191843
90	0.9686909582	0.1306199278
91	0.9686909582	0.1305193372
92	0.9687584345	0.1304266422
93	0.9687584345	0.1302817709
94	0.9687584345	0.1302485531
95	0.9687584345	0.1301460131
96	0.9687584345	0.1300603284
97	0.9687584345	0.1299502253
98	0.9687584345	0.1298598929
99	0.9687584345	0.1297925232
100	0.9687584345	0.1296958785
101	0.9687584345	0.1296142113
102	0.9687584345	0.1295145614
103	0.9687584345	0.1294468456
104	0.9687584345	0.129381648
105	0.9687584345	0.1292524308
106	0.9687584345	0.1291532311
107	0.9687584345	0.1290842652
108	0.9688259109	0.129013786
109	0.9688259109	0.128959245
110	0.9688259109	0.1288733565
111	0.9688259109	0.1288334281
112	0.9688259109	0.1287267996
113	0.9688259109	0.1286951277
114	0.9688259109	0.1285864631
115	0.9688259109	0.1285295587
116	0.9688259109	0.1284460338
117	0.9688259109	0.1283872284
118	0.9688259109	0.1282996677
119	0.9688259109	0.1282298004
120	0.9688933873	0.1281624931
121	0.9688933873	0.1281069638
