iter	Passed	Remaining
0	14	22399
1	28	21718
2	51	25804
3	66	24860
4	79	23742
5	93	23206
6	107	23008
7	122	22767
8	139	23053
9	153	22934
10	166	22565
11	182	22589
12	198	22688
13	214	22750
14	228	22668
15	257	23849
16	272	23808
17	285	23537
18	304	23766
19	317	23476
20	331	23315
21	346	23295
22	360	23164
23	373	22988
24	385	22726
25	398	22570
26	411	22453
27	424	22325
28	439	22304
29	453	22231
30	465	22045
31	480	22048
32	494	21980
33	509	21948
34	522	21868
35	541	22010
36	570	22559
37	589	22686
38	605	22685
39	618	22582
40	638	22735
41	662	23009
42	683	23172
43	702	23238
44	715	23150
45	730	23076
46	746	23075
47	762	23078
48	777	23021
49	793	23024
50	809	23000
51	824	22972
52	837	22854
53	849	22748
54	862	22672
55	877	22621
56	892	22596
57	907	22552
58	921	22505
59	933	22402
60	946	22324
61	957	22218
62	971	22166
63	987	22156
64	1002	22125
65	1013	22029
66	1035	22144
67	1051	22136
68	1063	22057
69	1083	22134
70	1098	22107
71	1112	22074
72	1126	22017
73	1143	22039
74	1169	22216
75	1205	22580
76	1232	22783
77	1260	22978
78	1291	23233
79	1316	23375
80	1333	23363
81	1347	23309
82	1373	23451
83	1384	23343
84	1400	23308
85	1421	23378
86	1444	23467
87	1465	23518
88	1480	23468
89	1494	23419
90	1519	23522
91	1544	23632
92	1561	23624
93	1582	23662
94	1595	23591
95	1618	23672
96	1639	23719
97	1658	23728
98	1680	23778
99	1698	23784
100	1723	23871
101	1741	23870
102	1758	23845
103	1782	23929
104	1802	23943
105	1823	23979
106	1845	24029
107	1869	24091
108	1890	24120
109	1909	24130
110	1931	24173
111	1952	24202
112	1975	24250
113	1994	24252
114	2018	24312
115	2036	24294
116	2052	24256
117	2067	24211
118	2080	24150
119	2099	24142
120	2114	24102
121	2128	24036
