iter	Passed	Remaining
0	20	20836
1	34	17449
2	46	15363
3	56	13976
4	71	14129
5	80	13354
6	90	12787
7	105	13112
8	118	13002
9	131	12987
10	152	13689
11	168	13887
12	184	13988
13	198	13966
14	209	13774
15	219	13497
16	227	13162
17	237	12941
18	247	12776
19	255	12499
20	265	12364
21	273	12146
22	283	12045
23	291	11844
24	302	11806
25	310	11638
26	321	11572
27	333	11576
28	341	11444
29	352	11389
30	362	11337
31	370	11194
32	380	11141
33	388	11037
34	398	10982
35	406	10886
36	416	10842
37	424	10741
38	432	10659
39	440	10569
40	452	10572
41	461	10524
42	470	10463
43	481	10461
44	497	10566
45	511	10607
46	519	10531
47	531	10533
48	538	10453
49	547	10399
50	554	10320
51	564	10285
52	572	10222
53	583	10217
54	594	10211
55	603	10169
56	615	10176
57	624	10143
58	632	10081
59	643	10079
60	652	10044
61	663	10043
62	671	9986
63	679	9938
64	687	9889
65	695	9843
66	703	9799
67	716	9814
68	730	9854
69	739	9823
70	748	9794
71	758	9770
72	766	9734
73	775	9701
74	783	9660
75	794	9656
76	802	9613
77	812	9605
78	819	9556
79	829	9535
80	836	9490
81	845	9467
82	853	9432
83	862	9406
84	871	9376
85	879	9345
86	888	9320
87	899	9318
88	911	9334
89	920	9311
90	931	9306
91	943	9312
92	958	9348
93	971	9360
94	983	9369
95	998	9401
96	1007	9376
97	1019	9383
98	1038	9448
99	1048	9437
100	1068	9513
101	1079	9502
102	1093	9519
103	1110	9569
104	1133	9661
105	1149	9693
106	1163	9707
107	1176	9716
108	1188	9711
109	1197	9687
110	1205	9658
111	1218	9663
112	1232	9676
113	1252	9734
114	1267	9750
115	1279	9748
116	1294	9766
117	1317	9846
118	1330	9847
119	1348	9886
120	1361	9892
121	1391	10013
122	1412	10071
123	1432	10118
124	1457	10199
125	1482	10280
126	1502	10330
127	1521	10368
128	1540	10398
129	1563	10462
130	1589	10542
131	1606	10566
132	1625	10595
133	1642	10617
134	1662	10653
135	1675	10644
136	1693	10669
137	1706	10660
138	1723	10677
139	1746	10729
140	1769	10778
141	1779	10751
142	1790	10730
143	1808	10752
