iter	Logloss
0	0.6693417599
1	0.6470275532
2	0.6278822147
3	0.6105201915
4	0.5954582098
5	0.5808783198
6	0.5687762563
7	0.5569362258
8	0.5461247331
9	0.5366994162
10	0.5279951166
11	0.5201241139
12	0.5129876685
13	0.5063530837
14	0.5007286627
15	0.4956368778
16	0.4910835338
17	0.4875475939
18	0.4839144141
19	0.4809778879
20	0.4774604223
21	0.474749459
22	0.4720372491
23	0.4695457449
24	0.4671662153
25	0.4646303815
26	0.462502685
27	0.4605199722
28	0.4586967587
29	0.4570667509
30	0.4555249646
31	0.4539322582
32	0.4523638495
33	0.4511269584
34	0.4500036022
35	0.4488929043
36	0.447601697
37	0.4465940634
38	0.445536993
39	0.4446716292
40	0.4436836898
41	0.4428748298
42	0.4419178441
43	0.4415113296
44	0.4409448577
45	0.4400724956
46	0.4393793606
47	0.438783981
48	0.4380549755
49	0.4374268335
50	0.4370322709
51	0.4365028469
52	0.4359760662
53	0.4353485411
54	0.4349086383
55	0.4343891463
56	0.4338565762
57	0.433358751
58	0.4330365827
59	0.4325851635
60	0.4321200303
61	0.4317358323
62	0.4312549428
63	0.4308014793
64	0.4303297444
65	0.4299786035
66	0.4295919444
67	0.429409139
68	0.4289420513
69	0.4285298924
70	0.4282144728
71	0.4278352473
72	0.4276369083
73	0.4272300524
74	0.4269185174
75	0.4266742539
76	0.4264399111
77	0.4260728378
78	0.4257151244
79	0.4254656025
80	0.4251718106
81	0.4247876197
82	0.4245013296
83	0.4242820624
84	0.4240254404
85	0.4237542301
86	0.4234909413
87	0.4231174883
88	0.4229065107
89	0.4226954051
90	0.4224259372
91	0.4222851292
92	0.4219436093
93	0.4216756096
94	0.4213572089
95	0.4213075859
96	0.4211521607
97	0.4209076777
98	0.4206341934
99	0.4203976887
100	0.4202088553
101	0.4199234438
102	0.4197381273
103	0.4194282574
104	0.4191911155
105	0.4189577831
106	0.4187464927
107	0.4185098167
108	0.4183040089
109	0.4181708357
110	0.4178829711
111	0.4177633527
112	0.4176084905
113	0.4173490692
114	0.4171506692
115	0.4170001598
116	0.4168578509
117	0.4166828852
118	0.4163984681
119	0.4161888706
120	0.4159761829
121	0.4156790839
122	0.4156073815
123	0.4154473993
124	0.4152742581
125	0.4150690669
126	0.4148659629
127	0.4146538218
128	0.4144454485
129	0.4142394002
130	0.4140503493
131	0.4139480354
132	0.4138573823
133	0.4137313525
134	0.4136007143
135	0.4133655181
136	0.4131865125
137	0.4129425708
138	0.412788317
139	0.4127044814
140	0.4126202496
141	0.4123926888
142	0.4122885021
143	0.4121360649
144	0.4120189174
145	0.4118257817
146	0.4116569096
147	0.4115595853
148	0.4114204464
149	0.411279828
150	0.4111452942
151	0.4109596542
152	0.4108035001
153	0.4105086842
154	0.4103552481
155	0.4102740124
156	0.410209151
157	0.4100379398
158	0.4099060656
159	0.4097981219
160	0.4096551686
161	0.4095338784
162	0.4093662268
163	0.4092306958
164	0.4091173592
165	0.4089342008
166	0.4088755975
167	0.4087940709
168	0.4086288936
169	0.408445537
170	0.4083045263
171	0.4082031897
172	0.4080277403
173	0.407833571
174	0.4077102236
175	0.4075808704
176	0.4075120815
177	0.4073840989
178	0.4072878438
179	0.4071639963
180	0.4071216807
181	0.4070013396
182	0.4068365565
183	0.4067086509
184	0.406511761
185	0.4063744418
186	0.4062382547
187	0.406083043
188	0.4059775804
189	0.4059257055
190	0.4058246623
191	0.4056626823
192	0.4055714378
193	0.405502513
194	0.4054050135
195	0.4053463289
196	0.4052418979
197	0.4050561239
198	0.4049412623
199	0.4048203968
200	0.4046940404
201	0.4045284724
202	0.4043943526
203	0.4042455387
204	0.4041087487
205	0.4040385229
206	0.4038544498
207	0.4037256361
208	0.4035958407
209	0.4034396232
210	0.4033157637
