iter	Passed	Remaining
0	13	13510
1	28	14029
2	40	13304
3	54	13502
4	67	13461
5	90	14976
6	106	15068
7	125	15526
8	138	15283
9	150	14905
10	163	14681
11	184	15157
12	202	15369
13	217	15295
14	230	15168
15	260	16013
16	280	16225
17	291	15907
18	306	15840
19	318	15605
20	333	15528
21	345	15346
22	358	15248
23	369	15027
24	385	15049
25	398	14931
26	417	15045
27	429	14892
28	442	14804
29	461	14928
30	476	14896
31	490	14841
32	505	14818
33	521	14822
34	535	14754
35	548	14681
36	562	14649
37	572	14486
38	586	14442
39	601	14437
40	620	14503
41	636	14511
42	650	14483
43	661	14381
44	670	14219
45	679	14094
46	687	13935
47	695	13797
48	704	13665
49	712	13531
50	721	13426
51	729	13296
52	738	13201
53	747	13095
54	758	13028
55	766	12912
56	774	12820
57	786	12775
58	797	12715
59	807	12647
60	817	12586
61	825	12493
62	837	12451
63	850	12440
64	861	12386
65	871	12326
66	881	12275
67	889	12193
68	901	12161
69	909	12082
70	920	12045
71	931	12008
72	939	11933
73	961	12031
74	978	12067
75	993	12079
76	1009	12106
77	1020	12065
78	1036	12081
79	1049	12067
80	1065	12094
81	1080	12098
82	1094	12091
83	1106	12062
84	1121	12072
85	1141	12129
86	1155	12125
87	1171	12137
88	1185	12130
89	1198	12114
90	1213	12121
91	1232	12160
92	1245	12144
93	1263	12181
94	1281	12205
95	1295	12199
96	1313	12225
97	1330	12242
98	1346	12255
99	1358	12225
100	1376	12256
101	1387	12212
102	1399	12189
103	1409	12140
104	1425	12153
105	1441	12153
106	1452	12121
107	1470	12147
108	1489	12179
109	1502	12153
110	1512	12113
111	1529	12129
112	1548	12154
113	1561	12133
114	1571	12094
115	1585	12086
116	1600	12078
117	1619	12105
118	1632	12084
119	1640	12033
120	1656	12034
121	1669	12014
122	1680	11984
123	1693	11965
124	1707	11950
125	1720	11935
126	1731	11903
127	1745	11890
128	1760	11887
129	1776	11887
130	1787	11858
131	1795	11804
132	1806	11773
133	1813	11721
134	1825	11696
135	1836	11670
136	1844	11619
137	1854	11585
138	1866	11559
139	1873	11506
140	1883	11477
141	1891	11431
142	1903	11405
143	1913	11371
144	1930	11384
145	1944	11371
146	1955	11347
147	1985	11431
148	2021	11547
149	2053	11636
150	2085	11723
151	2118	11817
152	2127	11775
153	2160	11869
154	2176	11866
155	2191	11856
156	2209	11861
157	2231	11893
158	2246	11881
159	2265	11892
160	2289	11929
161	2304	11921
162	2321	11918
163	2336	11912
164	2348	11884
165	2360	11861
166	2376	11852
167	2391	11842
168	2409	11845
169	2424	11836
170	2443	11844
171	2458	11835
172	2472	11820
173	2481	11778
174	2498	11780
175	2508	11744
176	2519	11715
177	2532	11694
178	2541	11656
179	2553	11634
180	2565	11609
181	2577	11585
182	2593	11578
183	2606	11560
184	2620	11546
185	2636	11540
186	2649	11520
187	2662	11497
188	2678	11492
189	2691	11472
190	2706	11462
191	2720	11449
192	2733	11430
193	2750	11428
194	2771	11441
195	2780	11406
