iter	Logloss
0	0.6790794053
1	0.6657760595
2	0.6535639503
3	0.6421905494
4	0.6314199469
5	0.621492163
6	0.6131056724
7	0.6048935178
8	0.5973628441
9	0.5905302757
10	0.5836847054
11	0.5773194653
12	0.5711632911
13	0.5663362026
14	0.561085013
15	0.5567018727
16	0.5520442202
17	0.5478548399
18	0.543517725
19	0.5396450739
20	0.5359457807
21	0.5330409693
22	0.5299850464
23	0.5270505797
24	0.5242897145
25	0.5215595698
26	0.5186777197
27	0.5162753173
28	0.5137826736
29	0.5114858273
30	0.5095023802
31	0.507200893
32	0.5052619894
33	0.5032305981
34	0.5013804244
35	0.4993030051
36	0.4978253397
37	0.4962163375
38	0.4946882543
39	0.4932726944
40	0.4918195534
41	0.4902610084
42	0.4890197971
43	0.4877360768
44	0.4862768634
45	0.4851823594
46	0.4841014225
47	0.4832386568
48	0.4823960705
49	0.4813598715
50	0.4804870312
51	0.4796752398
52	0.4788349561
53	0.4780830191
54	0.4771937265
55	0.4761990639
56	0.4754993966
57	0.4746667714
58	0.4739998575
59	0.4732207232
60	0.4723579129
61	0.4718204126
62	0.471210859
63	0.4705018305
64	0.4697779023
65	0.4693624679
66	0.4688100762
67	0.4682661375
68	0.4677954152
69	0.467250797
70	0.4666869299
71	0.4662294549
72	0.4655031083
73	0.4648182738
74	0.464293248
75	0.4638626901
76	0.4634546233
77	0.4630192277
78	0.4626300108
79	0.4623161702
80	0.4619587551
81	0.4614464017
82	0.461054931
83	0.4606595813
84	0.4603481944
85	0.4600113649
86	0.4596185559
87	0.4593303185
88	0.4588876089
89	0.458606917
90	0.458281687
91	0.4579556581
92	0.4576385466
93	0.4572294539
94	0.4568456332
95	0.4564183058
96	0.4560761931
97	0.4556862788
98	0.4553365408
99	0.4550731354
100	0.4547515136
101	0.4545512778
102	0.4543317272
103	0.4541996804
104	0.4539217156
105	0.4536131344
106	0.4533501079
107	0.4531208799
108	0.4528861701
109	0.4526949948
110	0.4525146091
111	0.4522184913
112	0.4519673736
113	0.4516765638
114	0.451515131
115	0.4513852714
116	0.4511637376
117	0.4508719178
118	0.450622694
119	0.4504962969
120	0.4503192845
121	0.4501719059
122	0.4500458847
123	0.4497996722
124	0.4496813306
125	0.4494758545
126	0.4493175502
127	0.4490839115
128	0.4488875253
129	0.4486585397
130	0.4485611473
131	0.4484228364
132	0.4481862332
133	0.447964682
134	0.4477882017
135	0.4477219092
136	0.4475267655
137	0.4473728441
138	0.4472906447
139	0.4470857199
140	0.4469226442
141	0.4467199185
142	0.4465681651
143	0.4464582917
144	0.4463550592
145	0.4461997004
146	0.4460961503
147	0.4459290618
148	0.4457455842
149	0.4456455573
150	0.4454855748
151	0.4452817782
152	0.445152591
153	0.44502269
154	0.4449120243
155	0.4447855013
156	0.4445794033
157	0.444428008
158	0.4442890675
159	0.4442117036
160	0.4440702996
161	0.4439970331
162	0.4438208609
163	0.4436679848
164	0.4435697819
165	0.4434353839
166	0.4433141723
167	0.443131207
168	0.4429535264
169	0.4427841382
170	0.4427003008
171	0.4424860972
172	0.4423726564
173	0.4422640252
174	0.4422360635
175	0.4421699846
176	0.442087791
177	0.4419093329
178	0.4418473257
179	0.4418120241
180	0.4417043989
181	0.4416008132
182	0.4415053644
183	0.4413417028
184	0.4412032941
185	0.4410481221
186	0.4409084868
187	0.4408031818
188	0.4407297186
189	0.440616212
190	0.4405100641
191	0.4402723304
192	0.4401592575
193	0.4401009417
194	0.4400472474
195	0.4398819595
196	0.4397224321
197	0.4396109668
198	0.4395337831
199	0.4393988735
200	0.4392976424
201	0.4392370191
202	0.4391979727
203	0.4391504053
204	0.4390861857
205	0.4389523844
206	0.4388669956
207	0.4387809276
208	0.4387062569
209	0.4385606038
210	0.4384716366
211	0.4384116234
212	0.4383661857
213	0.4382863671
214	0.438092778
215	0.438018944
216	0.4379450378
217	0.4378908123
218	0.4377885073
219	0.4377542457
220	0.4376859714
221	0.437645728
222	0.4376062246
223	0.4374784645
224	0.4374001319
225	0.4372973938
226	0.4372720161
227	0.4372303404
228	0.4371334848
229	0.4370501578
230	0.4369885083
231	0.4369036953
232	0.4367503236
233	0.4365928691
234	0.4365313812
235	0.4364605653
236	0.4363437043
237	0.4362246692
238	0.4361800852
239	0.4360568756
240	0.4359855124
241	0.4358888227
242	0.4358129335
243	0.4356902528
244	0.4355964788
245	0.435531753
246	0.4354659702
247	0.4353763481
248	0.4352814104
249	0.4352418825
250	0.4350908964
251	0.4350333527
252	0.4349209762
253	0.4348528848
254	0.4347458316
255	0.4346417774
256	0.4344992969
257	0.4343909119
258	0.4343275724
259	0.4342173011
260	0.4341327555
261	0.4340648617
262	0.4340314585
263	0.4339114741
264	0.4338591111
265	0.4337615102
266	0.4337150482
267	0.4336743316
268	0.4336340619
269	0.4335437937
270	0.4335128425
271	0.4334391804
272	0.4334238753
273	0.4333404363
274	0.4332313553
275	0.433112002
276	0.4330845822
277	0.4329727836
278	0.4329113483
279	0.4328215044
280	0.4327396696
281	0.4326698778
282	0.4325603535
283	0.4324680014
284	0.4324421905
285	0.4324207351
286	0.4324092241
287	0.4323240579
288	0.4322031943
289	0.4321036761
290	0.4320334273
291	0.4320070686
292	0.4319754423
293	0.4318440997
294	0.4317044699
295	0.4316497589
296	0.4315685231
297	0.4315325125
298	0.431479735
299	0.4313890735
300	0.4313794585
301	0.4312889028
302	0.4312373954
303	0.431178235
304	0.4311187758
305	0.4310720215
306	0.4310263795
307	0.4309760395
308	0.4308838782
309	0.430807359
310	0.4307698594
311	0.4307394625
312	0.4306667368
313	0.4305684926
314	0.4305204948
315	0.4304296186
316	0.4303113219
317	0.4302920732
318	0.430179235
319	0.4301328142
320	0.4300462595
321	0.4299824123
322	0.4299028342
323	0.4297852554
324	0.4296963829
325	0.4296560192
326	0.4296155672
327	0.429577126
328	0.4294919697
329	0.429405996
330	0.4293604522
331	0.429276648
332	0.4291956798
333	0.4291518686
334	0.4290597699
335	0.4290020055
336	0.4289113848
337	0.4288136383
338	0.4287568286
339	0.4286951998
340	0.4286515789
341	0.4285748661
342	0.4284715386
343	0.4283913403
344	0.4283139691
345	0.4282640497
346	0.4281941162
347	0.4281460555
348	0.4280599626
349	0.4279799576
350	0.4279337102
351	0.4279018482
352	0.4278367675
353	0.4277938453
354	0.4277036215
355	0.4275453412
356	0.4274364543
357	0.4273112591
358	0.4271845895
359	0.4270980716
360	0.4270045534
361	0.4269310785
362	0.426866082
363	0.4267561751
364	0.4266908645
365	0.4266246288
366	0.4265258193
367	0.4264262858
368	0.4262942065
369	0.4262263601
370	0.4261343873
371	0.4260836865
372	0.4259747026
373	0.4258387511
374	0.4257817021
375	0.4256287103
376	0.4255297324
377	0.4253901049
378	0.425322902
379	0.4252259317
380	0.4251633394
381	0.4251187792
382	0.4250011605
383	0.4249486923
384	0.4248770339
385	0.424776785
386	0.4247026268
387	0.4246057496
388	0.4245095843
389	0.4244120549
390	0.4243312883
391	0.4242785431
392	0.4242304708
393	0.4241403743
394	0.4240709411
395	0.4239724294
