iter	Passed	Remaining
0	8	33380
1	20	38262
2	30	38568
3	38	36642
4	45	34368
5	53	33979
6	67	36553
7	74	35420
8	83	34984
9	90	34382
10	101	34954
11	108	34156
12	118	34525
13	125	34011
14	134	33862
15	141	33526
16	150	33526
17	157	33077
18	166	33141
19	173	32801
20	183	32999
21	190	32710
22	198	32608
23	205	32382
24	215	32560
25	222	32332
26	232	32463
27	239	32315
28	249	32387
29	257	32357
30	266	32396
31	273	32237
32	281	32160
33	289	32015
34	299	32194
35	310	32499
36	318	32341
37	326	32269
38	333	32149
39	343	32255
40	350	32130
41	360	32280
42	371	32447
43	382	32643
44	394	32879
45	403	32929
46	413	32971
47	419	32797
48	428	32802
49	438	32910
50	448	32995
51	457	32955
52	464	32864
53	474	32938
54	486	33084
55	496	33159
56	505	33171
57	513	33093
58	524	33236
59	537	33486
60	552	33826
61	561	33826
62	574	34085
63	583	34063
64	591	33973
65	605	34238
66	618	34478
67	626	34361
68	635	34378
69	645	34380
70	654	34390
71	666	34525
72	683	34907
73	692	34872
74	707	35148
75	719	35269
76	734	35491
77	741	35390
78	750	35350
79	759	35297
80	768	35267
81	777	35247
82	785	35158
83	795	35161
84	803	35102
85	812	35093
86	820	35020
87	831	35043
88	838	34964
89	846	34882
90	854	34804
91	863	34784
92	871	34711
93	881	34741
94	895	34933
95	913	35222
96	928	35430
97	944	35661
98	958	35806
99	973	36004
100	990	36254
101	1005	36444
102	1021	36667
103	1042	37055
104	1063	37423
105	1076	37489
106	1092	37691
107	1103	37720
108	1125	38096
109	1139	38220
110	1156	38440
111	1173	38617
112	1188	38766
113	1204	38936
114	1216	38980
115	1233	39166
116	1248	39279
117	1260	39313
118	1271	39332
119	1282	39331
120	1298	39457
121	1307	39393
122	1320	39461
123	1331	39448
124	1339	39370
125	1348	39315
126	1359	39299
127	1368	39250
128	1378	39218
129	1391	39286
130	1403	39305
131	1418	39412
132	1429	39396
133	1443	39479
134	1457	39565
135	1474	39724
136	1489	39804
137	1502	39852
138	1512	39822
139	1526	39886
140	1537	39894
141	1557	40110
142	1578	40354
143	1587	40291
144	1599	40314
145	1610	40286
146	1625	40374
147	1644	40577
148	1658	40631
149	1671	40654
150	1684	40692
151	1692	40611
152	1706	40661
153	1722	40760
154	1729	40658
155	1738	40608
156	1746	40513
157	1754	40441
158	1762	40348
159	1771	40281
160	1780	40234
161	1789	40172
162	1797	40089
163	1806	40040
164	1814	39953
165	1822	39877
166	1830	39804
167	1837	39721
168	1845	39646
169	1852	39546
170	1860	39465
171	1869	39412
172	1876	39335
173	1885	39284
174	1892	39184
175	1899	39110
176	1909	39066
177	1917	39017
178	1925	38937
179	1934	38888
180	1951	39018
181	1965	39062
182	1977	39070
183	1987	39043
184	2000	39083
185	2022	39285
186	2043	39477
187	2058	39536
188	2076	39664
189	2095	39797
190	2109	39857
191	2122	39877
192	2136	39915
193	2149	39939
194	2162	39974
195	2176	40002
196	2188	40018
197	2204	40090
198	2213	40042
199	2226	40071
200	2240	40099
201	2258	40218
202	2271	40238
203	2287	40305
204	2298	40297
205	2312	40338
206	2326	40366
207	2340	40406
208	2355	40456
209	2366	40441
210	2381	40504
211	2395	40532
212	2408	40546
213	2424	40612
214	2439	40669
215	2456	40743
216	2479	40924
217	2501	41094
218	2524	41273
219	2537	41288
220	2546	41229
221	2558	41224
222	2576	41317
223	2600	41502
224	2611	41476
225	2627	41540
226	2640	41544
227	2654	41580
228	2667	41582
229	2677	41542
230	2691	41571
231	2707	41633
232	2719	41623
233	2731	41613
234	2747	41667
235	2758	41646
236	2777	41737
237	2787	41707
238	2796	41654
239	2804	41582
240	2813	41535
241	2820	41462
242	2830	41417
243	2837	41342
244	2847	41303
245	2855	41246
246	2865	41201
247	2873	41145
248	2881	41074
249	2889	41015
250	2899	40980
251	2909	40947
252	2927	41036
253	2936	40980
254	2946	40951
255	2954	40886
256	2965	40873
257	2981	40915
258	2994	40932
259	3007	40943
260	3021	40960
261	3036	40993
262	3050	41007
263	3062	41001
264	3075	41015
265	3091	41066
266	3111	41157
267	3129	41234
268	3143	41248
269	3153	41222
270	3172	41306
271	3186	41321
272	3197	41295
273	3210	41296
274	3223	41313
275	3235	41302
276	3246	41282
277	3259	41285
278	3273	41295
279	3284	41276
280	3295	41257
281	3313	41325
282	3326	41328
283	3338	41322
284	3359	41426
285	3369	41388
286	3378	41337
287	3389	41322
288	3403	41332
289	3420	41385
290	3434	41396
291	3445	41382
292	3462	41435
293	3473	41411
294	3488	41435
295	3500	41429
296	3520	41514
297	3535	41535
298	3549	41549
299	3564	41577
300	3571	41510
301	3583	41493
302	3603	41576
303	3617	41593
304	3635	41651
305	3649	41660
306	3664	41683
307	3679	41702
308	3695	41743
309	3712	41785
310	3724	41772
311	3739	41791
312	3751	41784
313	3762	41761
314	3776	41771
315	3790	41777
316	3804	41793
317	3818	41795
318	3830	41790
319	3840	41749
320	3849	41709
321	3860	41682
322	3871	41660
323	3881	41630
324	3893	41614
325	3903	41581
326	3912	41538
327	3919	41477
328	3928	41435
329	3937	41388
330	3947	41358
331	3955	41301
332	3964	41260
333	3976	41254
334	3984	41202
335	3994	41167
336	4009	41185
337	4017	41139
338	4026	41093
339	4034	41044
340	4043	41008
341	4052	40961
342	4060	40913
343	4070	40881
344	4078	40831
345	4088	40807
346	4096	40755
347	4105	40716
348	4114	40675
349	4126	40659
350	4137	40642
351	4146	40608
352	4155	40567
353	4163	40513
354	4171	40467
355	4179	40421
356	4188	40379
357	4198	40354
358	4206	40303
359	4214	40264
360	4221	40207
361	4231	40175
362	4239	40133
363	4251	40124
364	4263	40111
365	4271	40064
366	4281	40037
367	4289	39993
368	4298	39955
369	4306	39906
370	4315	39873
371	4327	39868
372	4335	39818
373	4344	39790
374	4352	39744
375	4361	39704
376	4369	39658
377	4378	39623
378	4385	39574
379	4394	39535
380	4401	39488
381	4409	39447
382	4417	39401
383	4426	39367
384	4434	39320
385	4441	39275
386	4453	39260
387	4460	39212
388	4471	39193
389	4483	39187
390	4492	39154
391	4502	39134
392	4510	39092
393	4519	39060
394	4527	39014
395	4536	38980
396	4543	38933
397	4552	38902
398	4560	38857
399	4568	38817
400	4576	38779
401	4584	38742
402	4594	38713
403	4601	38669
404	4611	38644
405	4626	38666
406	4634	38626
407	4644	38604
408	4654	38578
409	4664	38552
410	4677	38554
