iter	Logloss
0	0.6771394369
1	0.6617733315
2	0.6475988035
3	0.6346384983
4	0.6225295586
5	0.6111263511
6	0.6005830242
7	0.5909584171
8	0.581997148
9	0.5737616274
10	0.5658247618
11	0.5583788955
12	0.5514036451
13	0.5449663677
14	0.5387825852
15	0.5333217749
16	0.5280646855
17	0.5228837445
18	0.51806337
19	0.5138323273
20	0.5097017047
21	0.5060362204
22	0.502259749
23	0.4989593452
24	0.4958322956
25	0.4927753412
26	0.4900096786
27	0.48740899
28	0.4850358202
29	0.4827391684
30	0.4804680616
31	0.4783886956
32	0.476507199
33	0.4747069509
34	0.4728947308
35	0.4711608845
36	0.4695471529
37	0.4679791573
38	0.4666084184
39	0.4652059447
40	0.4639157359
41	0.4626712533
42	0.4612062836
43	0.4598898732
44	0.4588167717
45	0.4578218329
46	0.4567858636
47	0.4558980584
48	0.4549245943
49	0.4540070575
50	0.4530881866
51	0.4522802125
52	0.4514740214
53	0.4507142553
54	0.4499906446
55	0.4492005112
56	0.4483965367
57	0.4477574457
58	0.4471519093
59	0.4464575904
60	0.4459057681
61	0.4453227988
62	0.4447847723
63	0.4442319555
64	0.4437755251
65	0.4431977423
66	0.4426793162
67	0.4421916978
68	0.44172176
69	0.4412666849
70	0.4407730369
71	0.4403377366
72	0.4399177654
73	0.4394707391
74	0.4391107053
75	0.4386737498
76	0.4384361381
77	0.4381334749
78	0.4377590464
79	0.4374507805
80	0.4371449267
81	0.4368226214
82	0.4365336606
83	0.436092205
84	0.4357274167
85	0.4354302465
86	0.4351107746
87	0.4347048589
88	0.434420058
89	0.4341696428
90	0.4339070755
91	0.433597154
92	0.4333651724
93	0.4330982571
94	0.4328556093
95	0.4325670928
96	0.4322879766
97	0.4320179748
98	0.4317079093
99	0.4314622097
100	0.4312021229
101	0.4309477943
102	0.4306589385
103	0.4304281369
104	0.4302069352
105	0.4300260266
106	0.4298769847
107	0.4297009521
108	0.4294574667
109	0.4292911805
110	0.4291234939
111	0.4289329634
112	0.4286633237
113	0.4284147342
114	0.4282439885
115	0.428072718
116	0.4278197301
117	0.4276084169
118	0.4274358294
119	0.4272938029
120	0.427133411
121	0.4269483281
122	0.4268027773
123	0.426616636
124	0.4264320324
125	0.4262176841
126	0.4259853829
127	0.4257865099
128	0.4256270128
129	0.4254579724
130	0.4252853776
131	0.4250599538
132	0.4248718546
133	0.4247404744
134	0.4246013841
135	0.4244228313
136	0.4242741618
137	0.4240588844
138	0.4238818461
139	0.4236830799
140	0.4235558613
141	0.4233486744
142	0.4232075043
