iter	Passed	Remaining
0	81	324166
1	91	181929
2	99	132114
3	110	110159
4	119	95742
5	129	86303
6	141	80632
7	154	76993
8	164	72953
9	173	69075
10	180	65471
11	191	63601
12	199	61194
13	207	59130
14	216	57613
15	224	55923
16	234	54942
17	242	53603
18	254	53229
19	270	53798
20	282	53597
21	294	53319
22	307	53119
23	318	52719
24	330	52558
25	346	53002
26	373	54891
27	393	55828
28	407	55828
29	429	56885
30	451	57747
31	467	57936
32	479	57615
33	495	57773
34	517	58625
35	537	59154
36	559	59914
37	568	59257
38	578	58755
39	588	58273
40	599	57845
41	610	57577
42	624	57490
43	635	57124
44	646	56821
45	659	56675
46	676	56865
47	684	56390
48	694	56030
49	703	55614
50	716	55506
51	727	55205
52	735	54764
53	744	54407
54	755	54217
55	764	53844
56	774	53595
57	783	53218
58	792	52963
59	801	52612
60	811	52385
61	820	52131
62	830	51885
63	840	51667
64	849	51401
65	858	51185
66	866	50892
67	877	50748
68	888	50608
69	897	50365
70	907	50241
71	916	49994
72	925	49807
73	938	49778
74	947	49606
75	958	49507
76	969	49389
77	979	49267
78	990	49141
79	998	48924
80	1007	48756
81	1016	48591
82	1028	48527
83	1039	48461
84	1051	48410
85	1059	48203
86	1069	48087
87	1079	47991
88	1088	47846
89	1100	47797
90	1110	47687
91	1123	47729
92	1134	47682
93	1143	47520
94	1153	47396
95	1163	47299
96	1177	47391
97	1189	47364
98	1200	47311
99	1210	47190
100	1221	47169
101	1231	47062
102	1240	46939
103	1251	46871
104	1262	46816
105	1270	46658
106	1279	46567
107	1288	46422
108	1297	46330
109	1306	46186
110	1315	46097
111	1325	46025
112	1334	45920
113	1344	45846
114	1353	45711
115	1364	45682
116	1373	45582
117	1388	45684
118	1397	45564
119	1408	45555
120	1420	45528
121	1429	45424
122	1438	45346
123	1448	45283
124	1458	45223
125	1470	45205
126	1478	45085
127	1490	45074
128	1498	44978
129	1508	44909
130	1520	44896
131	1528	44799
132	1540	44795
133	1549	44718
134	1558	44622
135	1568	44571
136	1577	44481
137	1587	44439
138	1597	44371
139	1606	44297
140	1620	44345
141	1630	44290
142	1637	44172
143	1647	44122
144	1656	44030
145	1666	43993
