iter	RMSE
0	2242427.42
1	2232862.587
2	2215197.407
3	2202605.105
4	2189331.12
5	2178684.706
6	2166237.452
7	2153946.43
8	2139568.261
9	2129876.055
10	2117708.687
11	2104183.252
12	2095893.261
13	2086685.368
14	2076871.773
15	2062740.267
16	2056295.664
17	2045584.715
18	2039936.872
19	2031058.742
20	2018713.36
21	2012279.647
22	2006001.405
23	1997863.959
24	1990292.762
25	1976625.789
26	1962803.746
27	1948709.568
28	1944650.336
29	1935733.856
30	1925630.502
31	1914381.874
32	1908327.523
33	1900093.945
34	1892305.437
35	1881227.23
36	1871611.193
37	1863324.951
38	1851893.115
39	1841501.776
40	1831523.688
41	1823533.615
42	1816306.959
43	1807864.043
44	1802564.878
45	1795233.661
46	1784674.071
47	1778651.404
48	1772042.79
49	1761896.447
50	1751114.484
51	1744490.905
52	1737442.204
53	1732467.337
54	1725049.04
55	1716892.432
56	1706894.93
57	1695596.047
58	1689393.802
59	1682470.127
60	1677553.625
61	1671465.41
62	1662071.256
63	1657731.972
64	1648561.291
65	1641782.015
66	1632995.029
67	1625416.549
68	1620028.221
69	1617201.947
70	1609435.758
71	1598905.255
72	1595913.303
73	1584136.312
74	1579467.257
75	1573809.455
76	1563403.381
77	1560428.601
78	1554652.931
79	1549905.709
80	1546624.877
81	1540784.347
82	1532881.195
83	1528572.136
84	1521972.03
85	1513064.4
86	1505527.124
87	1499637.538
88	1492660.522
89	1488759.581
90	1484283.112
91	1475766.21
92	1471543.262
93	1465337.798
94	1461548.243
95	1455606.615
96	1449732.424
97	1444925.482
98	1438381.11
99	1434509.844
100	1429342.786
101	1421810.07
102	1418924.65
103	1412429.904
104	1406618.386
105	1403274.04
106	1400703.444
107	1389704.938
108	1386080.016
109	1383130.724
110	1378878.015
111	1375401.95
112	1370108.325
113	1365229.547
114	1361158.903
115	1351593.438
116	1346125.496
117	1340820.918
118	1337315.21
119	1329235.527
120	1323523.743
121	1316697.667
122	1307679.931
123	1299869.732
124	1289162.128
125	1286621.608
126	1282451.993
127	1279127.239
128	1276258.054
129	1266446.695
130	1263325.972
131	1260487.975
132	1257368.477
133	1253703.122
134	1249637.346
135	1243729.96
136	1238075.918
137	1229582.686
138	1225691.499
139	1220840.237
140	1217201.917
141	1212827.576
142	1209064.98
143	1203967.108
144	1199886.437
145	1196984.907
146	1193704.762
147	1189726.01
148	1185712.054
149	1183184.163
150	1180929.235
151	1178042.737
152	1174503.792
153	1171836.709
154	1168656.152
155	1163373.81
156	1156501.441
157	1154121.675
158	1152008.367
159	1148299.713
160	1145208.614
161	1141354.898
162	1136220.3
163	1129263.143
164	1121044.656
165	1117827.773
166	1114251.8
167	1106254.962
168	1103931.218
169	1098308.599
170	1095097.882
171	1090457.587
172	1087870.306
173	1084923.798
174	1081449.199
175	1077578.666
176	1071169.739
177	1064868.448
178	1059920.857
179	1056792.582
180	1053969.136
181	1049311.724
182	1043292.033
183	1040989.349
184	1039063.369
