iter	Passed	Remaining
0	5	5148
1	6	3102
2	10	3461
3	15	3752
4	16	3253
5	17	2897
6	18	2619
7	19	2423
8	32	3530
9	36	3590
10	37	3366
11	38	3168
12	42	3238
13	43	3080
14	44	2953
15	46	2859
16	51	2962
17	52	2884
18	56	2927
19	57	2825
20	61	2880
21	69	3077
22	70	3002
23	71	2915
24	72	2840
25	74	2774
26	76	2765
27	88	3070
28	90	3029
29	91	2968
30	93	2907
31	94	2845
32	99	2919
33	106	3013
34	108	2996
35	113	3030
36	123	3218
37	126	3200
38	145	3583
39	162	3909
40	164	3839
41	169	3864
42	172	3847
43	181	3943
44	184	3921
45	200	4158
46	201	4088
47	204	4052
48	216	4208
49	228	4342
50	231	4316
51	233	4249
52	235	4207
53	236	4146
54	237	4087
55	239	4036
56	249	4133
57	253	4116
58	254	4059
59	260	4075
60	266	4101
61	268	4066
62	270	4024
63	271	3977
64	286	4125
65	287	4074
66	289	4024
67	301	4132
68	302	4082
69	304	4051
70	308	4040
71	309	3995
72	311	3950
73	317	3977
74	319	3937
75	320	3894
76	321	3852
77	322	3813
78	325	3795
79	331	3809
80	338	3845
81	339	3805
82	340	3766
83	341	3728
84	342	3691
85	356	3786
86	358	3761
87	368	3818
88	370	3790
89	373	3775
90	374	3741
91	375	3708
92	377	3676
93	386	3725
94	394	3761
95	407	3836
96	409	3807
97	410	3774
98	411	3742
99	412	3711
100	414	3688
101	426	3756
102	427	3725
103	432	3727
104	443	3780
105	444	3750
106	445	3722
107	447	3693
108	448	3664
109	449	3637
110	450	3611
111	458	3635
112	465	3650
113	478	3718
114	484	3730
115	488	3724
116	491	3706
117	493	3691
118	495	3665
119	502	3684
120	508	3691
121	509	3666
122	510	3640
123	511	3615
124	514	3600
125	515	3576
126	516	3553
127	523	3569
128	525	3546
129	526	3526
130	529	3511
131	542	3564
132	544	3548
133	547	3536
134	554	3555
135	558	3550
136	565	3560
137	577	3604
138	580	3592
139	583	3585
140	590	3599
141	596	3604
142	597	3582
143	599	3563
144	600	3542
145	601	3520
146	609	3535
147	613	3534
148	617	3524
149	618	3502
150	621	3492
151	623	3476
152	624	3457
153	627	3446
154	632	3449
155	633	3429
156	635	3409
157	636	3390
158	641	3391
159	650	3413
160	652	3398
161	653	3380
162	656	3373
163	658	3356
164	662	3350
165	667	3352
166	668	3334
167	669	3316
168	670	3298
169	672	3285
170	683	3314
171	685	3300
172	689	3296
173	696	3304
174	697	3289
175	700	3277
176	701	3260
177	702	3243
178	703	3226
179	704	3210
180	706	3196
181	709	3188
182	712	3182
183	714	3168
184	717	3159
185	718	3143
186	719	3128
187	733	3167
188	737	3163
189	738	3148
190	739	3133
191	741	3120
192	743	3106
193	744	3092
194	745	3078
195	747	3065
196	748	3050
197	752	3048
198	761	3067
199	767	3068
200	779	3099
201	783	3096
202	785	3085
203	787	3074
204	790	3067
205	794	3062
206	801	3070
207	817	3110
208	822	3113
209	827	3111
210	835	3124
211	839	3120
212	842	3113
213	845	3103
214	853	3117
215	856	3107
216	857	3094
217	859	3081
218	860	3068
219	862	3057
220	863	3044
221	866	3035
222	868	3026
223	871	3018
224	872	3005
225	884	3030
226	886	3017
227	887	3005
228	889	2993
229	890	2980
230	892	2969
231	894	2961
232	895	2949
233	900	2948
234	903	2940
235	906	2933
236	909	2926
237	912	2922
238	914	2910
239	917	2906
240	922	2906
241	924	2896
242	928	2891
243	930	2881
244	931	2869
245	934	2863
246	939	2865
247	941	2853
248	942	2842
249	943	2830
250	944	2818
251	945	2806
252	946	2795
253	947	2783
254	948	2772
255	950	2761
256	951	2750
257	955	2746
258	956	2736
259	957	2726
260	960	2720
261	961	2709
262	965	2705
263	967	2696
264	970	2691
265	973	2685
266	975	2676
267	976	2668
268	978	2658
269	980	2650
270	981	2639
271	982	2629
272	990	2637
273	992	2628
274	998	2633
275	1008	2645
276	1010	2637
277	1011	2627
278	1015	2623
279	1017	2615
280	1024	2621
281	1025	2611
282	1026	2601
283	1027	2591
284	1030	2585
285	1031	2575
286	1035	2573
287	1041	2574
288	1044	2570
289	1046	2561
290	1050	2559
291	1051	2550
292	1054	2544
293	1059	2543
294	1060	2534
295	1062	2525
296	1070	2533
297	1075	2534
298	1076	2524
299	1084	2529
300	1088	2527
301	1090	2520
302	1092	2512
303	1093	2504
304	1095	2495
305	1099	2492
306	1102	2488
307	1108	2491
308	1110	2482
309	1114	2480
310	1115	2472
311	1117	2464
312	1119	2456
313	1120	2448
314	1122	2440
315	1124	2433
316	1125	2425
317	1126	2416
318	1128	2408
319	1134	2410
320	1136	2403
321	1138	2398
322	1140	2389
323	1146	2392
324	1150	2390
325	1152	2381
326	1153	2373
327	1155	2367
328	1156	2359
329	1159	2353
330	1161	2348
331	1163	2340
332	1165	2335
333	1175	2343
334	1176	2335
335	1188	2349
336	1190	2341
337	1191	2333
338	1193	2327
339	1194	2319
340	1201	2321
341	1206	2320
342	1207	2312
343	1208	2304
344	1209	2296
345	1210	2288
346	1214	2285
347	1215	2277
348	1223	2282
349	1225	2275
350	1226	2267
351	1232	2269
352	1236	2267
353	1240	2264
354	1243	2258
355	1260	2279
356	1261	2272
357	1263	2265
358	1270	2268
359	1274	2265
360	1279	2265
361	1283	2261
362	1289	2263
363	1296	2265
364	1298	2258
365	1299	2250
366	1302	2246
367	1303	2238
368	1309	2239
369	1312	2235
370	1316	2231
371	1317	2224
372	1322	2222
373	1325	2218
374	1327	2212
375	1331	2209
376	1334	2205
377	1339	2203
378	1342	2198
379	1346	2197
380	1348	2190
381	1350	2184
382	1351	2177
383	1356	2175
384	1359	2171
385	1363	2169
386	1365	2162
387	1366	2155
388	1367	2148
389	1369	2142
390	1371	2136
391	1378	2138
392	1382	2135
393	1383	2128
394	1389	2127
395	1390	2121
396	1396	2120
397	1401	2120
398	1403	2113
399	1406	2109
400	1407	2102
401	1410	2097
402	1414	2095
403	1419	2093
404	1422	2089
405	1427	2088
406	1429	2082
407	1431	2076
408	1436	2075
409	1437	2069
410	1451	2080
411	1455	2077
412	1459	2073
413	1462	2070
414	1465	2066
415	1468	2061
416	1469	2055
417	1470	2048
418	1471	2041
419	1479	2043
420	1484	2041
421	1485	2035
422	1487	2028
423	1488	2022
424	1489	2015
425	1494	2013
426	1495	2007
427	1497	2001
428	1500	1997
429	1505	1995
430	1509	1993
431	1513	1989
432	1514	1983
433	1518	1980
434	1525	1981
435	1529	1977
436	1530	1971
437	1531	1965
438	1532	1958
439	1539	1959
440	1545	1959
441	1547	1953
442	1550	1949
443	1560	1954
444	1563	1950
445	1564	1943
446	1566	1937
447	1569	1933
448	1575	1933
449	1580	1931
450	1586	1931
451	1587	1925
452	1589	1918
453	1590	1912
454	1597	1913
455	1601	1911
456	1605	1907
457	1607	1902
458	1616	1905
459	1617	1899
460	1619	1893
461	1620	1887
462	1637	1898
463	1639	1894
464	1641	1888
465	1642	1881
466	1643	1875
467	1653	1879
468	1654	1873
469	1656	1867
470	1657	1861
471	1658	1854
472	1663	1853
473	1671	1854
474	1673	1849
475	1674	1843
476	1675	1837
477	1679	1833
478	1680	1827
479	1683	1823
480	1686	1819
481	1687	1813
482	1688	1807
483	1690	1801
484	1691	1795
485	1692	1789
486	1694	1784
487	1702	1786
488	1704	1781
489	1705	1775
490	1706	1769
491	1710	1766
492	1714	1763
493	1716	1758
494	1724	1759
495	1728	1756
496	1730	1751
497	1734	1748
498	1737	1744
499	1747	1747
500	1749	1742
501	1750	1736
502	1752	1731
503	1753	1725
504	1754	1719
505	1760	1719
506	1762	1714
507	1766	1710
508	1768	1706
509	1769	1700
510	1770	1694
511	1775	1692
512	1778	1688
513	1780	1683
514	1790	1685
515	1791	1680
516	1794	1676
517	1797	1672
518	1800	1669
519	1802	1663
520	1805	1660
521	1809	1656
522	1814	1655
523	1815	1649
524	1817	1644
525	1818	1638
526	1831	1643
527	1832	1637
528	1834	1633
529	1835	1628
530	1837	1622
531	1843	1621
532	1847	1618
533	1848	1613
534	1850	1607
535	1851	1603
536	1853	1597
537	1854	1592
538	1855	1587
539	1867	1591
540	1869	1585
541	1870	1580
542	1871	1575
543	1879	1575
544	1885	1574
545	1894	1574
546	1897	1571
547	1898	1566
548	1901	1562
549	1904	1558
550	1905	1552
551	1907	1547
552	1914	1547
553	1919	1545
554	1920	1539
555	1922	1535
556	1923	1529
557	1940	1537
558	1942	1532
559	1943	1526
560	1949	1525
561	1957	1525
562	1958	1520
563	1961	1516
564	1962	1511
565	1966	1507
566	1970	1504
567	1973	1501
568	1975	1496
569	1977	1491
570	1982	1489
571	1987	1486
572	1991	1484
573	1993	1479
574	1994	1474
575	1995	1469
576	2002	1468
577	2005	1464
578	2007	1459
579	2012	1457
580	2018	1455
581	2020	1451
582	2028	1451
583	2032	1447
584	2034	1443
585	2037	1439
586	2045	1439
587	2048	1435
588	2054	1433
589	2057	1429
590	2064	1428
