iter	RMSE
0	0.4761718855
1	0.473620119
2	0.4702660684
3	0.4667103287
4	0.4635460076
5	0.4610508967
6	0.4582440886
7	0.4556509704
8	0.451583291
9	0.4489414525
10	0.4459589049
11	0.4422490489
12	0.4391045529
13	0.4375616808
14	0.4356814666
15	0.4312976746
16	0.4293675366
17	0.4269929427
18	0.4255440347
19	0.4241162974
20	0.4224690574
21	0.4216734645
22	0.4186562181
23	0.4148623041
24	0.4139751408
25	0.411429543
26	0.4091636451
27	0.4078866356
28	0.4058283925
29	0.4036388894
30	0.4013179768
31	0.3995589511
32	0.3975553829
33	0.3956037974
34	0.3937185611
35	0.3923169583
36	0.3902620704
37	0.387947548
38	0.3860387505
39	0.3840736507
40	0.3816880133
41	0.3795730335
42	0.3779476861
43	0.3752893818
44	0.373896004
45	0.371920346
46	0.3702342774
47	0.3687629037
48	0.3670825303
49	0.3656311326
50	0.3650692504
51	0.3635364376
52	0.3614471567
53	0.3593152752
54	0.3583663153
55	0.3575560619
56	0.3562021058
57	0.354806195
58	0.3537078333
59	0.3518045424
60	0.3499953989
61	0.3487748915
62	0.3467332766
63	0.3447013509
64	0.3431819208
65	0.3419300863
66	0.3406092065
67	0.339348901
68	0.338491686
69	0.3374577636
70	0.3366289941
71	0.3354246147
72	0.3346349991
73	0.3332250681
74	0.3313863914
75	0.3304397269
76	0.3280030789
77	0.326487059
78	0.3254625608
79	0.3245705487
80	0.3237519405
81	0.3218934274
82	0.3203612811
83	0.3192496206
84	0.3174363744
85	0.3165562667
86	0.3151697531
87	0.314143626
88	0.3126675861
89	0.311564215
90	0.3104055081
91	0.3091218913
92	0.3081781647
93	0.3061618592
94	0.305175697
95	0.3039159153
96	0.302137303
97	0.3012543391
98	0.3000782189
99	0.2987385144
100	0.2982503722
101	0.2973644916
102	0.2955489793
103	0.2945708134
104	0.2931237657
105	0.2928177322
106	0.2919630304
107	0.2913511783
108	0.2896448379
109	0.2876300423
110	0.2862618876
111	0.2842966345
112	0.283223724
113	0.282250775
114	0.2804330566
115	0.2790344938
116	0.2783389905
117	0.2771830817
118	0.2764187012
119	0.2761865388
120	0.274792195
121	0.2744275059
122	0.2731364799
123	0.2724697443
124	0.2708603366
125	0.2698201974
126	0.2690287396
127	0.2677666159
128	0.2669748848
129	0.2668134018
130	0.2655648269
131	0.2650399032
132	0.2636843465
133	0.2625309147
134	0.2616542615
135	0.2609378257
136	0.2596567101
137	0.2590746054
138	0.2584636305
139	0.2578746666
140	0.2569422576
141	0.2554881713
142	0.2537906747
143	0.2532051611
144	0.2524238253
145	0.2510863515
146	0.2502627989
147	0.2497908628
148	0.2496344677
149	0.2491203598
150	0.2482912584
151	0.2475112989
152	0.246058761
153	0.2457979774
154	0.2447261778
155	0.2434672708
156	0.2423132364
157	0.24144115
158	0.2406217394
159	0.2395127493
160	0.2392947414
161	0.2391025168
162	0.2378201969
163	0.2366009943
164	0.2364378473
165	0.2356258336
166	0.2344764911
167	0.233558266
168	0.2327893751
169	0.2320278321
170	0.2317809168
171	0.230662287
172	0.2304212105
173	0.2302314014
174	0.2299636853
175	0.2295213008
176	0.2293285076
177	0.2280081786
178	0.2264689149
179	0.2262878716
180	0.2260400305
181	0.2255718202
182	0.225434024
183	0.2242611933
184	0.2240622059
185	0.2238796754
186	0.2229665102
187	0.2227114083
188	0.2222610982
189	0.2220973596
190	0.221886278
191	0.22175443
192	0.2210117345
193	0.2208646854
194	0.2196652297
195	0.2194350553
196	0.2193264373
197	0.2185574863
198	0.217446762
199	0.2173227248
200	0.2169602571
201	0.2162637997
202	0.2152764001
203	0.2144604759
204	0.2142777386
205	0.2141634909
206	0.213767701
207	0.2131889079
208	0.2118024968
209	0.2109656965
210	0.2103248692
211	0.2099587169
212	0.209759089
213	0.2087314918
214	0.2085398431
215	0.2078400419
216	0.2076662917
217	0.2075290389
218	0.2063652919
219	0.2054649123
220	0.2048524268
221	0.2041872848
222	0.2038875318
223	0.2036857757
224	0.2029626718
225	0.2027918118
226	0.2024721322
227	0.2010102348
228	0.1996440583
229	0.1994743059
230	0.1989772841
231	0.19824128
232	0.1975235603
233	0.1965106587
234	0.1959380826
235	0.1954965219
236	0.1953916579
237	0.1947247787
238	0.1938437375
239	0.1928697504
240	0.1925671983
241	0.1919630293
242	0.191232713
243	0.1911039418
244	0.1900274232
245	0.1898891752
246	0.1891348336
247	0.1881274326
248	0.1875929324
249	0.1874975128
250	0.1866023407
251	0.185260171
252	0.1845943836
253	0.1836057677
254	0.183481742
255	0.1823393436
256	0.1822110266
257	0.1820198304
258	0.1814030461
259	0.1806184259
260	0.180030596
261	0.1787832059
262	0.178261276
