iter	Passed	Remaining
0	5	9823
1	8	7794
2	10	6517
3	13	5961
4	15	5523
5	17	5199
6	20	5364
7	23	5189
8	25	5012
9	27	4847
10	29	4728
11	30	4606
12	32	4527
13	34	4453
14	37	4418
15	39	4356
16	41	4328
17	43	4283
18	45	4231
19	47	4184
20	48	4148
21	49	4038
22	54	4217
23	57	4264
24	58	4176
25	61	4164
26	65	4315
27	67	4296
28	70	4335
29	73	4325
30	75	4301
31	79	4396
32	81	4376
33	84	4363
34	86	4365
35	88	4338
36	90	4310
37	92	4288
38	96	4345
39	98	4335
40	100	4305
41	102	4285
42	104	4264
43	106	4232
44	107	4209
45	109	4193
46	113	4227
47	115	4207
48	117	4188
49	119	4167
50	121	4173
51	124	4171
52	127	4192
53	129	4191
54	131	4171
55	133	4156
56	135	4140
57	137	4123
58	139	4104
59	141	4108
60	143	4100
61	145	4087
62	147	4075
63	149	4063
64	151	4054
65	153	4040
66	156	4038
67	159	4068
68	161	4059
69	163	4048
70	165	4032
71	167	4018
72	169	4003
73	171	3992
74	173	3984
75	175	3972
76	177	3964
77	179	3956
78	181	3959
79	183	3947
80	185	3935
81	187	3925
82	189	3919
83	191	3907
84	193	3899
85	195	3901
86	197	3894
87	199	3889
88	201	3878
89	203	3872
90	207	3905
91	210	3901
92	211	3891
93	214	3896
94	217	3910
95	222	3952
96	224	3946
97	226	3939
98	228	3932
99	231	3929
100	233	3925
101	235	3921
102	239	3944
103	241	3939
104	244	3951
105	246	3945
106	248	3936
107	250	3928
108	255	3959
109	257	3952
110	259	3947
111	261	3941
112	263	3932
113	265	3924
114	267	3919
115	270	3919
116	271	3911
117	274	3906
118	276	3906
119	278	3900
120	280	3893
121	282	3886
122	286	3904
123	288	3898
124	291	3901
125	293	3893
126	295	3888
127	297	3883
128	301	3909
129	304	3912
130	306	3905
131	311	3933
132	314	3939
133	319	3968
134	321	3965
135	323	3962
136	325	3957
137	329	3962
138	332	3977
139	335	3973
140	337	3970
141	339	3967
142	342	3973
143	345	3974
144	348	3976
145	350	3970
146	353	3973
147	355	3968
148	357	3961
149	360	3966
150	363	3972
151	366	3973
152	368	3965
153	373	3988
154	377	4004
155	380	4008
156	383	4008
157	387	4026
158	390	4025
159	392	4023
160	395	4021
161	397	4016
162	399	4011
163	402	4010
164	404	4005
165	406	4000
166	408	3994
167	410	3988
168	412	3981
169	414	3976
170	418	3984
171	420	3981
172	422	3974
173	425	3972
174	427	3967
175	429	3960
176	431	3955
177	434	3958
178	436	3952
179	438	3946
180	440	3943
181	442	3935
182	444	3931
183	448	3943
184	451	3940
185	453	3936
186	455	3931
187	457	3927
188	460	3921
189	461	3914
190	464	3909
191	467	3911
192	469	3906
193	471	3901
194	473	3896
195	475	3889
196	477	3882
197	480	3887
198	482	3883
199	484	3877
200	486	3871
201	488	3865
202	490	3860
203	492	3854
204	496	3862
205	498	3857
206	500	3853
207	503	3852
208	505	3847
209	507	3842
210	509	3837
211	512	3837
212	514	3832
213	516	3829
214	518	3823
215	520	3819
216	522	3814
217	525	3809
218	527	3811
219	529	3805
220	533	3812
221	535	3808
222	537	3803
223	540	3804
224	546	3824
225	548	3820
226	551	3818
227	553	3815
228	555	3810
229	557	3805
230	561	3813
231	563	3808
232	565	3803
233	567	3796
234	569	3791
235	572	3790
236	576	3799
237	578	3794
238	580	3789
239	583	3795
240	586	3793
241	588	3790
242	592	3798
243	594	3794
244	596	3788
245	600	3792
246	603	3794
247	607	3804
248	609	3799
249	613	3804
250	615	3800
251	617	3795
252	619	3790
253	623	3794
254	625	3789
255	628	3788
256	630	3783
257	632	3777
258	634	3773
259	636	3771
260	639	3769
261	641	3766
262	643	3761
263	645	3756
264	647	3750
265	650	3753
266	653	3754
267	655	3749
268	657	3744
269	659	3739
270	661	3734
271	664	3734
272	667	3733
273	670	3736
274	674	3739
275	677	3740
276	679	3735
277	681	3730
278	683	3724
279	686	3726
280	688	3723
281	690	3718
282	692	3714
283	694	3708
284	697	3705
285	699	3701
286	701	3697
287	703	3694
288	705	3689
289	707	3684
290	710	3681
291	712	3677
292	714	3675
293	716	3671
294	718	3667
295	721	3663
296	723	3658
297	725	3654
298	727	3650
299	729	3646
300	734	3656
301	736	3651
302	738	3647
303	740	3643
304	742	3639
305	744	3635
306	748	3639
307	750	3637
308	752	3632
309	754	3628
310	757	3625
311	759	3620
312	761	3616
313	764	3618
314	767	3619
315	770	3619
316	778	3641
317	781	3640
318	785	3648
319	787	3643
320	790	3642
321	792	3638
322	796	3642
323	799	3640
324	801	3636
325	803	3634
326	805	3629
327	808	3629
328	812	3634
329	815	3631
330	817	3626
331	819	3621
332	820	3616
333	823	3614
334	826	3615
335	829	3612
336	831	3608
337	833	3603
338	835	3600
339	837	3598
340	839	3593
341	843	3595
342	845	3591
343	848	3589
344	850	3585
345	852	3584
346	854	3579
347	856	3574
348	859	3573
349	861	3569
350	863	3565
351	865	3561
352	869	3563
353	871	3559
354	873	3555
355	875	3551
356	877	3546
357	879	3543
358	881	3538
359	883	3535
360	886	3532
361	888	3528
362	890	3526
363	893	3523
364	895	3520
365	897	3516
366	901	3521
367	904	3518
368	906	3516
369	908	3512
370	911	3508
371	913	3505
372	915	3502
373	917	3499
374	922	3505
375	925	3503
376	927	3500
377	929	3497
378	931	3494
379	934	3492
380	937	3492
381	939	3488
382	942	3485
383	944	3482
384	946	3477
385	948	3475
386	950	3472
387	953	3468
388	955	3465
389	957	3461
390	959	3457
391	961	3454
392	964	3451
393	966	3448
394	968	3445
395	970	3441
396	973	3441
397	975	3437
398	977	3433
399	980	3432
400	983	3429
401	985	3425
402	987	3422
403	989	3419
404	991	3416
405	996	3421
406	999	3420
407	1002	3418
408	1006	3422
409	1009	3424
410	1016	3436
411	1023	3446
412	1025	3443
413	1031	3453
414	1036	3457
415	1039	3457
416	1042	3455
417	1046	3459
418	1048	3457
419	1052	3459
420	1057	3463
421	1059	3461
422	1062	3457
423	1064	3454
424	1067	3452
425	1069	3449
426	1075	3458
427	1079	3461
428	1082	3459
429	1085	3458
430	1089	3462
431	1093	3462
432	1096	3460
433	1098	3457
434	1102	3458
435	1111	3477
436	1114	3475
437	1119	3481
438	1124	3486
439	1128	3487
440	1130	3484
441	1137	3495
442	1140	3493
443	1144	3494
444	1146	3490
445	1150	3492
446	1153	3492
447	1156	3489
448	1159	3489
449	1163	3490
450	1167	3493
451	1170	3491
452	1172	3487
453	1175	3484
454	1177	3481
455	1180	3477
456	1183	3477
457	1188	3483
458	1192	3484
459	1196	3485
460	1199	3484
461	1202	3483
462	1208	3489
463	1213	3494
464	1217	3495
465	1220	3495
466	1223	3491
467	1226	3490
468	1229	3489
469	1231	3486
470	1234	3483
471	1241	3492
472	1244	3492
473	1248	3493
474	1254	3500
475	1260	3506
476	1263	3504
477	1267	3505
478	1272	3510
479	1275	3507
480	1278	3504
481	1280	3500
482	1284	3502
483	1288	3502
484	1292	3504
485	1295	3501
486	1297	3498
487	1299	3494
488	1304	3497
489	1308	3497
490	1310	3494
491	1314	3494
492	1320	3501
493	1328	3511
494	1336	3522
495	1340	3523
496	1344	3524
497	1346	3519
498	1355	3534
499	1357	3530
500	1362	3533
501	1372	3547
502	1375	3547
503	1377	3543
504	1382	3544
505	1385	3543
506	1388	3540
507	1391	3539
508	1395	3538
509	1398	3538
510	1403	3540
511	1407	3541
512	1410	3538
513	1415	3542
514	1420	3543
515	1428	3553
516	1432	3553
517	1436	3556
518	1440	3554
519	1443	3552
520	1447	3553
521	1454	3559
522	1459	3564
523	1462	3561
524	1466	3561
525	1470	3561
526	1476	3566
527	1479	3564
528	1486	3572
529	1491	3574
530	1495	3573
531	1500	3577
532	1506	3580
533	1508	3576
534	1511	3573
535	1518	3581
536	1525	3588
537	1529	3588
538	1532	3584
539	1537	3587
540	1539	3583
541	1545	3587
542	1549	3587
543	1555	3592
544	1559	3590
545	1562	3587
546	1564	3584
547	1567	3580
548	1569	3577
549	1572	3573
550	1575	3570
551	1578	3569
552	1581	3566
553	1586	3567
554	1590	3567
555	1593	3565
556	1595	3561
557	1599	3559
558	1602	3557
559	1605	3555
560	1609	3553
561	1612	3551
562	1616	3550
563	1621	3553
564	1624	3551
565	1628	3549
566	1630	3546
567	1633	3543
568	1637	3542
569	1641	3541
570	1645	3542
571	1649	3541
572	1655	3544
573	1658	3543
574	1663	3543
575	1666	3541
576	1669	3537
577	1675	3541
578	1677	3537
579	1681	3537
580	1684	3533
581	1688	3534
582	1691	3531
583	1696	3532
584	1701	3534
585	1707	3537
586	1710	3534
587	1713	3532
588	1715	3527
589	1718	3524
590	1721	3521
591	1723	3517
592	1725	3512
593	1728	3508
594	1730	3504
595	1732	3500
596	1735	3497
597	1738	3495
598	1741	3492
599	1743	3487
600	1746	3483
601	1748	3479
602	1752	3478
603	1754	3474
604	1756	3470
605	1759	3465
606	1761	3461
607	1763	3457
608	1768	3458
609	1770	3453
610	1772	3449
611	1774	3444
612	1776	3440
613	1778	3436
614	1781	3431
615	1783	3427
616	1785	3423
617	1788	3420
618	1790	3415
619	1792	3411
620	1794	3407
621	1798	3406
622	1800	3402
623	1803	3398
624	1805	3394
625	1808	3391
626	1810	3387
627	1813	3384
628	1816	3381
629	1818	3376
630	1821	3373
631	1824	3371
632	1826	3366
633	1828	3362
634	1830	3358
635	1832	3354
636	1835	3350
637	1837	3346
638	1839	3342
639	1841	3338
640	1843	3333
641	1847	3333
642	1850	3329
643	1852	3324
644	1854	3320
645	1856	3317
646	1858	3312
647	1860	3308
648	1863	3304
