iter	RMSE
0	0.4526398488
1	0.4504831226
2	0.4493660235
3	0.4481014568
4	0.4461402615
5	0.4448261458
6	0.4435279625
7	0.4415987573
8	0.4408308063
9	0.4389480453
10	0.4372037049
11	0.4357452403
12	0.4336655837
13	0.4319263466
14	0.4314770071
15	0.4294868562
16	0.4283613312
17	0.4259959541
18	0.4236675319
19	0.4218692912
20	0.4193874625
21	0.4174518586
22	0.4159954586
23	0.4137743124
24	0.4124483303
25	0.4123381756
26	0.4109080649
27	0.4093790097
28	0.4071447539
29	0.40476521
30	0.4031376122
31	0.4015641229
32	0.3997122895
33	0.3992892808
34	0.3976006171
35	0.3971100471
36	0.3951676918
37	0.3940185501
38	0.3929780733
39	0.3909864286
40	0.3890958314
41	0.3883535702
42	0.3876588288
43	0.3863339649
44	0.3843626226
45	0.3830915561
46	0.381638851
47	0.3801451638
48	0.3792139438
49	0.3775888203
50	0.3767888269
51	0.3753799927
52	0.3734700539
53	0.3723264087
54	0.3716594093
55	0.3701821818
56	0.3691156748
57	0.3681554099
58	0.3674754831
59	0.3672407794
60	0.3661769249
61	0.3648502401
62	0.3632852559
63	0.3616502105
64	0.3605385144
65	0.3593546216
66	0.3579860499
67	0.3562922294
68	0.354653766
69	0.3536854855
70	0.3520601493
71	0.3512399887
72	0.3504546645
73	0.3494191603
74	0.3482979549
75	0.3471582141
76	0.3468313684
77	0.3454884753
78	0.3436644161
79	0.3427648959
80	0.3407730558
81	0.3397526351
82	0.3390324954
83	0.3379901843
84	0.3366653048
85	0.3353113611
86	0.3340538375
87	0.3330225366
88	0.3322073999
89	0.3311139722
90	0.3304255878
91	0.3289539114
92	0.3277713154
93	0.3266772197
94	0.325751051
95	0.3245872296
96	0.3232559818
97	0.322301994
98	0.3207925802
99	0.320792573
100	0.3206896419
101	0.3199184684
102	0.3191056716
103	0.3174647058
104	0.3166566234
105	0.3161189514
106	0.3154706356
107	0.3141242542
108	0.3131844336
109	0.3122765497
110	0.3111261789
111	0.3100550806
112	0.3091564604
113	0.3083775658
114	0.3071255373
115	0.3063959986
116	0.3055074507
117	0.3045071153
118	0.3037342503
119	0.3033528553
120	0.3025720666
121	0.3015651957
122	0.3010358564
123	0.30011874
124	0.2993675109
125	0.2986383821
126	0.29833034
127	0.2974225436
128	0.2968537928
129	0.2956853182
130	0.2949282795
131	0.2944181982
132	0.2937034349
133	0.2933574637
134	0.2925833448
135	0.2917806385
136	0.291167636
137	0.2898352265
138	0.2888010863
139	0.2878872305
140	0.287887197
141	0.2872041606
142	0.2869155354
143	0.286558563
144	0.2865437565
145	0.2855665004
146	0.2852205868
147	0.2847282826
148	0.2843083567
149	0.2835820351
150	0.2823999257
151	0.2817970119
152	0.2815148589
153	0.2805618976
154	0.2800083028
155	0.2787893673
156	0.2782367156
157	0.2778816092
158	0.276876524
159	0.2759142284
160	0.2754349534
161	0.2745859088
162	0.2737656822
163	0.272787474
164	0.2723176487
165	0.2710929919
166	0.2707573158
167	0.2700721035
168	0.2686428395
169	0.26786878
170	0.2671045592
171	0.266159553
172	0.265517158
173	0.264589983
174	0.2633277806
175	0.2627572605
176	0.2618143896
177	0.2607966412
178	0.2604576424
179	0.259397251
180	0.2585879146
181	0.2576066889
182	0.2569915097
183	0.2561121439
184	0.2552489831
185	0.2547885306
186	0.254076984
187	0.2534629271
188	0.2525967614
189	0.2516509138
190	0.2508263829
191	0.2502421487
192	0.2494235767
193	0.2487969965
194	0.2483510532
195	0.2475270728
196	0.2467290611
197	0.2456927017
198	0.2450762447
199	0.244237679
200	0.2432447633
201	0.2424490136
202	0.2413532757
203	0.240701794
204	0.2396151339
205	0.2386888709
206	0.2380083598
207	0.2370070426
208	0.2362023344
209	0.2351331443
210	0.2340131054
211	0.2331705369
212	0.2325613867
213	0.2318989575
214	0.2313084491
215	0.2309737916
216	0.2301262378
217	0.2296505267
218	0.2286287919
219	0.227718674
220	0.2270602171
221	0.2263900474
222	0.2256018529
223	0.2247219515
224	0.2238523885
225	0.2229330319
226	0.2220112397
227	0.2219250717
228	0.2211478795
229	0.2205439054
230	0.219754178
231	0.2193183524
232	0.2185248107
233	0.2175827329
234	0.2169814399
235	0.2160668528
236	0.2154909606
237	0.2148373204
238	0.2138237
239	0.2128596941
240	0.2120427227
241	0.2109244531
242	0.2104120364
243	0.2096147555
244	0.2089313223
245	0.20810043
246	0.2075184306
247	0.2066451532
248	0.2064253714
249	0.2058216522
250	0.2049807373
251	0.2043458675
252	0.2038003524
253	0.2028919894
254	0.2021807427
255	0.2013468783
256	0.2006739983
257	0.1999216101
258	0.199160872
259	0.1984962885
260	0.1975319919
261	0.1967715193
262	0.1959201036
263	0.1949715575
264	0.1940518093
265	0.1932055149
266	0.1925331928
267	0.1919118195
268	0.1911176559
269	0.1905060387
270	0.1896358488
271	0.1892235548
272	0.1888482818
273	0.1881388173
274	0.1876332261
275	0.1868987674
276	0.1859685134
277	0.1854792046
278	0.1847820465
279	0.1841421587
280	0.1836634635
281	0.1831275171
282	0.1825383838
283	0.1819424865
284	0.1813062004
285	0.1807942653
286	0.1803000791
287	0.1797135223
288	0.179287036
289	0.1786696762
290	0.1780113742
291	0.1773271672
292	0.176297909
293	0.1758847665
294	0.1754685176
295	0.1750241255
296	0.1748390406
297	0.1741778787
298	0.1734204963
299	0.1727207282
300	0.1723996022
301	0.1715688479
302	0.1709021892
303	0.1701137871
304	0.1695593739
305	0.169166293
306	0.168926785
307	0.1681741234
308	0.1675227205
309	0.1672330676
310	0.1664242633
311	0.1659420561
312	0.1655195889
313	0.1646471323
314	0.1641779478
315	0.1634251814
316	0.1629227194
317	0.1622365718
318	0.1615763099
319	0.1611046907
320	0.1607495112
321	0.1600474512
322	0.1597103335
323	0.1592348505
324	0.1588461279
325	0.1584443071
326	0.158137535
327	0.1577433046
328	0.1569737244
329	0.1562090292
330	0.155999568
331	0.1555637674
332	0.1551957933
333	0.1547157389
334	0.1539409217
335	0.1532535143
336	0.1526819651
337	0.1522349757
338	0.1517041517
339	0.151005948
340	0.1503672012
341	0.1497507209
342	0.1487665287
343	0.1481326607
344	0.1475029631
345	0.1471141127
346	0.1466510873
347	0.1460889175
348	0.1456527592
349	0.1450460111
350	0.1443749334
351	0.1441062926
352	0.1433636549
353	0.1428002915
354	0.1423368852
355	0.141788721
356	0.1412008444
357	0.1406688087
358	0.1403045282
359	0.1397507915
360	0.1393072619
361	0.1386919585
362	0.1382466193
363	0.1375267826
364	0.1370855306
365	0.1366572785
366	0.1360773782
367	0.1357440797
368	0.1354459863
369	0.1349551069
370	0.1344465755
371	0.1342141341
372	0.133849145
373	0.133513504
374	0.1332427973
375	0.1326256405
376	0.132111521
377	0.1318214794
378	0.1313176637
379	0.1309247918
380	0.1305229811
381	0.1302249183
382	0.129805764
383	0.1296229109
384	0.1293302084
385	0.1286973027
386	0.1284650669
387	0.1278285546
388	0.1272184521
389	0.1266194372
390	0.1262452818
391	0.1259887908
392	0.1253791243
393	0.124836825
394	0.1243513252
395	0.1239016993
396	0.1235717967
397	0.1232437164
398	0.1228808146
399	0.1225088165
400	0.1221573051
401	0.1217192328
402	0.1212817157
403	0.1208079872
404	0.1204305762
405	0.1201992186
406	0.1200472014
407	0.119553709
408	0.1192569051
409	0.1186371475
410	0.1183063518
411	0.1179676614
412	0.1175410257
413	0.1173306758
414	0.1168802508
415	0.1165922754
416	0.1160942182
417	0.1157826401
418	0.1153346555
419	0.1150272746
420	0.1145366668
421	0.1140622593
422	0.1135094989
423	0.1132504803
424	0.1129655509
425	0.1124928676
426	0.112273139
427	0.1119489007
428	0.1115050189
429	0.1110234556
430	0.1107217685
431	0.1105980224
432	0.1102805933
433	0.1098745488
434	0.1095092866
435	0.1090109243
436	0.1085614407
437	0.1082653124
438	0.1078026364
439	0.1072545753
440	0.106874051
441	0.106525905
442	0.1061396013
443	0.1058250846
444	0.1053683678
445	0.1051155457
446	0.1049631044
447	0.1047246056
448	0.1043826917
449	0.1039812153
450	0.1037798509
451	0.1033684762
452	0.1028933686
453	0.1026299027
454	0.1023352369
455	0.1020612404
456	0.1015720584
457	0.1013043625
458	0.1008063314
459	0.1004411278
460	0.1001108241
461	0.09976668374
462	0.09947863658
463	0.09918483709
464	0.09891467552
465	0.09850969938
466	0.09842101678
467	0.09811890011
468	0.09752600922
469	0.09719463275
470	0.09666923847
471	0.09640596717
472	0.0961476352
473	0.09569251002
474	0.09545750227
475	0.09501407982
476	0.09464164307
477	0.09430247833
478	0.09416548828
479	0.0940140482
480	0.09370000517
481	0.09335914141
482	0.09300305114
483	0.09284559425
484	0.09250618191
485	0.09212637158
486	0.09179854828
487	0.09150276848
488	0.09138040606
489	0.09100482122
490	0.09060976743
491	0.09014197291
492	0.08973082975
493	0.08959713812
494	0.08944587444
495	0.08916850377
496	0.08913583384
497	0.08893337395
498	0.08850830306
499	0.08827264091
500	0.08800787945
501	0.08771441563
502	0.08755406264
503	0.08726852895
504	0.08712627976
505	0.08671638734
506	0.08630330431
507	0.0860530968
508	0.08580490008
509	0.0854934304
510	0.08524705079
511	0.08495656099
512	0.08462570613
513	0.08426077138
514	0.08403701968
515	0.08390617427
516	0.08359780163
517	0.08324079313
518	0.08285810645
519	0.08257314604
