iter	Passed	Remaining
0	4	12033
1	6	10490
2	12	12489
3	17	13473
4	20	12478
5	25	12687
6	28	12384
7	37	14043
8	39	13270
9	44	13251
10	47	12817
11	52	12954
12	58	13407
13	63	13594
14	65	13092
15	72	13504
16	75	13316
17	82	13688
18	85	13449
19	97	14475
20	99	14175
21	104	14119
22	109	14184
23	112	13937
24	114	13672
25	116	13326
26	123	13561
27	128	13600
28	130	13404
29	141	13984
30	147	14099
31	151	14094
32	157	14138
33	161	14086
34	169	14342
35	174	14343
36	178	14303
37	185	14422
38	190	14497
39	194	14356
40	204	14769
41	206	14510
42	215	14851
43	219	14734
44	224	14769
45	228	14657
46	230	14459
47	235	14467
48	239	14420
49	244	14419
50	248	14346
51	250	14229
52	255	14211
53	258	14105
54	262	14048
55	266	14023
56	270	13988
57	274	13920
58	276	13796
59	281	13794
60	284	13701
61	287	13600
62	290	13563
63	299	13730
64	303	13725
65	306	13630
66	312	13700
67	315	13621
68	319	13559
69	325	13622
70	328	13564
71	334	13586
72	337	13533
73	341	13486
74	345	13465
75	349	13454
76	352	13364
77	357	13381
78	363	13438
79	365	13348
80	368	13278
81	372	13272
82	376	13216
83	378	13155
84	383	13146
85	388	13173
86	393	13172
87	396	13111
88	402	13174
89	407	13164
90	412	13179
91	419	13275
92	427	13352
93	435	13477
94	440	13468
95	445	13482
96	452	13536
97	457	13540
98	463	13585
99	464	13480
100	466	13386
101	468	13323
102	472	13278
103	474	13217
104	478	13205
105	479	13101
106	482	13049
107	485	12989
108	487	12938
109	490	12875
110	493	12837
111	496	12793
112	498	12747
113	501	12700
114	504	12652
115	509	12661
116	512	12639
117	517	12629
118	519	12588
119	525	12604
120	527	12552
121	530	12524
122	533	12475
123	536	12442
124	538	12384
125	541	12352
126	544	12311
127	548	12310
128	551	12267
129	555	12271
130	558	12231
131	560	12186
132	563	12148
133	566	12117
134	572	12153
135	577	12151
136	579	12112
137	583	12109
138	592	12189
139	595	12157
140	595	12078
141	599	12073
142	604	12085
143	606	12028
144	608	11972
145	610	11940
146	611	11874
147	614	11836
148	616	11795
149	619	11767
150	622	11739
151	625	11713
152	628	11687
153	630	11660
154	634	11651
155	637	11622
156	640	11594
157	643	11567
158	645	11538
159	650	11552
160	653	11520
161	656	11499
162	659	11472
163	661	11442
164	666	11453
165	669	11429
166	672	11401
167	675	11378
168	677	11350
169	681	11336
170	683	11311
171	686	11281
172	689	11260
173	692	11241
174	696	11244
175	699	11226
176	703	11212
177	705	11186
178	707	11151
179	710	11129
180	713	11105
181	716	11093
182	719	11072
183	721	11044
184	725	11045
185	729	11031
186	731	11008
187	734	10990
188	739	11005
189	742	10987
190	745	10962
191	749	10955
192	751	10924
193	756	10948
194	759	10925
195	761	10896
196	764	10872
197	766	10850
198	771	10865
199	774	10845
200	777	10821
201	779	10796
202	782	10777
203	786	10781
204	789	10763
205	792	10748
206	794	10725
207	797	10703
208	799	10681
209	802	10662
210	804	10639
211	807	10617
212	809	10595
213	812	10579
214	815	10558
215	817	10542
216	823	10565
217	825	10538
218	828	10518
219	830	10498
220	837	10535
221	841	10523
222	843	10504
223	845	10480
224	849	10473
225	852	10461
226	854	10439
227	855	10401
228	857	10379
229	859	10356
230	861	10331
231	865	10331
232	868	10316
233	871	10303
234	874	10291
235	877	10278
236	881	10273
237	885	10276
238	888	10263
239	892	10258
240	894	10238
241	899	10256
242	902	10239
243	904	10219
244	907	10201
245	909	10181
246	913	10181
247	916	10166
248	918	10146
249	920	10126
250	923	10116
251	928	10123
252	930	10105
