iter	Accuracy	Logloss
0	0.7591314351	0.669651555
1	0.7703480012	0.6491613564
2	0.781420765	0.6315651862
3	0.7818521714	0.6170319051
4	0.7753810756	0.604443317
5	0.7710670118	0.5927248267
6	0.7763876905	0.581326543
7	0.774662065	0.5709362503
8	0.7736554501	0.562013133
9	0.7742306586	0.5525284034
10	0.7863100374	0.5438905311
11	0.7817083693	0.5381141685
12	0.7857348289	0.5316808469
13	0.7860224331	0.525771732
14	0.7860224331	0.5182210351
15	0.7864538395	0.5135898462
16	0.7877480587	0.509991272
17	0.7853034225	0.5048445708
18	0.7887546736	0.4992183114
19	0.7907679034	0.4948712201
20	0.7917745183	0.4896758781
21	0.7913431119	0.4861363338
22	0.7922059246	0.48339882
23	0.7923497268	0.4806795968
24	0.7958009779	0.4773346868
25	0.7969513949	0.4735106379
26	0.797095197	0.4710107309
27	0.7973828013	0.4674815883
28	0.798245614	0.464437926
29	0.7988208225	0.4627832649
30	0.7981018119	0.4607409799
31	0.7988208225	0.4593829896
32	0.8001150417	0.457698964
33	0.7999712396	0.4549091273
34	0.7998274374	0.4531982087
35	0.8018406672	0.4519833671
36	0.8022720736	0.4503436606
37	0.8028472821	0.4489667257
38	0.8022720736	0.4475015793
39	0.8031348864	0.4456859948
40	0.8022720736	0.4441739266
41	0.80270348	0.4425523576
42	0.8035662928	0.4415002781
43	0.8035662928	0.4403827528
44	0.8031348864	0.4394241521
45	0.8032786885	0.4379429213
46	0.8035662928	0.4367457754
47	0.803853897	0.4358753236
48	0.8039976992	0.4344346861
49	0.8045729077	0.4333167966
50	0.8061547311	0.4324349868
51	0.8065861375	0.4312575572
52	0.8068737417	0.4301867583
53	0.806010929	0.4292983162
54	0.8070175439	0.4284221732
55	0.8078803566	0.4277195608
56	0.8075927524	0.4266968152
57	0.8074489502	0.4259665795
58	0.8075927524	0.4253570826
59	0.8080241588	0.424845542
60	0.8088869715	0.4240318649
61	0.80946218	0.4230930156
62	0.8101811907	0.4220831456
63	0.8101811907	0.42121846
64	0.8097497843	0.4204793312
65	0.8104687949	0.4198521369
66	0.8114754098	0.4192694829
67	0.8114754098	0.4185336281
68	0.8121944205	0.4178572236
69	0.8137762439	0.4170521233
70	0.8136324418	0.4162671992
71	0.8140638481	0.4155558059
72	0.815070463	0.4148771106
73	0.8159332758	0.4138167136
74	0.8153580673	0.4132289139
75	0.8163646822	0.412338403
76	0.8162208801	0.4114240509
77	0.8166522865	0.4107760519
78	0.8165084843	0.4100050887
79	0.8173712971	0.4094289452
80	0.8182341099	0.4089180953
81	0.8188093184	0.4082437314
82	0.8178027035	0.4075772173
83	0.8182341099	0.4067480884
84	0.819528329	0.4053766889
85	0.8196721311	0.4046398107
86	0.8193845269	0.403509419
87	0.819528329	0.4026561358
88	0.8193845269	0.4020914008
89	0.8198159333	0.4016945362
90	0.8209663503	0.4010670874
91	0.8215415588	0.4005783236
92	0.8211101524	0.3996902962
93	0.8221167673	0.3991673729
94	0.8222605695	0.398628857
95	0.822835778	0.3979823919
96	0.8224043716	0.397579251
97	0.8221167673	0.3970773886
98	0.8224043716	0.3964536725
99	0.8222605695	0.395920218
100	0.8232671844	0.3954897804
101	0.8235547886	0.3950405193
102	0.8234109865	0.3943795194
103	0.8247052056	0.3938050817
104	0.8259994248	0.3931543465
105	0.8258556227	0.3926361088
106	0.8265746333	0.3923183965
107	0.8268622376	0.3917980511
108	0.8275812482	0.3913591914
109	0.8281564567	0.3908457603
110	0.8285878631	0.3903710763
111	0.8291630716	0.3898863117
112	0.8294506759	0.3891912977
113	0.8293068737	0.3886367437
114	0.8298820823	0.3880346735
115	0.8297382801	0.3875421362
116	0.8298820823	0.3870376724
117	0.8297382801	0.3865228525
118	0.8314639057	0.3858272278
119	0.8310324993	0.3852430057
120	0.8313201035	0.3843848091
121	0.8311763014	0.3839578734
122	0.8311763014	0.3834472721
123	0.8318953121	0.3829137848
124	0.8318953121	0.3822867452
125	0.8326143227	0.3813364006
126	0.8333333333	0.3808780768
127	0.8331895312	0.3803683503
128	0.8337647397	0.3798725384
129	0.8336209376	0.3793385733
130	0.8337647397	0.3788649652
131	0.834052344	0.378427397
132	0.8357779695	0.3777820775
133	0.8353465631	0.3773869678
134	0.8354903653	0.3767993555
135	0.8356341674	0.376234071
136	0.8359217716	0.3755185656
137	0.8360655738	0.3750129965
138	0.8359217716	0.3747056106
139	0.8359217716	0.3743169803
140	0.8367845844	0.373772509
141	0.8366407823	0.3733960941
142	0.8369283865	0.3728336013
143	0.8373597929	0.3724240822
144	0.8375035951	0.3719442804
145	0.8379350014	0.3715042666
146	0.8379350014	0.3709778201
147	0.8386540121	0.3699651263
148	0.8387978142	0.3694879097
149	0.8383664078	0.3689532228
150	0.8383664078	0.3685498362
151	0.8386540121	0.3678517239
152	0.8390854185	0.3674605802
153	0.8390854185	0.3669787267
154	0.8390854185	0.3662170413
155	0.8402358355	0.3653653094
156	0.8399482312	0.3647923433
157	0.8402358355	0.3642810486
158	0.8405234397	0.3637644098
159	0.8415300546	0.3632915669
160	0.8425366695	0.3628512107
161	0.841961461	0.3623592498
162	0.8421052632	0.361872548
163	0.8426804717	0.361410675
164	0.8433994823	0.3609417726
165	0.8433994823	0.3604560455
166	0.8448375036	0.3597292455
167	0.8455565142	0.359118248
168	0.8457003164	0.3585746497
169	0.846419327	0.3581524021
170	0.8471383376	0.357666964
171	0.846419327	0.3570804162
172	0.8465631291	0.356627786
173	0.8472821398	0.3561511023
174	0.847569744	0.3556837115
175	0.8482887547	0.3552616534
176	0.8482887547	0.354798161
177	0.8487201611	0.3543335869
178	0.8488639632	0.3538998143
179	0.8490077653	0.3532874093
180	0.8488639632	0.3529184628
181	0.8498705781	0.3524970591
182	0.8511647972	0.3519456592
183	0.850877193	0.3515310149
184	0.8513085994	0.3510177762
185	0.8510209951	0.3502784362
186	0.8517400058	0.3497060607
187	0.8526028185	0.349132123
188	0.8524590164	0.3486390297
189	0.8537532355	0.3480934559
190	0.8540408398	0.3475352684
191	0.8534656313	0.3471474489
192	0.8538970377	0.3465049705
193	0.8544722462	0.3460318012
194	0.8551912568	0.3455812342
195	0.855335059	0.3451001026
196	0.8551912568	0.3445241363
197	0.8561978717	0.3438570729
198	0.8572044866	0.3434249901
199	0.8573482888	0.3427584557
200	0.8579234973	0.3421669384
201	0.8583549037	0.3415864405
202	0.8593615186	0.3410423445
203	0.8593615186	0.3405502404
204	0.8590739143	0.3399917533
205	0.8596491228	0.339467315
206	0.8593615186	0.3390198269
207	0.8597929249	0.3384569459
208	0.8597929249	0.3380009858
209	0.8610871441	0.3374111548
210	0.862093759	0.3367919907
211	0.8623813632	0.3356735402
212	0.8626689675	0.3351090096
213	0.8623813632	0.3345602185
214	0.8626689675	0.3338938647
215	0.8636755824	0.3334433937
216	0.8639631867	0.3328928395
217	0.8646821973	0.3324069805
218	0.8648259994	0.3319011626
219	0.8645383952	0.3315001304
220	0.8655450101	0.3310133596
221	0.8658326143	0.3301231122
222	0.8661202186	0.3296435839
223	0.8659764165	0.3292389212
224	0.866551625	0.3286881299
225	0.8669830313	0.3280724863
226	0.868852459	0.3273619514
227	0.8681334484	0.3268017081
228	0.8685648548	0.3262838411
229	0.8691400633	0.3258714079
230	0.868852459	0.3254032422
231	0.8691400633	0.3249777939
232	0.8691400633	0.3243844314
233	0.8698590739	0.3238490844
234	0.8701466782	0.3231136666
235	0.8720161058	0.3225071269
236	0.8718723037	0.3218873218
237	0.8723037101	0.3214682094
238	0.8725913144	0.3209458677
239	0.8731665229	0.3203917988
240	0.8734541271	0.319730925
241	0.8743169399	0.319151924
242	0.8747483463	0.3186693245
243	0.8748921484	0.3182496824
244	0.8760425654	0.3177457069
245	0.8763301697	0.317129179
246	0.8764739718	0.3166743691
247	0.8774805867	0.3159906844
248	0.8781995974	0.3154248691
249	0.8790624101	0.314852049
250	0.8793500144	0.3143772948
251	0.8797814208	0.3139194208
252	0.8799252229	0.3133468451
253	0.8805004314	0.3127865121
254	0.8802128271	0.3123886626
255	0.8803566293	0.3118356702
256	0.8805004314	0.3113665669
257	0.8815070463	0.3108842642
258	0.8813632442	0.3103529878
259	0.8820822548	0.3096627121
260	0.8832326718	0.3090653571
261	0.8838078804	0.3085165663
262	0.8838078804	0.3080408177
263	0.8835202761	0.3074002348
264	0.8853897038	0.306714825
265	0.885677308	0.3062267057
266	0.8862525165	0.3055951582
267	0.8865401208	0.3050445868
268	0.8868277251	0.3045126929
269	0.8872591314	0.3041012338
270	0.8875467357	0.3036687536
271	0.8878343399	0.3032636606
272	0.8884095485	0.3028140352
273	0.8884095485	0.3023367479
274	0.888984757	0.3019826359
275	0.8894161634	0.3014581885
276	0.8898475697	0.3009994679
277	0.8907103825	0.3005016769
278	0.8918607995	0.3000725569
279	0.8928674144	0.2994934332
280	0.8930112166	0.2989915542
281	0.893442623	0.2984557621
282	0.8941616336	0.2978414557
283	0.8950244464	0.2970612993
284	0.8947368421	0.2965062506
285	0.8948806442	0.2959825452
286	0.8950244464	0.2952891718
287	0.895743457	0.2947837463
288	0.8966062698	0.2943458851
289	0.8974690825	0.2937743359
290	0.8977566868	0.2932522728
291	0.8984756974	0.2927644569
292	0.8984756974	0.292263124
293	0.8991947081	0.291895974
294	0.9000575209	0.2912056497
295	0.900201323	0.2905901473
296	0.9004889272	0.2900582344
297	0.9004889272	0.2896800848
298	0.90135174	0.2890903545
299	0.9023583549	0.2886097857
