iter	Passed	Remaining
0	18	5455
1	34	5138
2	52	5231
3	72	5356
4	91	5369
5	111	5439
6	125	5257
7	141	5172
8	156	5060
9	170	4938
10	187	4918
11	205	4928
12	223	4933
13	241	4929
14	256	4871
15	270	4794
16	285	4750
17	311	4879
18	337	4986
19	354	4957
20	370	4925
21	386	4890
22	401	4838
23	415	4780
24	437	4811
25	457	4817
26	475	4806
27	490	4768
28	504	4718
29	520	4686
30	535	4647
31	550	4608
32	564	4570
33	582	4555
34	600	4543
35	624	4582
36	645	4591
37	666	4596
38	681	4561
39	695	4522
40	711	4494
41	726	4463
42	748	4474
43	767	4466
44	786	4458
45	803	4438
46	820	4416
47	836	4393
48	856	4385
49	870	4353
50	886	4328
51	901	4301
52	915	4267
53	931	4241
54	945	4211
55	961	4189
56	977	4167
57	993	4147
58	1009	4124
59	1027	4109
60	1043	4086
61	1060	4070
62	1077	4053
63	1095	4040
64	1110	4013
65	1127	3998
66	1144	3979
67	1160	3960
68	1177	3941
69	1200	3944
70	1218	3930
71	1233	3906
72	1251	3892
73	1268	3873
74	1283	3849
75	1298	3827
76	1314	3808
77	1331	3790
78	1347	3769
79	1367	3759
80	1385	3745
81	1401	3726
82	1419	3710
83	1434	3687
84	1450	3668
85	1469	3655
86	1490	3648
87	1511	3641
88	1530	3627
89	1549	3616
90	1570	3607
91	1597	3611
92	1618	3601
93	1636	3586
94	1656	3574
95	1676	3562
96	1696	3550
97	1715	3536
98	1740	3533
99	1761	3523
100	1782	3512
101	1805	3505
102	1827	3494
103	1847	3482
104	1866	3466
105	1892	3464
106	1916	3457
107	1937	3444
108	1963	3439
109	1983	3425
110	2007	3418
111	2033	3413
112	2056	3403
113	2076	3388
114	2104	3384
115	2127	3375
116	2149	3361
117	2168	3344
118	2189	3330
119	2210	3316
120	2233	3303
121	2258	3295
122	2279	3279
123	2296	3259
124	2318	3246
125	2342	3234
126	2360	3215
127	2375	3192
128	2391	3170
129	2410	3152
130	2428	3133
131	2443	3110
132	2459	3087
133	2474	3065
134	2490	3043
135	2507	3024
136	2529	3009
137	2550	2994
138	2572	2979
139	2592	2962
140	2619	2954
141	2643	2941
142	2665	2926
143	2682	2906
144	2703	2889
145	2723	2872
146	2746	2858
147	2770	2845
148	2794	2832
149	2812	2812
150	2832	2794
151	2853	2778
152	2875	2763
153	2897	2747
154	2914	2726
155	2943	2717
156	2966	2701
157	2985	2683
158	3006	2666
159	3034	2655
160	3055	2637
161	3077	2621
162	3099	2604
163	3122	2589
164	3151	2578
165	3185	2571
166	3211	2557
167	3233	2540
168	3255	2523
169	3275	2504
170	3299	2488
171	3322	2472
172	3342	2453
173	3358	2432
174	3375	2411
175	3393	2391
176	3410	2369
177	3426	2348
178	3442	2326
179	3465	2310
180	3481	2289
181	3497	2267
182	3511	2245
183	3527	2223
184	3543	2202
185	3565	2185
186	3590	2169
187	3616	2154
188	3641	2138
189	3669	2124
190	3692	2107
191	3716	2090
192	3743	2075
193	3772	2061
194	3800	2046
195	3825	2030
196	3852	2014
197	3877	1997
198	3903	1981
199	3931	1965
200	3953	1947
201	3987	1934
202	4013	1917
203	4033	1898
204	4060	1881
205	4082	1862
206	4106	1844
207	4129	1826
208	4152	1808
209	4175	1789
210	4201	1772
211	4226	1754
212	4250	1736
213	4274	1717
214	4293	1697
215	4314	1677
216	4340	1660
217	4368	1643
218	4395	1625
219	4419	1607
220	4441	1587
221	4466	1569
222	4491	1550
223	4532	1537
224	4557	1519
225	4578	1499
226	4596	1478
227	4612	1456
228	4627	1434
229	4643	1413
230	4669	1394
231	4689	1374
232	4711	1354
233	4728	1333
234	4743	1311
235	4760	1290
236	4774	1269
237	4791	1248
238	4811	1227
239	4834	1208
240	4861	1190
241	4876	1168
242	4894	1148
243	4910	1127
244	4926	1105
245	4944	1085
246	4962	1064
247	4982	1044
248	5002	1024
249	5018	1003
250	5035	983
251	5056	963
252	5071	942
253	5087	921
254	5103	900
255	5119	879
256	5136	859
257	5151	838
258	5168	818
259	5187	798
260	5202	777
261	5218	756
262	5233	736
263	5251	716
264	5267	695
265	5283	675
266	5300	655
267	5316	634
268	5338	615
269	5360	595
270	5379	575
271	5399	555
272	5416	535
273	5432	515
274	5455	495
275	5481	476
276	5504	457
277	5526	437
278	5553	417
279	5584	398
280	5602	378
281	5618	358
282	5635	338
283	5651	318
284	5672	298
285	5690	278
286	5712	258
287	5732	238
288	5756	219
289	5775	199
290	5798	179
291	5816	159
292	5838	139
293	5866	119
294	5888	99
295	5925	80
296	5991	60
297	6040	40
298	6107	20
299	6161	0
