iter	Passed	Remaining
0	5	2613
1	11	2938
2	19	3224
3	23	2925
4	31	3115
5	39	3255
6	46	3276
7	63	3933
8	74	4037
9	91	4464
10	99	4431
11	106	4345
12	116	4353
13	138	4821
14	152	4939
15	163	4958
16	170	4858
17	182	4880
18	197	4998
19	206	4963
20	218	4986
21	225	4909
22	232	4829
23	237	4712
24	246	4680
25	254	4639
26	262	4594
27	269	4543
28	278	4526
29	285	4476
30	292	4428
31	300	4391
32	307	4349
33	319	4380
34	324	4312
35	329	4252
36	336	4213
37	341	4155
38	347	4110
39	355	4087
40	360	4038
41	368	4013
42	373	3968
43	381	3952
44	392	3965
45	410	4049
46	415	4006
47	429	4040
48	435	4006
49	448	4040
50	455	4013
51	464	4002
52	469	3962
53	476	3933
54	483	3913
55	489	3878
56	496	3857
57	503	3837
58	509	3810
59	517	3794
60	526	3791
61	534	3774
62	542	3760
63	550	3748
64	556	3726
65	568	3736
66	574	3712
67	580	3685
68	585	3657
69	594	3650
70	602	3641
71	609	3624
72	615	3601
73	622	3583
74	639	3623
75	652	3641
76	662	3640
77	667	3612
78	677	3609
79	683	3590
80	690	3571
81	695	3545
82	703	3534
83	710	3517
84	715	3493
85	720	3469
86	727	3451
87	733	3434
88	738	3411
89	743	3387
90	750	3373
91	755	3351
92	761	3330
93	766	3311
94	773	3298
95	779	3278
96	786	3266
97	790	3244
98	797	3230
99	802	3208
100	807	3188
101	812	3171
102	818	3155
103	824	3139
104	829	3120
105	834	3102
106	839	3083
107	844	3065
108	849	3047
109	854	3029
110	859	3011
111	864	2995
112	871	2984
113	876	2967
114	881	2950
115	886	2934
116	891	2919
117	896	2903
118	901	2886
119	908	2878
120	913	2862
121	919	2847
122	924	2832
123	929	2817
124	934	2802
125	939	2788
126	944	2773
127	950	2761
128	955	2747
129	960	2732
130	965	2718
131	970	2705
132	975	2691
133	980	2676
134	984	2662
135	989	2648
136	994	2634
137	1000	2623
138	1004	2609
139	1009	2596
140	1017	2589
141	1021	2576
142	1028	2566
143	1036	2562
144	1042	2553
145	1052	2552
