iter	Accuracy	Logloss
0	0.7551049756	0.6678174054
1	0.7605694564	0.6481853816
2	0.7651711245	0.6289259821
3	0.7612884671	0.6095896672
4	0.7635893011	0.5945262283
5	0.769053782	0.5831363575
6	0.7697727926	0.5706486321
7	0.7666091458	0.5597930142
8	0.7670405522	0.5483315008
9	0.7687661777	0.5388394125
10	0.7676157607	0.5332400672
11	0.7694851884	0.5265802687
12	0.7727926373	0.5207250734
13	0.7740868565	0.5152568641
14	0.7792637331	0.5101694744
15	0.7794075352	0.5054902272
16	0.7828587863	0.4988857106
17	0.7832901927	0.492961315
18	0.7845844118	0.4880972351
19	0.7844406097	0.4842863308
20	0.7837215991	0.4805799541
21	0.7845844118	0.4767583733
22	0.7878918608	0.4726243703
23	0.7886108714	0.4696344748
24	0.7883232672	0.4664842492
25	0.7890422778	0.4637283262
26	0.7897612885	0.4606708027
27	0.7911993097	0.4588485465
28	0.7920621225	0.4568706358
29	0.792637331	0.4554922681
30	0.7935001438	0.4529326251
31	0.7945067587	0.4502035477
32	0.7946505608	0.4477979202
33	0.7953695715	0.4464885155
34	0.7969513949	0.4455195754
35	0.7973828013	0.4440217588
36	0.7985332183	0.4425592401
37	0.7993960311	0.441222102
38	0.7993960311	0.4392498049
39	0.8009778545	0.4386212181
40	0.8005464481	0.4369427646
41	0.8011216566	0.4346402977
42	0.8008340523	0.4335017988
43	0.801553063	0.4319024158
44	0.8024158758	0.4306020679
45	0.8035662928	0.4288141148
46	0.8037100949	0.427948391
47	0.8039976992	0.4265552783
48	0.8041415013	0.4256675097
49	0.8039976992	0.4246263217
50	0.8067299396	0.4233961023
51	0.8058671268	0.4226428892
52	0.807161346	0.4214094076
53	0.8073051481	0.4203165196
54	0.807161346	0.4198207242
55	0.8067299396	0.4187243392
56	0.8067299396	0.4177566704
57	0.807161346	0.4173476273
58	0.8074489502	0.4163824052
59	0.807161346	0.4157963589
60	0.8087431694	0.414663687
61	0.8090307737	0.4139759664
62	0.8097497843	0.4130970368
63	0.8091745758	0.411946373
64	0.8096059822	0.4112007421
65	0.8107563992	0.4108678299
66	0.8100373886	0.4100594072
67	0.8110440035	0.4095999088
68	0.8107563992	0.4087677046
69	0.8120506183	0.4080778265
70	0.812769629	0.4076861097
71	0.8129134311	0.4072331984
72	0.8129134311	0.4071843131
73	0.8134886396	0.4064952887
74	0.8137762439	0.4060479321
75	0.8140638481	0.4054143329
76	0.813920046	0.4046709798
77	0.8142076503	0.4044449538
78	0.8137762439	0.4035255424
79	0.813920046	0.4031801049
80	0.8137762439	0.4026238173
81	0.8142076503	0.401723719
82	0.8146390567	0.4008133692
83	0.8146390567	0.4004658273
84	0.8144952545	0.4003358893
85	0.8146390567	0.3999489292
86	0.8142076503	0.399254657
87	0.8149266609	0.3985671081
88	0.8146390567	0.3981204765
89	0.8149266609	0.3978958368
90	0.8149266609	0.397485175
91	0.8157894737	0.3967325124
92	0.8176589014	0.3961254164
93	0.8173712971	0.3960224295
94	0.8179465056	0.3952164397
95	0.8182341099	0.3948440796
96	0.818377912	0.3946301589
97	0.818377912	0.3945884367
98	0.8179465056	0.3943143624
99	0.8179465056	0.3939272361
100	0.8193845269	0.3933689754
101	0.819528329	0.3930095785
102	0.8198159333	0.3926945194
103	0.8202473397	0.3923726485
104	0.8203911418	0.3923192292
105	0.8205349439	0.391885159
106	0.8203911418	0.3916642757
107	0.8205349439	0.3909650512
108	0.8205349439	0.3909636479
109	0.820678746	0.3906451381
110	0.8208225482	0.3903656209
111	0.820678746	0.390133486
112	0.8205349439	0.3897340851
113	0.8203911418	0.3890598777
114	0.8213977567	0.3888200407
115	0.8209663503	0.3884749546
116	0.8212539546	0.388011075
117	0.8212539546	0.3877441618
118	0.8209663503	0.3873507275
119	0.8221167673	0.3866282199
120	0.8213977567	0.3863349521
121	0.8218291631	0.3857082139
122	0.8213977567	0.3852148554
123	0.8215415588	0.3850327416
124	0.8219729652	0.3848281863
125	0.8226919758	0.3843337792
126	0.8224043716	0.3840311976
127	0.8221167673	0.3838699362
128	0.8225481737	0.3837002666
129	0.822835778	0.3834225302
130	0.8234109865	0.38298417
131	0.8247052056	0.3826775968
132	0.8244176014	0.3821512718
133	0.8248490078	0.3815797472
134	0.825136612	0.3813695493
135	0.825136612	0.3812414229
136	0.825136612	0.3808573663
137	0.8252804142	0.3807081459
138	0.8254242163	0.3804107873
139	0.8257118205	0.3803312943
140	0.8255680184	0.3795314086
141	0.8255680184	0.3794881492
142	0.8255680184	0.3791855738
143	0.8258556227	0.378916059
144	0.8264308312	0.3787541735
145	0.8258556227	0.3781822631
146	0.8264308312	0.3779449277
147	0.8259994248	0.3778153706
148	0.8270060397	0.3770681437
149	0.8274374461	0.3764958876
150	0.8275812482	0.3761700121
151	0.8275812482	0.3759745987
152	0.8272936439	0.3754883418
153	0.8272936439	0.3753215404
154	0.8274374461	0.3752130486
155	0.8271498418	0.375106998
156	0.8271498418	0.3749247696
157	0.8275812482	0.3747363132
158	0.8277250503	0.3746662873
159	0.8277250503	0.3744112974
160	0.8283002588	0.3738141837
161	0.8285878631	0.3736615062
162	0.8291630716	0.3734696279
163	0.8287316652	0.3730209352
164	0.828444061	0.3726376461
165	0.8287316652	0.3724396123
166	0.829594478	0.3718080784
167	0.8298820823	0.3714860015
168	0.8298820823	0.3714530461
169	0.829594478	0.3711037755
170	0.829594478	0.3709531449
171	0.8288754674	0.3706933717
172	0.8291630716	0.3703292175
173	0.8294506759	0.3700937594
174	0.8294506759	0.3696748029
175	0.8303134886	0.3690691716
176	0.8303134886	0.3686636164
177	0.8306010929	0.3683238167
178	0.8303134886	0.3681359045
179	0.8306010929	0.3674991199
180	0.8306010929	0.3673571093
181	0.8306010929	0.3672199147
182	0.8306010929	0.3669459769
183	0.8303134886	0.3666842178
184	0.8303134886	0.3664548784
185	0.8301696865	0.3662923591
186	0.8301696865	0.3661003388
187	0.8301696865	0.365885447
188	0.8304572908	0.365751227
189	0.8310324993	0.3655178255
190	0.8308886972	0.364984278
191	0.8311763014	0.364615757
192	0.8314639057	0.364432755
193	0.8314639057	0.3642263276
194	0.8317515099	0.3640477438
195	0.8317515099	0.3638749405
196	0.8317515099	0.3637398014
197	0.8323267184	0.3632016115
198	0.8323267184	0.3631535671
199	0.8323267184	0.3629969637
200	0.8326143227	0.3626183827
201	0.8329019269	0.3623262579
202	0.8326143227	0.362180326
203	0.8324705206	0.3620105785
204	0.8323267184	0.3617469108
205	0.8324705206	0.3615792755
206	0.8326143227	0.3612979854
207	0.8323267184	0.360812612
208	0.8329019269	0.3606728309
209	0.8333333333	0.3602652977
210	0.8334771355	0.3598452266
211	0.8336209376	0.3593467202
212	0.8330457291	0.3589742975
213	0.8339085418	0.3587262454
214	0.8339085418	0.358322446
215	0.834052344	0.3580042042
216	0.834052344	0.357685783
217	0.8344837504	0.3572845148
218	0.8346275525	0.3572218433
219	0.8347713546	0.3571444579
220	0.835202761	0.3569024444
221	0.8350589589	0.3564627473
222	0.8359217716	0.3561686849
223	0.836353178	0.3559625697
224	0.8362093759	0.3556554862
225	0.8360655738	0.3554674503
226	0.836353178	0.3553532447
227	0.8364969802	0.3549413774
228	0.8364969802	0.3547302878
229	0.8364969802	0.3544673432
230	0.836353178	0.3542643413
231	0.8367845844	0.3539501724
232	0.8372159908	0.3536431888
233	0.8372159908	0.3533290751
234	0.8370721887	0.3530924338
235	0.8370721887	0.3528428381
236	0.8379350014	0.3522628517
237	0.8379350014	0.3521940787
238	0.8375035951	0.3517637369
239	0.8379350014	0.3515520546
240	0.8375035951	0.3512759873
241	0.8380788036	0.3510581218
242	0.83851021	0.3507149972
243	0.8386540121	0.3504317442
244	0.8387978142	0.3502953333
245	0.8387978142	0.3499351838
246	0.8390854185	0.3497438164
247	0.8395168248	0.3496001022
248	0.8399482312	0.3494165906
249	0.839660627	0.3490731972
250	0.8399482312	0.3487349795
251	0.8405234397	0.3483626988
252	0.8405234397	0.3479511166
253	0.8410986483	0.3478062581
254	0.8410986483	0.3475167289
255	0.841961461	0.3473813064
256	0.8421052632	0.3471967996
257	0.8418176589	0.3470939636
258	0.8421052632	0.3469330333
259	0.8418176589	0.3463840351
260	0.8413862525	0.3461462725
261	0.8412424504	0.3461167861
262	0.8413862525	0.345996065
263	0.8413862525	0.3459658786
264	0.8418176589	0.3458817406
265	0.8418176589	0.3456038351
266	0.8418176589	0.3455769428
267	0.8428242738	0.3453293105
268	0.8432556802	0.345011967
269	0.8435432844	0.3448581042
270	0.844118493	0.34461699
271	0.8438308887	0.3444689075
272	0.8444060972	0.3442010152
273	0.8448375036	0.3438339512
274	0.8449813057	0.3437464007
275	0.8457003164	0.3434444698
276	0.8458441185	0.3431715982
277	0.8454127121	0.342872461
278	0.84526891	0.3425383201
279	0.84526891	0.3423291831
280	0.8451251079	0.3421717022
281	0.8451251079	0.3420636613
282	0.8446937015	0.3419719199
283	0.8451251079	0.3417227629
284	0.8449813057	0.3414728068
285	0.8457003164	0.3411755763
286	0.8454127121	0.3408006491
287	0.8457003164	0.340636257
288	0.8454127121	0.3404602184
289	0.8468507334	0.3399742975
290	0.8468507334	0.3398332037
291	0.8468507334	0.3398008956
292	0.8467069313	0.3395732443
293	0.8465631291	0.3392818968
294	0.8471383376	0.3391538008
295	0.8474259419	0.3389524383
296	0.8469945355	0.3385911793
297	0.8472821398	0.3381776059
298	0.8480011504	0.3376243723
299	0.8481449525	0.3376013596
300	0.8481449525	0.3375204724
301	0.8484325568	0.3373701336
302	0.8490077653	0.3372376563
303	0.8491515674	0.3371565181
304	0.8491515674	0.3369601982
305	0.8488639632	0.3368272943
306	0.8488639632	0.3366467972
307	0.8498705781	0.3363477757
308	0.8487201611	0.3362095406
309	0.8491515674	0.335960865
310	0.8494391717	0.3358139824
311	0.8495829738	0.3356586862
312	0.849726776	0.3354067756
313	0.8500143802	0.3350835595
314	0.8504457866	0.3346854452
315	0.8507333909	0.334427444
316	0.850877193	0.3342973839
317	0.8505895887	0.3341582281
318	0.8504457866	0.3339958089
319	0.8504457866	0.3336763115
320	0.8505895887	0.3335162332
321	0.8511647972	0.333357447
322	0.8511647972	0.3331080741
323	0.8518838079	0.3329890235
324	0.8514524015	0.3328986264
325	0.8515962036	0.3328609292
326	0.8523152143	0.3326077129
327	0.8526028185	0.332459396
328	0.8523152143	0.3320131049
329	0.8524590164	0.3319486012
330	0.8524590164	0.3317339901
331	0.8524590164	0.3315283954
332	0.8524590164	0.331324313
333	0.8526028185	0.3310667419
334	0.8527466206	0.3308765598
335	0.8528904228	0.3307411228
336	0.8530342249	0.3305446692
337	0.853178027	0.3303743549
338	0.8533218292	0.3301982172
339	0.8534656313	0.3301146353
340	0.8537532355	0.329814144
341	0.8540408398	0.3295815306
342	0.8541846419	0.3293682877
343	0.8547598504	0.329240469
344	0.8546160483	0.3291650505
345	0.855335059	0.3290578079
346	0.8554788611	0.3286903332
347	0.8551912568	0.3285192785
348	0.8556226632	0.3283703688
349	0.8556226632	0.3281779478
350	0.8560540696	0.3278133968
351	0.8561978717	0.3276884093
352	0.8566292781	0.3272922278
353	0.856485476	0.3271417523
354	0.8567730802	0.3269114228
355	0.857635893	0.326735623
356	0.8570606845	0.326545509
357	0.8572044866	0.3265087677
358	0.8573482888	0.3263251862
359	0.8573482888	0.3262252574
360	0.8570606845	0.325765987
361	0.8573482888	0.3255437031
362	0.857635893	0.3253799836
363	0.8582111015	0.3251474033
364	0.8586425079	0.3249792205
365	0.8586425079	0.3247965715
366	0.8593615186	0.3245900186
367	0.8595053207	0.3244607654
368	0.8597929249	0.3243496581
369	0.8597929249	0.3243165281
370	0.8595053207	0.3241626938
371	0.8595053207	0.3240827257
372	0.8597929249	0.3238787278
373	0.8602243313	0.3236522444
374	0.8597929249	0.3235264191
375	0.8603681334	0.3232242595
376	0.8600805292	0.3230882382
377	0.8602243313	0.3229001843
378	0.8602243313	0.3227260486
379	0.8599367271	0.3225104181
380	0.8606557377	0.3221217366
381	0.8606557377	0.3219292845
382	0.8606557377	0.3217734409
383	0.860943342	0.3216789763
384	0.8610871441	0.321549732
385	0.8615185505	0.3214230135
386	0.8613747483	0.3212776066
387	0.8618061547	0.321154088
388	0.8610871441	0.3209627415
389	0.8612309462	0.320841392
390	0.8615185505	0.3206414816
391	0.8618061547	0.3204624728
392	0.8619499569	0.3204200612
393	0.8622375611	0.3202405367
394	0.8626689675	0.3200616031
395	0.8626689675	0.3199348777
396	0.8628127696	0.3197638939
397	0.8628127696	0.3195604253
398	0.8625251654	0.31949009
399	0.8628127696	0.3193482587
400	0.8628127696	0.319159687
401	0.8623813632	0.3190781057
402	0.8629565718	0.3189631343
403	0.8629565718	0.3189044886
404	0.8626689675	0.3187646111
405	0.8626689675	0.3185380711
406	0.8631003739	0.3182832811
407	0.863244176	0.318190391
408	0.863244176	0.3179536425
409	0.8636755824	0.3178852781
410	0.8636755824	0.317600943
411	0.8642507909	0.3170358982
412	0.8642507909	0.316584208
413	0.8641069888	0.31654156
414	0.8636755824	0.3165073671
415	0.8639631867	0.3162562858
416	0.8641069888	0.3160405286
417	0.864394593	0.3158815172
418	0.8646821973	0.3157205695
419	0.8642507909	0.3155466572
420	0.8648259994	0.3153810901
421	0.8646821973	0.3150096889
422	0.8652574058	0.3148215352
423	0.8649698016	0.3146289551
424	0.8646821973	0.3145943246
425	0.8651136037	0.3142856609
426	0.8651136037	0.3141818593
427	0.8646821973	0.3138618142
428	0.8651136037	0.3136535658
429	0.8648259994	0.3134860973
430	0.8651136037	0.313297588
431	0.8652574058	0.3132014162
432	0.8659764165	0.312983711
433	0.8655450101	0.3129325702
434	0.8656888122	0.3128152029
435	0.8661202186	0.3126148065
436	0.8668392292	0.3124558532
437	0.8668392292	0.3121997238
438	0.8668392292	0.3121307183
439	0.8672706356	0.3119540772
440	0.8668392292	0.3118290449
441	0.866551625	0.3116529749
442	0.8666954271	0.3115271697
443	0.8668392292	0.3113886514
444	0.8672706356	0.311202106
445	0.8674144377	0.3109907507
446	0.8674144377	0.3108313404
447	0.8675582399	0.31076235
448	0.8674144377	0.3106859621
449	0.8675582399	0.3104865376
450	0.8675582399	0.310382248
451	0.8675582399	0.3103589223
452	0.8675582399	0.3102887722
453	0.867702042	0.3102651593
454	0.867702042	0.3102350736
455	0.8682772505	0.3099679712
456	0.8681334484	0.3097898795
457	0.8685648548	0.3096621529
458	0.8684210526	0.3092797411
459	0.868852459	0.3090541924
460	0.8689962611	0.308933325
461	0.8689962611	0.3088464226
462	0.8692838654	0.3088326276
463	0.8691400633	0.3085647218
464	0.8697152718	0.308451818
465	0.8694276675	0.3084274102
466	0.8698590739	0.308132917
467	0.870002876	0.3079647849
468	0.8701466782	0.307876064
469	0.870002876	0.3076946787
470	0.8704342824	0.3074925659
471	0.8704342824	0.3073007217
472	0.8707218867	0.3070584404
473	0.8710094909	0.306837906
474	0.8708656888	0.3068219997
475	0.8715846995	0.3066075162
476	0.8715846995	0.306530538
477	0.8715846995	0.3064472215
478	0.8712970952	0.3064215407
479	0.8718723037	0.3061580726
480	0.8720161058	0.3059256013
481	0.8723037101	0.30579816
482	0.8724475122	0.305776549
483	0.8724475122	0.3056746055
484	0.872159908	0.3054888057
485	0.872159908	0.3054262868
486	0.8720161058	0.3053338576
487	0.8724475122	0.3049667383
488	0.8725913144	0.3048482113
489	0.8724475122	0.3047697043
490	0.8725913144	0.3045943484
491	0.8725913144	0.304481254
492	0.8730227207	0.3042326114
493	0.8731665229	0.3041447172
494	0.873310325	0.3039000997
495	0.8731665229	0.3038415681
496	0.8730227207	0.3036471125
497	0.8730227207	0.3035160915
498	0.8728789186	0.3034586348
499	0.873310325	0.3034022361
500	0.8728789186	0.3033014868
501	0.873310325	0.303182548
502	0.873310325	0.3031647115
503	0.873310325	0.3031492183
504	0.8730227207	0.303049235
505	0.873310325	0.3027975508
506	0.8734541271	0.3026079354
507	0.8734541271	0.302426607
508	0.8746045441	0.3021546515
509	0.8748921484	0.302063024
510	0.8746045441	0.3019726377
511	0.874460742	0.3018636054
512	0.8740293356	0.3016454671
513	0.874460742	0.3014742732
514	0.8746045441	0.301248424
515	0.8747483463	0.3011382642
516	0.8748921484	0.3010803794
517	0.8743169399	0.3009553035
518	0.8743169399	0.3008464158
519	0.8748921484	0.3006963569
520	0.874460742	0.3006429448
521	0.8746045441	0.3006076936
522	0.8747483463	0.3003475296
523	0.8747483463	0.3002805928
524	0.874460742	0.3002375703
525	0.8746045441	0.3002167726
526	0.8751797527	0.3000879881
527	0.8751797527	0.3000171719
528	0.875611159	0.2999436572
529	0.8757549612	0.2997557418
530	0.8757549612	0.2997337982
531	0.8761863676	0.2995013655
532	0.8761863676	0.2993991354
533	0.8761863676	0.2992107692
534	0.8761863676	0.2989860233
535	0.8758987633	0.2988152148
536	0.8763301697	0.2986728445
537	0.8763301697	0.298512474
538	0.8767615761	0.2982413032
539	0.8769053782	0.2982142789
540	0.8770491803	0.2981227596
541	0.8771929825	0.297863536
542	0.8774805867	0.2978183787
543	0.8776243888	0.2976185448
544	0.8774805867	0.2975260636
545	0.8781995974	0.2973482576
546	0.8781995974	0.2972320995
547	0.8781995974	0.2972222954
548	0.8784872016	0.2970594553
549	0.8783433995	0.2968999328
550	0.878918608	0.2964741109
551	0.878918608	0.296379196
552	0.878918608	0.2962937806
553	0.878918608	0.2961664833
554	0.8790624101	0.2960050905
555	0.8792062123	0.2959053028
556	0.8790624101	0.2956878179
557	0.8787748059	0.2955436492
558	0.8793500144	0.2953412417
559	0.8797814208	0.2951434466
560	0.8797814208	0.2951171206
561	0.8797814208	0.2950729664
562	0.8799252229	0.294792373
563	0.880069025	0.2946680225
564	0.880069025	0.2943637549
565	0.8797814208	0.2941859304
566	0.8799252229	0.2940987758
567	0.8796376186	0.2938680601
568	0.8796376186	0.2936536839
569	0.8796376186	0.2935401334
570	0.8797814208	0.2934318686
571	0.8799252229	0.2933470581
572	0.8799252229	0.2932351474
573	0.8805004314	0.2930463488
574	0.8803566293	0.2928823064
575	0.8803566293	0.292768308
576	0.8809318378	0.2926120631
577	0.8807880357	0.2925580264
578	0.8809318378	0.2922512624
579	0.8809318378	0.2921389257
580	0.881219442	0.2920151963
581	0.8815070463	0.2918816013
582	0.8816508484	0.2917315535
583	0.8815070463	0.2916370091
584	0.8813632442	0.2915865484
585	0.881219442	0.2914024829
586	0.8813632442	0.2912047035
587	0.8815070463	0.2911252636
588	0.8816508484	0.2909764096
589	0.8817946506	0.2908351451
590	0.8816508484	0.2907611088
591	0.8817946506	0.2906631531
592	0.8820822548	0.2904547195
593	0.8823698591	0.2903379303
594	0.8829450676	0.2901105789
595	0.8830888697	0.2899538526
596	0.8832326718	0.289813827
597	0.8830888697	0.2897840623
598	0.8829450676	0.2897219319
599	0.8828012655	0.2896360781
600	0.8829450676	0.2893573358
601	0.8832326718	0.2892765569
602	0.883376474	0.2891171501
603	0.8836640782	0.2889869738
604	0.8838078804	0.2888282351
605	0.8838078804	0.2887592816
606	0.8842392867	0.2886638265
607	0.8842392867	0.2885735757
608	0.8840954846	0.2884982855
609	0.8840954846	0.2883440506
610	0.8840954846	0.2883155552
611	0.8846706931	0.2881415798
612	0.8848144953	0.2880147653
613	0.8848144953	0.2879355772
614	0.8848144953	0.2878888652
615	0.8852459016	0.2877436532
616	0.8855335059	0.2876343299
617	0.8855335059	0.287631136
618	0.8858211102	0.2874593336
619	0.8861087144	0.2872974205
620	0.8861087144	0.2872033778
621	0.8858211102	0.2871731234
622	0.885677308	0.2869741327
623	0.8852459016	0.2868884715
624	0.8851020995	0.2868053443
625	0.8851020995	0.2867171704
626	0.8852459016	0.2866275526
627	0.8862525165	0.2864468535
628	0.8863963187	0.2862911681
629	0.8859649123	0.286211672
630	0.8865401208	0.2861331367
631	0.8871153293	0.2859770919
632	0.8871153293	0.2857429272
