iter	Passed	Remaining
0	86	69236
1	116	46374
2	149	39584
3	181	36158
4	213	33916
5	240	31860
6	270	30670
7	307	30419
8	335	29466
9	361	28569
10	392	28143
11	442	29060
12	475	28790
13	522	29325
14	560	29325
15	583	28614
16	609	28062
17	639	27766
18	669	27538
19	693	27052
20	721	26776
21	747	26445
22	771	26055
23	805	26052
24	832	25803
25	857	25539
26	887	25421
27	921	25401
28	944	25102
29	979	25138
30	1011	25089
31	1043	25037
32	1066	24786
33	1093	24645
34	1121	24513
35	1144	24290
36	1179	24332
37	1211	24299
38	1234	24098
39	1263	24009
40	1290	23884
41	1319	23822
42	1344	23665
43	1373	23593
44	1404	23567
45	1426	23382
46	1456	23330
47	1477	23148
48	1504	23054
49	1533	22995
50	1559	22896
51	1579	22720
52	1601	22572
53	1629	22507
54	1651	22364
55	1675	22256
56	1696	22107
57	1716	21953
58	1734	21788
59	1756	21666
60	1776	21526
61	1796	21382
62	1815	21243
63	1837	21125
64	1857	21009
65	1876	20872
66	1897	20762
67	1918	20650
68	1937	20527
69	1956	20403
70	1975	20284
71	1996	20188
72	2006	19983
73	2026	19879
74	2046	19779
75	2067	19696
76	2093	19657
77	2121	19634
78	2145	19577
79	2170	19536
80	2207	19593
81	2231	19543
82	2262	19545
83	2291	19532
84	2310	19437
85	2333	19376
86	2359	19334
87	2384	19295
88	2415	19297
89	2443	19276
90	2472	19261
91	2501	19249
92	2528	19225
93	2551	19160
94	2587	19202
95	2633	19314
96	2670	19354
97	2692	19283
98	2725	19301
99	2766	19366
100	2809	19445
101	2854	19535
102	2889	19556
103	2923	19568
104	2937	19445
105	2963	19403
106	3003	19453
107	3041	19485
108	3053	19355
109	3091	19393
110	3135	19463
111	3178	19523
112	3218	19565
113	3263	19637
114	3301	19667
115	3332	19648
116	3381	19741
117	3422	19780
118	3468	19850
119	3506	19872
120	3540	19869
121	3582	19906
122	3624	19950
123	3664	19979
124	3701	19990
125	3750	20063
126	3788	20074
127	3824	20081
128	3864	20100
129	3901	20105
130	3930	20073
131	3965	20068
132	3996	20042
133	4021	19989
