iter	RMSE
0	110405.465
1	107522.2387
2	105233.381
3	102894.6097
4	100548.3198
5	98308.93021
6	96261.82327
7	94002.86272
8	92387.50866
9	90644.18688
10	88917.46846
11	87248.12176
12	85617.07081
13	84086.4321
14	82724.93909
15	81351.42286
16	80138.40033
17	78697.44008
18	77601.80155
19	76482.88923
20	75374.26847
21	74453.76654
22	73509.86808
23	72616.4525
24	71788.75889
25	70927.47505
26	70295.76993
27	69485.13346
28	68694.57559
29	68066.75716
30	67451.18715
31	66677.76011
32	66096.55702
33	65399.32865
34	64872.16188
35	64294.52808
36	63750.06442
37	63322.06056
38	62755.18184
39	62132.12748
40	61724.90145
41	61328.73201
42	60885.2499
43	60520.0453
44	60187.92505
45	59837.51271
46	59510.30863
47	59154.57473
48	58728.37005
49	58404.5019
50	57957.25366
51	57596.97305
52	57376.07016
53	57151.42638
54	56950.32256
55	56693.70694
56	56285.29313
57	56101.55551
58	55877.73726
59	55640.12975
60	55375.67074
61	55147.39611
62	54912.11741
63	54650.92062
64	54396.59699
65	54204.85881
66	53991.79737
67	53820.80905
68	53646.02944
69	53414.56568
70	53278.40433
71	53030.02176
72	52850.54629
73	52694.87256
74	52548.77717
75	52402.82576
76	52200.57966
77	52013.09033
78	51817.82401
79	51682.57552
80	51553.47058
81	51300.60494
82	51158.37752
83	51021.21898
84	50916.70869
85	50780.4505
86	50663.01066
87	50529.45863
88	50392.02365
89	50174.52312
90	50009.99639
91	49853.08666
92	49715.54268
93	49665.71219
94	49516.7784
95	49433.68176
96	49347.95118
97	49209.8396
98	49030.35036
99	48912.84917
100	48761.94883
101	48642.82919
102	48531.23775
103	48437.44008
104	48314.01939
105	48203.4253
106	48075.63078
107	47959.37166
108	47840.53163
109	47762.74416
110	47658.67049
111	47569.01722
112	47419.09951
113	47300.64128
114	47163.4062
115	47028.18696
116	46945.66914
117	46799.91394
118	46650.32787
119	46559.40529
120	46476.93292
121	46381.63562
122	46300.37662
123	46218.00214
124	46071.51732
125	45978.10789
126	45961.33457
127	45869.69777
128	45801.32676
129	45716.07201
130	45550.52798
131	45386.63579
132	45306.30324
133	45229.20573
134	45153.45716
135	45047.28869
136	44979.37041
137	44876.39854
138	44824.31273
139	44761.99104
140	44688.14976
141	44610.58429
142	44539.46612
143	44483.35078
144	44407.20782
145	44344.15781
146	44257.44304
147	44150.59761
148	43975.03895
149	43869.20239
150	43755.66917
151	43649.23626
152	43547.23931
153	43492.49259
154	43392.66956
155	43309.08162
156	43203.31175
157	43156.47336
158	43089.98622
159	43007.50191
160	42954.63626
161	42847.53065
162	42787.51866
163	42639.23722
164	42573.29093
165	42446.92502
166	42354.27187
167	42233.96632
168	42147.06825
169	42066.97937
170	42007.07008
171	41945.80896
172	41871.46841
173	41797.61612
174	41724.91058
175	41610.98972
176	41534.29589
177	41411.03679
178	41302.59959
179	41208.59649
180	41145.14943
181	41049.90372
182	40953.51303
183	40854.95853
184	40819.14428
185	40750.91926
186	40646.80524
187	40593.50924
188	40535.09117
189	40474.68231
190	40375.41473
191	40336.14138
192	40281.85834
193	40189.33972
194	40122.18193
195	40023.92946
196	39956.59497
197	39852.48638
198	39817.76747
199	39720.71666
200	39636.358
201	39557.28993
202	39531.11823
203	39465.64695
204	39410.73259
205	39337.61486
206	39277.46514
207	39190.64379
208	39104.46409
209	38965.08553
210	38866.0334
211	38809.55248
212	38750.3943
213	38701.16374
214	38628.76445
215	38532.25989
216	38452.24158
217	38395.49392
218	38340.4171
219	38211.91031
220	38134.3929
221	38054.85007
222	37973.7293
223	37906.42928
224	37830.34726
225	37750.19663
226	37703.04865
227	37627.84875
228	37520.26775
229	37451.75386
230	37385.71522
231	37313.87013
232	37284.15242
233	37233.32117
234	37116.42055
235	37046.8938
236	37016.8223
237	36913.48163
238	36831.61067
239	36761.96701
240	36689.27647
241	36651.16454
242	36581.60062
243	36475.43821
244	36445.83574
245	36402.18534
246	36350.64709
247	36316.71445
248	36233.24557
249	36157.30041
250	36102.91376
251	35965.94904
252	35918.95111
253	35863.02226
254	35800.76991
255	35667.86171
256	35610.65328
257	35549.12717
258	35494.41658
259	35394.78029
260	35330.01115
261	35271.62449
262	35231.2072
263	35185.29587
264	35135.17506
265	35089.45194
266	35044.90379
267	34970.60236
268	34867.44085
269	34831.19544
270	34722.21105
271	34618.47206
272	34584.54127
273	34524.30227
274	34452.78272
275	34398.74604
276	34298.41438
277	34214.34398
278	34160.39496
279	34110.7494
280	33993.92866
281	33980.42276
282	33918.265
283	33898.68122
284	33848.63681
285	33798.31423
286	33722.52303
287	33690.60714
288	33623.53984
289	33587.56278
290	33536.5955
291	33493.28094
292	33453.50147
293	33395.54109
294	33357.88397
295	33249.71111
296	33188.44404
297	33087.84011
298	33011.61182
299	32944.95135
300	32882.80931
301	32822.83268
302	32743.61046
303	32673.67264
304	32594.88638
305	32571.43753
306	32526.08244
307	32464.89629
308	32404.09599
309	32369.58446
310	32317.08885
311	32239.98868
312	32191.43543
313	32139.41273
314	32099.22305
315	32006.33808
316	31963.47188
317	31881.66227
318	31793.80648
319	31759.45723
320	31664.64853
321	31632.71142
322	31571.22676
323	31492.50958
324	31459.30338
325	31402.10438
326	31353.00221
327	31288.89434
328	31251.48378
329	31188.71849
330	31153.73338
331	31101.25839
332	31048.35766
333	31001.78298
334	30961.48927
335	30931.65474
336	30824.93292
337	30786.73027
338	30759.89621
339	30709.80113
340	30634.66566
341	30588.28134
342	30554.53769
343	30504.00646
344	30436.3151
345	30388.60737
346	30351.20514
347	30334.83601
348	30282.01747
349	30232.50513
350	30210.00846
351	30171.34624
352	30123.25427
353	30096.98351
354	30017.53206
355	30002.35255
356	29947.88979
357	29892.26693
358	29844.1749
359	29808.07085
360	29797.44476
