iter	RMSE
0	109655.438
1	107144.9091
2	104947.5862
3	102625.8153
4	100525.2374
5	98494.71369
6	96670.28598
7	94792.57488
8	93122.92593
9	91472.94472
10	89738.52638
11	88381.32126
12	86868.93386
13	85546.72794
14	84372.30262
15	83097.8262
16	81878.39992
17	80736.14064
18	79616.53095
19	78593.95085
20	77708.68205
21	76839.6448
22	76024.86726
23	75291.38655
24	74266.88866
25	73551.25853
26	72870.64941
27	72156.11248
28	71488.06208
29	70790.81939
30	70019.22734
31	69540.81405
32	69003.48571
33	68561.72949
34	68019.26703
35	67500.18571
36	67110.97985
37	66751.24581
38	66309.01107
39	65840.19305
40	65379.34626
41	64727.20618
42	64391.02733
43	64094.30079
44	63766.79126
45	63416.75762
46	63167.31806
47	62853.68274
48	62580.46252
49	62299.57257
50	62004.52025
51	61713.86687
52	61427.29108
53	61175.98333
54	60735.01815
55	60530.65957
56	60299.85469
57	60002.67255
58	59782.07688
59	59608.62866
60	59360.01297
61	59130.32776
62	58969.49539
63	58760.80312
64	58390.97989
65	58187.11059
66	58029.55585
67	57851.1105
68	57692.25197
69	57536.34966
70	57410.96185
71	57273.10547
72	56939.59842
73	56706.81365
74	56525.28061
75	56373.71669
76	56202.5391
77	56035.66837
78	55690.63989
79	55504.87876
80	55407.91356
81	55271.26186
82	55131.74162
83	54976.4306
84	54698.80237
85	54567.39053
86	54346.33352
87	54150.36124
88	54065.32835
89	53969.254
90	53758.21781
91	53646.08367
92	53538.06588
93	53422.25192
94	53344.57937
95	53209.20081
96	53086.6642
97	52998.4116
98	52871.65288
99	52719.38483
100	52616.79465
101	52534.01875
102	52464.30313
103	52367.95134
104	52250.76159
105	52146.14194
106	52090.26639
107	51986.16336
108	51913.65586
109	51800.84155
110	51527.23592
111	51430.9244
112	51366.34734
113	51239.28691
114	51133.57609
115	51074.91493
116	50916.73261
117	50842.24598
118	50797.36047
119	50660.29403
120	50509.99535
121	50444.88238
122	50317.57182
123	50236.68316
124	50107.92713
125	50007.62599
126	49938.00791
127	49832.71722
128	49690.72034
129	49650.18741
130	49579.05274
131	49530.58113
132	49454.50859
133	49325.20709
134	49280.78338
135	49189.18775
136	49115.69661
137	49053.75109
138	48990.47175
139	48881.21704
140	48732.35202
141	48648.36908
142	48569.4855
143	48497.10459
144	48430.9396
145	48325.03246
146	48269.16459
147	48220.85789
148	48087.89718
149	47995.40012
150	47948.1014
151	47901.53066
152	47804.63521
153	47743.01264
154	47701.71593
155	47598.03179
156	47462.56542
157	47411.80722
158	47275.51055
159	47195.81683
160	47073.58784
161	46986.48154
162	46925.17806
163	46894.03417
164	46836.25777
165	46783.69868
166	46713.72188
167	46680.60524
168	46636.20865
169	46554.65569
170	46479.83237
171	46347.56658
172	46296.4436
173	46159.3182
174	46090.77881
175	45988.36965
176	45907.07324
177	45847.7373
178	45769.32247
179	45717.0548
180	45645.64731
181	45612.23079
182	45462.04442
183	45391.92567
184	45317.47539
185	45247.08882
186	45154.84046
187	45030.00649
188	44960.96838
189	44903.27368
190	44817.37731
191	44731.18074
192	44676.89063
193	44557.67103
194	44478.40192
195	44358.09421
196	44294.89209
197	44234.33817
198	44165.34903
199	44135.76197
200	44054.08329
201	43931.79285
202	43876.54441
203	43809.24013
204	43690.92834
205	43646.08353
206	43568.78605
207	43504.93197
208	43449.15371
209	43393.2439
210	43347.92748
211	43251.3538
212	43231.6767
213	43191.05042
214	43143.98709
215	43052.02834
216	42987.79269
217	42934.34035
218	42884.52186
219	42818.6822
220	42765.39562
221	42681.15401
222	42612.07041
223	42545.60277
224	42474.48056
225	42405.02919
226	42346.05804
227	42287.5931
228	42229.47636
229	42172.02894
230	42114.21993
231	42049.13017
232	41951.03429
233	41884.42014
234	41865.52102
235	41803.1272
236	41738.53502
237	41695.69954
238	41640.24021
239	41595.54734
240	41538.72303
241	41524.73946
242	41433.58952
243	41360.80896
244	41267.90303
245	41216.35773
246	41170.99054
247	41054.21499
248	40970.04778
249	40922.78361
250	40818.57526
251	40757.42379
252	40673.30206
253	40625.13462
254	40543.73565
255	40489.18306
256	40428.03983
257	40363.71494
258	40327.91386
259	40232.77647
260	40169.96753
261	40147.4687
262	40102.51874
263	40058.33311
264	40003.67616
265	39956.2399
266	39864.36555
267	39791.69091
268	39720.811
269	39636.27027
270	39589.62702
271	39507.59195
272	39453.98399
273	39431.31045
274	39375.00802
275	39305.89683
276	39273.23769
277	39220.28211
278	39178.73893
279	39135.25013
280	39040.08756
281	38999.56181
282	38958.23237
283	38917.11227
284	38876.06677
285	38819.11223
286	38780.42403
287	38741.41229
288	38674.74782
289	38632.44238
290	38593.12698
291	38512.66871
292	38480.31186
293	38433.74711
294	38386.99102
295	38339.53846
296	38265.24837
297	38197.08983
298	38121.04275
299	38063.76468
