iter	Passed	Remaining
0	18	5599
1	21	3181
2	37	3760
3	54	3998
4	71	4193
5	73	3598
6	85	3565
7	97	3542
8	119	3858
9	133	3873
10	141	3725
11	159	3836
12	169	3745
13	191	3902
14	207	3949
15	211	3757
16	217	3625
17	223	3498
18	229	3391
19	238	3340
20	243	3231
21	252	3186
22	265	3191
23	268	3092
24	289	3180
25	299	3159
26	313	3169
27	316	3073
28	325	3043
29	339	3058
30	344	2985
31	361	3030
32	370	2998
33	374	2932
34	377	2855
35	386	2833
36	395	2812
37	404	2791
38	407	2726
39	409	2663
40	417	2639
41	426	2617
42	429	2566
43	437	2546
44	447	2537
45	452	2496
46	461	2485
47	464	2437
48	475	2437
49	478	2394
50	483	2358
51	492	2349
52	496	2314
53	505	2302
54	514	2293
55	521	2272
56	524	2236
57	533	2225
58	538	2201
59	550	2201
60	552	2165
61	563	2163
62	571	2151
63	586	2163
64	593	2146
65	612	2169
66	628	2186
67	634	2166
68	646	2164
69	660	2169
70	675	2179
71	681	2158
72	694	2158
73	708	2163
74	717	2152
75	742	2188
76	766	2219
77	785	2234
78	800	2240
79	814	2240
80	830	2245
81	846	2249
82	876	2292
83	890	2291
84	896	2266
85	908	2259
86	921	2255
87	934	2251
88	948	2249
89	966	2256
90	995	2287
91	1010	2284
92	1055	2350
93	1093	2396
94	1111	2398
95	1127	2395
96	1140	2387
97	1156	2384
98	1171	2377
99	1202	2405
100	1205	2374
101	1227	2382
102	1242	2375
103	1272	2398
104	1274	2367
105	1290	2361
106	1319	2379
107	1326	2358
108	1340	2349
109	1348	2330
110	1356	2309
111	1367	2295
112	1371	2269
113	1373	2241
114	1385	2228
115	1392	2209
116	1400	2191
117	1419	2189
118	1428	2172
119	1434	2152
120	1450	2146
121	1461	2132
122	1471	2117
123	1480	2102
124	1492	2089
125	1503	2075
126	1507	2053
127	1511	2030
128	1530	2028
129	1549	2025
130	1564	2017
131	1592	2026
132	1616	2030
133	1621	2009
134	1631	1994
135	1641	1979
136	1646	1958
137	1658	1946
138	1682	1948
139	1710	1954
140	1719	1938
141	1729	1923
142	1750	1921
143	1755	1902
144	1763	1884
145	1769	1866
146	1777	1850
147	1783	1832
148	1795	1819
149	1822	1822
150	1832	1808
151	1844	1796
152	1859	1786
153	1867	1770
154	1893	1771
155	1905	1758
156	1941	1768
157	1947	1750
158	1964	1741
159	1969	1723
160	1984	1713
161	1992	1697
162	1997	1678
163	1999	1658
164	2005	1640
165	2009	1622
166	2019	1608
167	2034	1598
168	2039	1580
169	2044	1563
170	2048	1545
171	2058	1531
172	2063	1514
173	2069	1498
174	2072	1480
175	2076	1463
176	2085	1449
177	2089	1432
178	2099	1419
179	2112	1408
180	2117	1391
181	2129	1380
182	2148	1373
183	2159	1361
184	2181	1355
185	2187	1341
186	2200	1329
187	2203	1312
188	2218	1302
189	2247	1300
190	2255	1287
191	2263	1273
192	2266	1256
193	2282	1247
194	2290	1233
195	2296	1218
196	2309	1207
197	2327	1199
198	2336	1185
199	2348	1174
200	2352	1158
201	2367	1148
202	2373	1133
203	2379	1119
204	2386	1105
205	2393	1092
206	2402	1079
207	2420	1070
208	2429	1057
209	2451	1050
210	2464	1039
211	2492	1034
212	2498	1020
213	2503	1005
214	2510	992
215	2518	979
216	2522	964
217	2542	956
218	2555	945
219	2568	933
220	2574	920
221	2590	910
222	2597	896
223	2604	883
224	2608	869
225	2626	860
226	2633	846
227	2644	835
228	2649	821
229	2668	812
230	2681	801
231	2688	788
232	2693	774
233	2697	760
234	2704	747
235	2709	734
236	2720	723
237	2726	710
238	2731	697
239	2743	685
240	2754	674
241	2761	661
242	2767	649
243	2772	636
244	2775	623
245	2780	610
246	2782	597
247	2789	584
248	2795	572
249	2798	559
250	2803	547
251	2810	535
252	2815	523
253	2825	511
254	2828	499
255	2830	486
256	2843	475
257	2848	463
258	2856	452
259	2860	440
260	2863	427
261	2869	416
262	2874	404
263	2877	392
264	2885	381
265	2897	370
266	2902	358
267	2913	347
268	2921	336
269	2928	325
270	2931	313
271	2937	302
272	2942	291
273	2944	279
274	2950	268
275	2957	257
276	2961	245
277	2970	235
278	2977	224
279	2983	213
280	2987	201
281	2989	190
282	2993	179
283	2996	168
284	2999	157
285	3008	147
286	3015	136
287	3019	125
288	3021	115
289	3028	104
290	3042	94
291	3054	83
292	3061	73
293	3070	62
294	3082	52
295	3086	41
296	3094	31
297	3103	20
298	3109	10
299	3126	0
