iter	Passed	Remaining
0	2	2309
1	4	2206
2	7	2331
3	11	2844
4	13	2655
5	16	2696
6	18	2687
7	22	2729
8	25	2819
9	29	2909
10	31	2829
11	33	2760
12	35	2689
13	37	2631
14	39	2582
15	42	2641
16	44	2599
17	46	2559
18	48	2523
19	50	2493
20	52	2464
21	54	2434
22	58	2470
23	60	2447
24	64	2497
25	68	2580
26	71	2560
27	74	2571
28	76	2555
29	79	2554
30	81	2532
31	83	2514
32	85	2493
33	87	2472
34	89	2470
35	91	2458
36	93	2445
37	95	2429
38	97	2412
39	99	2398
40	101	2385
41	106	2430
42	108	2420
43	110	2407
44	115	2441
45	117	2444
46	120	2447
47	122	2435
48	124	2423
49	128	2446
50	130	2436
51	133	2427
52	135	2417
53	138	2420
54	140	2409
55	143	2425
56	146	2416
57	148	2407
58	150	2397
59	154	2418
60	156	2410
61	158	2401
62	160	2394
63	164	2412
64	169	2433
65	171	2429
66	174	2424
67	176	2416
68	178	2406
69	180	2397
70	182	2388
71	185	2388
72	188	2388
73	190	2380
74	192	2371
75	194	2363
76	196	2355
77	200	2375
78	203	2370
79	205	2362
80	207	2355
81	211	2373
82	216	2392
83	226	2469
84	231	2496
85	241	2566
86	246	2589
87	259	2690
88	265	2720
89	272	2750
90	283	2829
91	285	2821
92	291	2843
93	299	2884
94	303	2892
95	307	2895
96	309	2884
97	312	2878
98	316	2876
99	318	2865
100	320	2851
101	322	2838
102	324	2826
103	326	2814
104	329	2806
105	333	2812
106	336	2807
107	340	2812
108	345	2826
109	349	2825
110	351	2818
111	354	2808
112	358	2813
113	360	2802
114	363	2794
115	365	2785
116	367	2774
117	370	2768
118	372	2760
119	375	2755
120	384	2796
121	386	2785
122	389	2774
123	391	2765
124	393	2756
125	396	2748
126	398	2738
127	400	2728
128	402	2718
129	404	2708
130	408	2708
131	411	2706
132	416	2714
133	418	2705
134	420	2695
135	423	2693
136	426	2685
137	428	2675
138	430	2666
139	432	2657
140	434	2648
141	436	2639
142	440	2639
143	442	2631
144	444	2622
145	446	2613
146	448	2604
147	450	2596
148	453	2587
149	456	2585
150	458	2577
151	460	2568
152	462	2560
153	464	2552
154	466	2544
155	471	2551
156	474	2547
157	478	2548
158	481	2545
159	483	2538
160	487	2539
161	489	2532
162	495	2542
163	497	2536
164	499	2528
165	504	2534
166	506	2527
167	508	2519
168	510	2511
169	512	2503
170	514	2495
171	519	2499
172	521	2493
173	523	2485
174	525	2478
175	528	2472
176	530	2465
177	532	2459
178	537	2465
179	539	2459
180	542	2454
181	544	2447
182	546	2441
183	550	2441
184	552	2435
185	554	2428
186	556	2421
187	559	2415
188	561	2409
189	563	2402
190	567	2404
191	575	2421
192	577	2415
193	585	2432
194	590	2435
195	593	2436
196	598	2438
197	601	2434
198	604	2432
199	606	2426
200	609	2421
201	611	2416
202	619	2431
203	621	2426
204	624	2421
205	627	2416
206	635	2434
207	638	2431
208	641	2426
209	643	2420
210	646	2419
211	651	2420
212	653	2416
213	656	2410
214	658	2404
215	662	2405
216	665	2399
217	668	2398
218	673	2400
219	678	2405
220	681	2400
221	683	2394
222	685	2389
223	687	2383
224	690	2377
225	694	2377
226	696	2371
227	698	2365
228	700	2359
229	703	2353
230	706	2353
231	709	2349
232	714	2351
233	717	2349
234	723	2353
235	726	2350
236	728	2346
237	732	2345
238	735	2341
239	737	2336
240	741	2335
241	743	2329
242	745	2323
243	748	2318
244	750	2312
245	753	2310
246	757	2308
247	759	2303
248	761	2297
249	763	2291
250	766	2286
251	768	2281
252	772	2280
253	774	2274
254	776	2268
255	778	2263
256	781	2257
257	783	2252
258	785	2247
259	789	2246
260	791	2241
261	793	2235
262	796	2230
263	798	2225
264	800	2219
265	804	2219
266	806	2214
267	809	2210
268	814	2212
269	816	2207
270	823	2214
271	825	2208
272	827	2203
273	830	2201
274	834	2200
275	839	2202
276	842	2198
277	844	2193
278	846	2188
279	849	2183
280	852	2182
281	855	2177
282	857	2172
283	859	2166
284	861	2161
285	863	2156
286	867	2154
287	869	2149
288	873	2148
289	875	2144
290	877	2139
291	880	2134
292	882	2130
293	888	2132
294	894	2138
295	898	2136
296	900	2131
297	902	2126
298	904	2121
299	906	2116
300	909	2111
301	911	2106
302	914	2104
303	917	2099
304	919	2094
305	921	2089
306	923	2084
307	925	2079
308	927	2075
309	932	2074
310	934	2069
311	938	2069
312	940	2064
313	942	2059
314	946	2057
315	950	2056
316	955	2058
317	957	2053
318	961	2053
319	964	2048
320	966	2043
321	968	2038
322	970	2033
323	972	2028
324	976	2027
325	980	2026
326	982	2022
327	984	2017
328	986	2012
329	988	2007
330	994	2010
331	996	2005
332	998	2000
333	1001	1997
334	1004	1993
335	1007	1991
336	1011	1989
337	1013	1984
338	1015	1979
339	1017	1975
340	1019	1970
341	1021	1965
342	1024	1962
343	1026	1957
344	1029	1953
345	1032	1952
346	1037	1951
347	1039	1947
348	1041	1943
349	1044	1939
350	1048	1937
351	1052	1937
352	1057	1938
353	1059	1934
354	1065	1936
355	1071	1937
356	1073	1933
357	1075	1929
358	1077	1924
359	1080	1920
360	1082	1915
361	1085	1913
362	1088	1909
363	1090	1905
364	1092	1900
365	1094	1895
366	1096	1891
367	1098	1886
368	1107	1894
369	1111	1892
370	1116	1893
371	1120	1892
372	1124	1889
373	1128	1888
374	1134	1890
375	1136	1886
376	1139	1883
377	1141	1879
378	1144	1874
379	1146	1870
380	1151	1870
381	1155	1870
382	1158	1865
383	1160	1861
384	1162	1856
385	1165	1853
386	1167	1849
387	1169	1844
388	1174	1844
389	1176	1840
390	1178	1836
391	1182	1833
392	1184	1828
393	1186	1824
394	1188	1819
395	1190	1815
396	1192	1811
397	1197	1810
398	1199	1806
399	1201	1802
400	1203	1798
401	1205	1793
402	1207	1789
403	1209	1785
404	1222	1796
405	1225	1792
406	1234	1798
407	1237	1795
408	1239	1791
409	1250	1799
410	1255	1799
411	1257	1794
412	1259	1790
413	1261	1786
414	1269	1789
415	1272	1786
416	1276	1784
417	1279	1781
418	1282	1777
419	1284	1773
420	1286	1769
421	1288	1764
422	1291	1761
423	1293	1757
424	1297	1755
425	1299	1750
426	1302	1747
427	1308	1748
428	1313	1748
429	1318	1747
430	1320	1743
431	1326	1743
432	1328	1739
433	1330	1735
434	1333	1731
435	1335	1727
436	1338	1724
437	1342	1721
438	1345	1718
439	1347	1715
440	1349	1710
441	1351	1706
442	1355	1703
443	1357	1699
444	1359	1695
445	1361	1691
446	1364	1688
447	1367	1684
448	1370	1681
449	1372	1678
450	1375	1674
451	1377	1669
452	1379	1666
453	1382	1662
454	1385	1659
455	1390	1658
456	1393	1656
457	1398	1655
458	1401	1651
459	1408	1653
460	1415	1655
461	1418	1651
462	1420	1647
463	1429	1651
464	1434	1650
465	1439	1649
466	1443	1647
467	1447	1644
468	1449	1641
469	1452	1637
470	1454	1633
471	1457	1629
