iter	RMSE
0	113103.9684
1	112257.6848
2	111308.6643
3	110457.6567
4	109652.5712
5	108907.5269
6	107954.4582
7	107176.0117
8	106363.633
9	105640.4702
10	104876.6388
11	104085.3369
12	103336.5539
13	102630.2329
14	101933.2228
15	101230.5158
16	100453.6567
17	99795.70975
18	99111.77827
19	98302.91208
20	97699.36223
21	97054.94322
22	96408.36096
23	95798.75901
24	95206.95209
25	94607.96549
26	94002.89918
27	93461.22156
28	92947.94572
29	92443.65142
30	91909.86903
31	91418.88667
32	90912.95058
33	90494.47834
34	90019.57615
35	89565.05445
36	89108.11694
37	88663.64367
38	88198.9756
39	87792.18198
40	87404.82147
41	87013.88137
42	86637.0678
43	86245.34539
44	85878.85993
45	85458.68986
46	85048.69754
47	84704.92979
48	84301.85072
49	83930.44021
50	83582.84562
51	83238.39953
52	82904.36806
53	82549.48249
54	82161.2779
55	81818.63378
56	81411.64172
57	81040.25614
58	80753.62862
59	80407.6453
60	80039.89637
61	79781.56306
62	79439.73523
63	79144.33071
64	78865.30364
65	78596.3667
66	78318.65091
67	78058.71456
68	77798.51879
69	77518.46085
70	77284.9519
71	76963.23401
72	76651.3943
73	76434.59526
74	76085.31453
75	75862.64693
76	75597.59806
77	75361.68758
78	75164.43924
79	74927.62615
80	74681.82826
81	74466.27723
82	74219.5142
83	73899.62287
84	73653.57082
85	73465.23117
86	73181.78484
87	72983.09084
88	72746.28423
89	72504.55341
90	72328.17973
91	72141.57702
92	71921.76729
93	71721.3018
94	71541.89465
95	71359.60027
96	71192.25684
97	71002.18892
98	70843.29911
99	70668.62318
100	70488.18874
101	70325.09759
102	70194.73176
103	69980.95965
104	69866.33454
105	69673.93529
106	69503.47415
107	69370.18126
108	69192.01365
109	69028.56202
110	68895.68903
111	68745.70731
112	68583.81962
113	68400.38269
114	68223.9256
115	68081.24101
116	67954.60312
117	67741.84792
118	67605.40369
119	67436.83406
120	67288.75171
121	67157.58261
122	67024.9852
123	66912.86155
124	66784.99494
125	66636.66847
126	66501.98334
127	66341.22392
128	66148.60028
129	66001.40829
130	65871.22166
131	65734.15984
132	65614.6045
133	65500.95156
134	65343.12597
135	65238.78279
