iter	Passed	Remaining
0	4	43585
1	8	42813
2	11	39870
3	15	38485
4	19	39786
5	23	39608
6	27	39017
7	30	38364
8	34	38593
9	38	38113
10	42	38765
11	46	38446
12	50	38894
13	57	41215
14	61	40694
15	64	40303
16	68	40474
17	72	40176
18	76	40041
19	80	40272
20	84	40036
21	88	40024
22	91	39808
23	96	40292
24	100	40100
25	105	40535
26	110	40651
27	113	40494
28	117	40315
29	121	40362
30	125	40338
31	128	40140
32	132	39970
33	136	39903
34	141	40196
35	144	40032
36	147	39842
37	151	39657
38	155	39771
39	161	40302
40	165	40289
41	171	40613
42	175	40548
43	178	40400
44	182	40264
45	187	40664
46	191	40556
47	195	40438
48	198	40347
49	212	42205
50	223	43550
51	227	43568
52	233	43759
53	236	43609
54	240	43490
55	244	43376
56	248	43301
57	252	43208
58	255	43110
59	259	43017
60	265	43203
61	268	43088
62	272	42991
63	277	43100
64	281	43032
65	285	42923
66	288	42800
67	292	42711
68	296	42731
69	300	42625
70	304	42519
71	308	42522
72	313	42597
73	316	42513
74	321	42520
75	324	42416
76	328	42326
77	332	42235
78	336	42208
79	339	42134
80	344	42137
81	347	42046
82	351	42040
83	355	41937
84	359	41981
85	364	41963
86	367	41889
87	371	41810
88	375	41834
89	380	41924
90	384	41886
91	388	41812
92	392	41781
93	397	41864
94	400	41784
95	404	41719
96	409	41770
97	412	41701
98	416	41623
99	420	41584
100	425	41707
101	429	41654
102	432	41599
103	436	41543
104	441	41605
105	445	41556
106	448	41505
107	452	41445
108	457	41539
109	461	41486
110	466	41566
111	474	41848
112	478	41878
113	483	41935
114	489	42095
115	496	42282
116	502	42464
117	509	42676
118	513	42649
119	518	42727
120	522	42699
121	526	42633
122	530	42599
123	535	42680
124	539	42655
125	543	42610
126	549	42688
127	554	42789
128	558	42733
129	562	42744
130	567	42785
131	573	42837
132	576	42797
133	581	42827
134	586	42855
135	590	42814
136	594	42802
137	600	42917
138	604	42883
139	608	42844
140	613	42874
141	617	42838
142	621	42813
143	625	42784
144	630	42821
145	633	42779
146	637	42750
147	643	42803
148	646	42764
149	651	42764
150	655	42741
151	660	42799
152	664	42763
153	668	42713
154	672	42729
155	676	42705
156	680	42671
157	685	42713
158	690	42717
159	694	42684
160	697	42646
161	702	42652
162	707	42720
163	712	42718
164	717	42761
165	723	42854
166	728	42871
167	735	43015
168	739	43023
169	743	42984
170	747	42972
171	752	43011
172	756	42998
173	761	43023
174	766	43013
175	769	42966
176	775	43017
177	779	42998
178	783	42970
179	787	42980
180	791	42937
181	795	42912
182	799	42878
183	803	42884
184	807	42841
185	812	42856
186	816	42856
187	821	42887
188	828	42984
189	833	43025
190	837	42997
191	841	42962
192	845	42969
193	849	42945
194	853	42925
195	858	42947
196	865	43056
197	869	43034
198	874	43051
199	878	43026
200	881	42980
201	885	42943
202	890	42993
203	894	42956
204	898	42933
205	902	42925
206	907	42945
207	911	42909
208	915	42877
209	920	42907
210	924	42883
211	928	42862
212	933	42892
213	939	42977
214	944	42986
215	950	43033
216	953	43006
217	957	42979
218	962	42986
219	966	42962
220	970	42934
221	974	42903
222	978	42908
223	982	42897
224	986	42878
