iter	RMSE
0	109414.5429
1	106404.9313
2	103348.3485
3	100613.5484
4	98033.79914
5	95451.25929
6	93112.75665
7	90832.80855
8	88732.58562
9	86748.32063
10	84761.85859
11	83123.40773
12	81523.29216
13	80018.31235
14	78504.49486
15	77054.88075
16	75650.81378
17	74334.03272
18	73180.23811
19	72079.0799
20	71186.97021
21	70127.34863
22	69195.6819
23	68253.79727
24	67406.05585
25	66542.65714
26	65846.42552
27	64957.82661
28	64257.05315
29	63622.12012
30	62911.63732
31	62353.17875
32	61865.41892
33	61388.36711
34	60911.86339
35	60476.77945
36	60022.97733
37	59557.51417
38	59137.8173
39	58658.6138
40	58295.78658
41	57897.47185
42	57554.8862
43	57235.64435
44	56972.79076
45	56659.50649
46	56318.6734
47	55946.85447
48	55704.04844
49	55352.69756
50	55046.62987
51	54848.01247
52	54587.8954
53	54378.81611
54	54155.66683
55	53888.11292
56	53694.89078
57	53447.88286
58	53290.69516
59	53113.44888
60	52846.29075
61	52720.74867
62	52466.93015
63	52269.53471
64	52069.26338
65	51895.70775
66	51738.02199
67	51558.9868
68	51395.1205
69	51271.98705
70	51182.86156
71	51091.84034
72	50989.03156
73	50859.93584
74	50748.82114
75	50639.71448
76	50557.86858
77	50436.87615
78	50287.40987
79	50189.72158
80	50038.42562
81	49947.60469
82	49811.62311
83	49667.96599
84	49584.52745
85	49448.4873
86	49351.5989
87	49258.56588
88	49167.1053
89	49086.91015
90	48999.02695
91	48902.04643
92	48779.43111
93	48690.08539
94	48574.77228
95	48461.96731
96	48356.02402
97	48253.85826
98	48170.1541
99	48061.25552
100	47990.24034
101	47905.04877
102	47835.42003
103	47739.04766
104	47695.38766
105	47572.15018
106	47523.81294
107	47443.81964
108	47339.5829
109	47229.86621
110	47187.38516
111	47102.88822
112	47032.95562
113	46916.21947
114	46812.76425
115	46668.37692
116	46610.10858
117	46531.16528
118	46425.44379
119	46346.7887
120	46240.70191
121	46197.21206
122	46120.3577
123	46053.4887
124	45937.3683
125	45878.25487
126	45797.76014
127	45715.25053
128	45672.87776
129	45605.25004
130	45561.03532
131	45482.96902
132	45356.56926
133	45290.26944
134	45209.78589
135	45158.60421
136	45064.32912
137	44994.58829
138	44920.24665
139	44849.12019
140	44784.49484
141	44698.40551
142	44636.92135
143	44601.77244
144	44522.3661
145	44452.14388
146	44375.05585
147	44292.98121
148	44217.0181
149	44151.22197
150	44095.84665
151	44046.23658
152	44023.90568
153	43979.63623
154	43934.40072
155	43791.74432
156	43715.01812
157	43682.84058
158	43619.30277
159	43573.58623
160	43443.56551
161	43391.51497
162	43335.08348
163	43285.80589
164	43254.65058
165	43176.24091
166	43085.26732
167	43013.54657
168	42982.01297
169	42866.9022
170	42801.76461
171	42731.03968
172	42687.63026
173	42614.04636
174	42560.37536
175	42522.35462
176	42479.08768
177	42464.96459
178	42357.53711
179	42311.41619
180	42251.09845
181	42186.19863
182	42037.67933
183	41946.4206
184	41903.7115
185	41853.87064
186	41800.40681
187	41738.07275
188	41628.40522
189	41577.29498
190	41513.50819
191	41486.95957
192	41451.67836
193	41345.44643
194	41273.2771
195	41160.07478
196	41086.57402
197	41033.88018
198	40932.62658
199	40882.41898
200	40781.35212
201	40744.20475
202	40674.20396
203	40597.68465
204	40539.03191
205	40487.71844
206	40399.96278
207	40390.30747
208	40320.57927
209	40242.76463
210	40193.7296
211	40109.46962
212	40033.49066
213	39962.52665
214	39920.27487
215	39872.22458
216	39813.01161
217	39735.90638
218	39727.5996
219	39675.16561
220	39611.43952
221	39489.12026
222	39432.57543
223	39365.54658
224	39303.22105
225	39242.48247
226	39167.73178
227	39058.00439
228	38998.84315
229	38935.28159
230	38850.7318
231	38762.46458
232	38719.70508
233	38661.69429
234	38575.07962
235	38489.25185
236	38408.47832
237	38337.67648
238	38275.50145
239	38206.49942
240	38142.1622
241	38079.29301
242	38029.21053
243	37969.25983
244	37871.66282
245	37810.68954
246	37748.82632
247	37704.60987
248	37648.71479
249	37615.28343
250	37543.32412
251	37509.86531
252	37460.29813
253	37421.20515
254	37388.34284
255	37315.30123
256	37247.2988
257	37147.61224
258	37074.17072
259	37008.87018
260	36935.95327
261	36894.03065
262	36851.47742
263	36791.49071
264	36733.3945
265	36696.80234
266	36604.40097
267	36545.53439
268	36503.47724
269	36427.60958
270	36380.35968
271	36333.77625
272	36285.57691
273	36244.59015
274	36185.92594
275	36127.1576
276	36075.04608
277	36038.14529
278	35967.31375
279	35905.47252
280	35864.08628
281	35825.89936
282	35783.45756
283	35727.51243
284	35678.98055
285	35631.78895
286	35602.2875
287	35584.97656
288	35533.09798
289	35500.42413
290	35466.50619
291	35440.64127
292	35394.0909
293	35316.32525
294	35271.35855
295	35227.91359
296	35177.98444
297	35133.1875
298	35100.84533
299	35059.88449
300	34995.52232
301	34935.34026
302	34892.12729
303	34830.26149
304	34788.67021
305	34748.81151
306	34674.47439
307	34626.42661
308	34580.32159
309	34543.18926
310	34493.40007
311	34464.24047
312	34400.68488
313	34374.35533
314	34343.62387
315	34303.22998
316	34263.34153
317	34229.36307
318	34202.14347
319	34171.27896
320	34123.79333
321	34078.44899
322	34034.8216
323	34000.3019
324	33964.36386
325	33931.42909
326	33895.97094
327	33869.00433
328	33827.56724
329	33800.33925
330	33749.34303
331	33710.77212
332	33665.91559
333	33625.35964
334	33596.46489
335	33561.88726
336	33489.23465
337	33439.37979
338	33391.73019
339	33333.10804
340	33297.77622
341	33259.96782
342	33199.62711
343	33152.5233
344	33111.94644
345	33070.3593
346	33037.57649
347	32996.32404
348	32935.89071
349	32897.38879
350	32861.00897
351	32824.74879
352	32753.32114
353	32668.21903
354	32642.84347
355	32601.21711
356	32576.6392
357	32546.09847
358	32500.26249
359	32418.96349
360	32397.76889
361	32347.22609
362	32314.96849
363	32267.64168
364	32244.58591
365	32212.20525
366	32163.2853
367	32134.43358
368	32107.51802
369	32052.97859
370	32025.5165
371	31986.0783
372	31933.13641
373	31911.1858
374	31876.11143
375	31833.99247
376	31770.60323
377	31729.12866
378	31694.07444
379	31671.57233
380	31652.00323
381	31633.77565
382	31607.74415
383	31565.02788
384	31540.07973
385	31473.94032
386	31408.57248
387	31365.56019
388	31329.22268
389	31293.3866
390	31264.28176
391	31228.70636
392	31207.67939
393	31169.92215
394	31122.20142
395	31101.61632
396	31066.70138
397	31017.55165
398	30953.91484
399	30911.84236
400	30887.5516
401	30841.61337
402	30816.61
403	30792.03646
404	30745.98775
405	30707.76591
406	30683.67145
407	30657.9127
408	30627.51575
409	30603.79436
410	30571.48462
411	30521.88809
412	30498.03944
413	30432.53102
414	30379.23053
415	30364.15399
416	30343.91064
417	30297.1394
418	30267.4729
419	30222.36595
420	30190.45704
421	30134.01406
422	30091.10978
423	30082.28304
424	30057.51126
425	30029.42581
426	29988.08558
427	29951.61226
428	29916.34947
429	29863.93072
430	29823.5048
431	29790.41558
432	29766.19373
433	29740.22623
434	29715.90445
435	29668.38957
436	29633.33916
437	29594.35384
438	29547.64987
439	29514.46775
440	29475.15283
441	29449.90913
442	29411.2548
443	29381.52827
444	29358.21331
445	29337.21189
446	29325.30159
447	29292.97403
448	29256.04769
449	29216.32632
450	29194.41224
451	29143.84224
452	29083.85772
453	29067.04952
454	29025.51841
455	28995.73604
456	28976.73588
457	28960.73506
458	28929.00459
459	28887.28945
460	28838.16859
461	28788.7642
462	28765.49047
463	28739.07422
464	28701.79548
465	28676.08662
466	28654.93103
467	28628.19775
468	28612.82504
469	28585.06093
470	28561.59599
471	28544.69148
472	28522.36457
473	28494.72639
474	28466.31318
475	28447.93966
476	28409.75978
477	28373.59968
478	28346.31897
479	28312.35818
480	28271.99571
481	28242.84149
482	28202.47
483	28171.48661
484	28115.53378
485	28076.13103
486	28036.51658
487	28019.99443
488	27976.65144
489	27951.04928
490	27922.83853
491	27906.1021
492	27851.47149
493	27832.21032
494	27799.64999
495	27763.36713
496	27723.79087
497	27700.30197
498	27688.89954
499	27651.22395
500	27610.11616
501	27594.02653
502	27556.82768
503	27518.91799
504	27500.0028
505	27455.40412
506	27409.04931
507	27371.91367
508	27330.98767
509	27296.06273
510	27259.77052
511	27239.95882
512	27194.59858
513	27174.30669
514	27130.33844
515	27112.85166
516	27079.84386
517	27053.64821
518	27033.66628
519	27019.4592
520	26998.85806
521	26961.14291
522	26922.16529
523	26894.4424
524	26859.6233
525	26830.96827
526	26789.92575
527	26765.54614
528	26739.08404
529	26726.36115
530	26676.48665
531	26637.61124
532	26616.08455
533	26603.47195
534	26581.01014
535	26554.03622
536	26535.6659
537	26515.19649
538	26480.7039
539	26454.97239
540	26442.34656
541	26397.82584
542	26367.3933
543	26337.71891
544	26303.77531
545	26264.80954
546	26238.87927
547	26218.74414
548	26179.27193
549	26158.02825
550	26141.47702
551	26120.6261
552	26091.8423
553	26058.76852
554	26013.15107
555	25991.38612
556	25985.29819
557	25950.55385
558	25936.37478
559	25915.79549
560	25897.29692
561	25868.0687
562	25817.58651
563	25801.25708
564	25756.77613
565	25727.28116
566	25714.87201
567	25698.55838
568	25668.34482
569	25635.31535
570	25619.01683
571	25591.92134
572	25570.44778
573	25545.07055
574	25527.6212
575	25515.53637
