iter	Passed	Remaining
0	8	43011
1	15	39197
2	23	38602
3	29	36651
4	39	39485
5	45	38229
6	54	38741
7	60	37990
8	70	39136
9	79	39597
10	86	39366
11	95	39675
12	102	39349
13	109	39006
14	116	38712
15	124	38705
16	131	38494
17	138	38468
18	145	38139
19	153	38150
20	160	38014
21	170	38681
22	182	39524
23	189	39308
24	198	39426
25	205	39251
26	213	39303
27	222	39471
28	233	40044
29	240	39861
30	249	39924
31	255	39712
32	263	39684
33	271	39591
34	280	39827
35	287	39665
36	296	39706
37	302	39533
38	310	39485
39	317	39416
40	326	39534
41	334	39433
42	342	39515
43	351	39569
44	360	39704
45	369	39780
46	379	40032
47	387	40002
48	398	40258
49	408	40430
50	420	40808
51	432	41118
52	442	41300
53	450	41251
54	460	41372
55	467	41257
56	476	41298
57	483	41177
58	492	41205
59	502	41343
60	509	41260
61	517	41196
62	524	41135
63	533	41156
64	541	41097
65	551	41210
66	560	41297
67	571	41414
68	578	41317
69	588	41444
70	596	41384
71	606	41516
72	617	41685
73	624	41595
74	634	41669
75	642	41638
76	652	41743
77	665	42019
78	673	41965
79	684	42077
80	692	42076
81	700	42031
82	710	42110
83	718	42024
84	726	42016
85	734	41976
86	743	41981
87	752	42005
88	762	42049
89	770	42022
90	778	42009
91	790	42165
92	801	42289
93	817	42690
94	828	42791
95	838	42835
96	846	42767
97	855	42778
98	863	42738
99	874	42839
100	882	42782
101	893	42883
102	904	43024
103	924	43517
104	928	43288
105	953	44028
106	963	44068
107	972	44066
108	981	44029
109	989	44001
110	999	44016
111	1006	43931
112	1015	43934
113	1023	43867
114	1036	44043
115	1049	44189
116	1058	44157
117	1066	44122
118	1074	44074
119	1084	44088
120	1092	44034
121	1100	43991
122	1108	43945
123	1117	43934
124	1125	43876
125	1136	43953
126	1146	43983
127	1154	43927
128	1163	43943
129	1171	43892
130	1180	43886
131	1190	43914
132	1199	43881
133	1207	43840
134	1215	43801
135	1224	43810
136	1232	43744
137	1244	43851
138	1252	43794
139	1261	43784
140	1270	43783
141	1278	43740
142	1287	43733
143	1295	43677
144	1304	43688
145	1312	43626
146	1323	43698
147	1332	43679
148	1342	43709
149	1350	43678
150	1362	43757
151	1372	43767
152	1380	43729
153	1395	43908
154	1406	43957
155	1414	43920
156	1423	43916
157	1434	43948
158	1441	43898
159	1450	43873
160	1457	43818
161	1469	43891
162	1477	43858
163	1486	43837
164	1495	43833
165	1509	43971
166	1531	44314
167	1549	44575
168	1565	44753
169	1583	44995
170	1608	45430
171	1634	45877
172	1655	46197
173	1673	46409
174	1694	46722
175	1717	47086
176	1730	47157
177	1745	47276
178	1764	47522
179	1777	47597
180	1789	47644
181	1811	47966
182	1830	48179
183	1846	48329
184	1867	48606
185	1887	48862
186	1912	49215
187	1934	49503
188	1949	49612
189	1964	49737
190	1976	49768
191	1991	49879
192	2012	50132
193	2029	50279
194	2049	50498
195	2066	50658
196	2076	50616
197	2088	50644
198	2101	50707
199	2110	50661
200	2125	50741
201	2139	50825
202	2151	50837
203	2163	50858
204	2177	50936
205	2188	50937
206	2200	50954
207	2220	51166
208	2242	51416
209	2289	52222
210	2309	52420
211	2329	52617
212	2354	52919
213	2373	53091
214	2396	53336
215	2412	53440
216	2430	53564
217	2451	53774
218	2466	53849
219	2491	54141
220	2515	54403
221	2529	54440
222	2541	54452
223	2562	54629
224	2584	54847
225	2604	55011
226	2635	55424
227	2681	56121
228	2729	56856
229	2763	57314
230	2809	58009
231	2854	58672
232	2888	59101
233	2932	59736
234	2964	60101
235	2995	60475
236	3028	60863
237	3061	61262
