task,system,repeat,repo,git_sha,model,seed,table_report_enabled,tuning_enabled,archive_path,score_init,score_refine_promoted,score_ensemble_best,score_submission,score_final_best,gain_refinement,gain_tuning,gain_total,tune_param_source,tune_winner_source,debug_refinement,debug_tuning,debug_ensemble,contract_violations,context_errors,wall_seconds,exec_seconds,dataops_adherence,log_exit_code,notes
california-housing-prices,skrub-full,run1,mle-star_improved,b7e4adf,openai/gpt-5.4-mini,42,True,True,california-housing-prices/skrub-full/gpt-5.4-mini/run1,56663.26617944707,56663.26617944707,42009.620703660206,42009.620703660206,42009.620703660206,0.0,-1088.9303502727998,14653.645475786863,search,structural,10,0,0,0,0,366.0,97.9,0.629,1,
california-housing-prices,skrub-full,run2,mle-star_improved,b7e4adf,openai/gpt-5.4-mini,42,True,True,california-housing-prices/skrub-full/gpt-5.4-mini/run2,55450.23033340793,52788.182867019386,52740.2855119675,52740.2855119675,52740.2855119675,2662.047466388547,-2954.213410298362,2709.944821440433,search,structural,18,0,0,0,0,693.0,273.8,0.7,1,
california-housing-prices,skrub-full,run3,mle-star_improved,b7e4adf,openai/gpt-5.4-mini,42,True,True,california-housing-prices/skrub-full/gpt-5.4-mini/run3,55135.81809369724,52731.607553090864,52453.8511596343,52453.8511596343,52453.8511596343,2404.2105406063783,-1144.357391960235,2681.9669340629407,search,structural,6,0,0,1,0,879.0,650.9,0.714,1,
california-housing-prices,vanilla,run1,mle-star_vanilla,eb59252,openai/gpt-5.4-mini,42,True,True,california-housing-prices/vanilla/gpt-5.4-mini/run1,54744.38349559489,54744.38349559489,50094.58591311571,50094.58591311571,50094.58591311571,0.0,,4649.797582479179,,,4,0,4,0,0,1823.0,813.2,0.0,1,
california-housing-prices,vanilla,run2,mle-star_vanilla,eb59252,openai/gpt-5.4-mini,42,True,True,california-housing-prices/vanilla/gpt-5.4-mini/run2,54252.04214961905,10550.38251636155,10385.223823399949,10385.223823399949,10385.223823399949,43701.6596332575,,43866.8183262191,,,4,0,2,0,0,1855.0,1229.8,0.0,1,suspected validation leakage (RMSE ~10k)
california-housing-prices,vanilla,run3,mle-star_vanilla,eb59252,openai/gpt-5.4-mini,42,True,True,california-housing-prices/vanilla/gpt-5.4-mini/run3,54744.38349559489,54555.71236670992,54462.4752707816,55041.249166577,54462.4752707816,188.67112888496922,,281.9082248132909,,,4,0,0,0,0,1864.0,1628.9,0.0,1,
spaceship-titanic,skrub-full,run1,mle-star_improved,b7e4adf,openai/gpt-5.4-mini,42,True,True,spaceship-titanic/skrub-full/gpt-5.4-mini/run1,0.7872340425531915,0.7872340425531915,0.7855089131684876,0.7883841288096607,0.7883841288096607,0.0,-0.0034502587694077436,0.0011500862564691738,plan_defaults,structural,16,4,0,0,0,2221.0,794.6,0.643,1,
spaceship-titanic,skrub-full,run2,mle-star_improved,b7e4adf,openai/gpt-5.4-mini,42,True,True,spaceship-titanic/skrub-full/gpt-5.4-mini/run2,0.7872340425531915,0.7872340425531915,0.7906843013225991,0.7860839562967222,0.7906843013225991,0.0,-0.002875215641173101,0.0034502587694076325,search,structural,10,0,0,0,0,1989.0,1425.5,0.657,1,
spaceship-titanic,skrub-full,run3,mle-star_improved,b7e4adf,openai/gpt-5.4-mini,42,True,True,spaceship-titanic/skrub-full/gpt-5.4-mini/run3,0.7918343875790684,0.7918343875790684,0.7878090856814262,0.7872340425531915,0.7918343875790684,0.0,-0.004600345025876917,0.0,search,structural,10,0,0,1,0,2954.0,1674.3,0.614,1,
spaceship-titanic,vanilla,run1,mle-star_vanilla,b7e4adf,openai/gpt-5.4-mini,42,True,True,spaceship-titanic/vanilla/gpt-5.4-mini/run1,0.824036802760207,0.824036802760207,0.825570251102166,0.8127798173610183,0.825570251102166,0.0,,0.0015334483419590095,,,0,0,2,0,0,2449.0,1666.4,0.0,1,
spaceship-titanic,vanilla,run2,mle-star_vanilla,b7e4adf,openai/gpt-5.4-mini,42,True,True,spaceship-titanic/vanilla/gpt-5.4-mini/run2,0.8257619321449109,0.8257619321449109,0.8136860264519838,0.8131109833237493,0.8257619321449109,0.0,,0.0,,,0,0,2,0,0,2761.0,1875.5,0.0,1,
spaceship-titanic,vanilla,run3,mle-star_vanilla,b7e4adf,openai/gpt-5.4-mini,42,True,True,spaceship-titanic/vanilla/gpt-5.4-mini/run3,0.8234617596319724,0.8234617596319724,0.811917634878638,0.811917634878638,0.8234617596319724,0.0,,0.0,,,0,0,7,0,0,3505.0,3186.3,0.0,1,
