task,variant,run,run_path,model,lower_is_better,score_init,score_refine_promoted,score_refine_improve_best,score_tune_search,score_tune_bake,score_ensemble_best,score_submission,score_final_best,gain_refinement,gain_tuning,gain_total,tune_param_source,tune_winner_source,tune_plan_focus,table_report_chars,debug_refinement,debug_tuning,debug_ensemble,contract_violations,context_errors,had_sentinel_failure,wall_seconds,exec_seconds,dataops_adherence,log_exit_code
california-housing-prices,skrub-full/gpt-5.4-mini,run1,experiments/phase1/california-housing-prices/skrub-full/gpt-5.4-mini/run1,openai/gpt-5.4-mini,True,56663.26617944707,56663.26617944707,56804.499078858986,57752.19652971987,57752.19652971987,42009.620703660206,42009.620703660206,42009.620703660206,0.0,-1088.9303502727998,14653.645475786863,search,structural,model,1158,10,0,0,0,0,False,366.0,97.9,0.629,1
california-housing-prices,skrub-full/gpt-5.4-mini,run2,experiments/phase1/california-housing-prices/skrub-full/gpt-5.4-mini/run2,openai/gpt-5.4-mini,True,55450.23033340793,52788.182867019386,52788.182867019386,55742.39627731775,55742.39627731775,52740.2855119675,52740.2855119675,52740.2855119675,2662.047466388547,-2954.213410298362,2709.944821440433,search,structural,model,1158,18,0,0,0,0,False,693.0,273.8,0.7,1
california-housing-prices,skrub-full/gpt-5.4-mini,run3,experiments/phase1/california-housing-prices/skrub-full/gpt-5.4-mini/run3,openai/gpt-5.4-mini,True,55135.81809369724,52731.607553090864,52731.607553090864,53875.9649450511,53875.9649450511,52453.8511596343,52453.8511596343,52453.8511596343,2404.2105406063783,-1144.357391960235,2681.9669340629407,search,structural,model,1158,6,0,0,1,0,False,879.0,650.9,0.714,1
california-housing-prices,vanilla/gpt-5.4-mini,run1,experiments/phase1/california-housing-prices/vanilla/gpt-5.4-mini/run1,openai/gpt-5.4-mini,True,54744.38349559489,54744.38349559489,51587.72081065463,,,50094.58591311571,50094.58591311571,50094.58591311571,0.0,,4649.797582479179,,,,0,4,0,4,0,0,True,1823.0,813.2,0.0,1
california-housing-prices,vanilla/gpt-5.4-mini,run2,experiments/phase1/california-housing-prices/vanilla/gpt-5.4-mini/run2,openai/gpt-5.4-mini,True,54252.04214961905,10550.38251636155,10550.38251636155,,,10385.223823399949,10385.223823399949,10385.223823399949,43701.6596332575,,43866.8183262191,,,,0,4,0,2,0,0,False,1855.0,1229.8,0.0,1
california-housing-prices,vanilla/gpt-5.4-mini,run3,experiments/phase1/california-housing-prices/vanilla/gpt-5.4-mini/run3,openai/gpt-5.4-mini,True,54744.38349559489,54555.71236670992,54555.71236670992,,,54462.4752707816,55041.249166577,54462.4752707816,188.67112888496922,,281.9082248132909,,,,0,4,0,0,0,0,False,1864.0,1628.9,0.0,1
spaceship-titanic,skrub-full/gpt-5.4-mini/legacy,run1,experiments/phase1/spaceship-titanic/skrub-full/gpt-5.4-mini/legacy/run1,openai/gpt-5.4-mini,False,0.7901092581943646,0.7901092581943646,0.7860839562967222,0.4556210808256099,0.4618885153097478,0.8027602070155262,0.7998849913743531,0.8027602070155262,0.0,-0.32822074288461683,0.012650948821161578,search,structural,model,1183,24,0,0,0,0,False,984.0,348.1,0.629,1
spaceship-titanic,skrub-full/gpt-5.4-mini,run1,experiments/phase1/spaceship-titanic/skrub-full/gpt-5.4-mini/run1,openai/gpt-5.4-mini,False,0.7872340425531915,0.7872340425531915,0.7947096032202415,,0.7837837837837838,0.7855089131684876,0.7883841288096607,0.7883841288096607,0.0,-0.0034502587694077436,0.0011500862564691738,plan_defaults,structural,model,1183,16,4,0,0,0,False,2221.0,794.6,0.643,1
spaceship-titanic,skrub-full/gpt-5.4-mini,run2,experiments/phase1/spaceship-titanic/skrub-full/gpt-5.4-mini/run2,openai/gpt-5.4-mini,False,0.7872340425531915,0.7872340425531915,0.7855089131684876,0.7469810235767682,0.7843588269120184,0.7906843013225991,0.7860839562967222,0.7906843013225991,0.0,-0.002875215641173101,0.0034502587694076325,search,structural,model,1183,10,0,0,0,0,False,1989.0,1425.5,0.657,1
spaceship-titanic,skrub-full/gpt-5.4-mini,run3,experiments/phase1/spaceship-titanic/skrub-full/gpt-5.4-mini/run3,openai/gpt-5.4-mini,False,0.7918343875790684,0.7918343875790684,0.7883841288096607,0.7929844738355377,0.7872340425531915,0.7878090856814262,0.7872340425531915,0.7918343875790684,0.0,-0.004600345025876917,0.0,search,structural,model,1183,10,0,0,1,0,False,2954.0,1674.3,0.614,1
spaceship-titanic,vanilla/gpt-5.4-mini,run1,experiments/phase1/spaceship-titanic/vanilla/gpt-5.4-mini/run1,openai/gpt-5.4-mini,False,0.824036802760207,0.824036802760207,0.8234617596319724,,,0.825570251102166,0.8127798173610183,0.825570251102166,0.0,,0.0015334483419590095,,,,0,0,0,2,0,0,False,2449.0,1666.4,0.0,1
spaceship-titanic,vanilla/gpt-5.4-mini,run2,experiments/phase1/spaceship-titanic/vanilla/gpt-5.4-mini/run2,openai/gpt-5.4-mini,False,0.8257619321449109,0.8257619321449109,0.828637147786084,,,0.8136860264519838,0.8131109833237493,0.8257619321449109,0.0,,0.0,,,,0,0,0,2,0,0,False,2761.0,1875.5,0.0,1
spaceship-titanic,vanilla/gpt-5.4-mini,run3,experiments/phase1/spaceship-titanic/vanilla/gpt-5.4-mini/run3,openai/gpt-5.4-mini,False,0.8234617596319724,0.8234617596319724,0.8228867165037378,,,0.811917634878638,0.811917634878638,0.8234617596319724,0.0,,0.0,,,,0,0,0,7,0,0,False,3505.0,3186.3,0.0,1
