iter	Passed	Remaining
0	7	7545
1	15	7875
2	22	7588
3	31	7756
4	38	7563
5	46	7693
6	53	7554
7	60	7515
8	70	7712
9	82	8188
10	90	8133
11	98	8132
12	106	8079
13	114	8056
14	123	8087
15	132	8128
16	141	8158
17	157	8610
18	167	8633
19	176	8626
20	184	8597
21	197	8782
22	208	8842
23	217	8864
24	237	9264
25	262	9850
26	282	10181
27	303	10532
28	323	10822
29	344	11145
30	368	11518
31	387	11730
32	423	12423
33	446	12692
34	459	12662
35	467	12530
36	479	12470
37	492	12473
38	511	12602
39	534	12831
40	561	13133
41	571	13040
42	580	12924
43	588	12787
44	598	12696
45	606	12572
46	615	12489
47	625	12413
48	633	12302
49	643	12230
50	654	12172
51	663	12101
52	673	12025
53	682	11961
54	691	11875
55	698	11780
56	708	11714
57	716	11632
58	726	11587
59	737	11553
60	745	11475
61	754	11410
62	762	11336
63	771	11276
64	778	11204
65	787	11139
66	795	11071
67	804	11029
68	817	11025
69	833	11074
70	847	11091
71	856	11041
72	867	11016
73	877	10975
74	886	10928
75	894	10869
76	902	10812
77	910	10761
78	919	10718
79	929	10693
80	938	10648
81	948	10616
82	958	10587
83	967	10545
84	975	10498
85	983	10447
86	992	10418
87	1001	10381
88	1009	10335
89	1019	10313
90	1028	10271
91	1037	10238
92	1045	10195
93	1060	10218
94	1069	10191
95	1080	10170
96	1089	10141
97	1099	10122
98	1111	10111
99	1128	10153
100	1146	10202
101	1168	10287
102	1188	10351
103	1202	10363
104	1215	10357
105	1227	10354
106	1244	10384
107	1264	10439
108	1281	10471
109	1301	10527
110	1327	10629
111	1337	10608
112	1347	10579
113	1358	10562
114	1376	10596
115	1391	10605
116	1423	10743
117	1451	10849
118	1502	11124
119	1526	11195
120	1561	11346
121	1592	11461
122	1634	11657
123	1656	11699
124	1668	11682
125	1684	11681
126	1695	11656
127	1711	11661
128	1728	11670
129	1740	11645
130	1761	11685
131	1781	11711
132	1800	11737
133	1815	11730
134	1835	11758
135	1843	11711
136	1856	11694
137	1871	11689
138	1884	11675
139	1896	11647
140	1909	11633
141	1924	11628
142	1934	11595
143	1945	11565
144	1955	11530
145	1964	11493
146	1976	11468
147	1985	11429
148	2002	11438
149	2015	11419
150	2030	11417
151	2045	11409
152	2061	11412
153	2071	11378
154	2094	11419
155	2113	11432
156	2131	11446
157	2145	11434
158	2164	11450
159	2180	11447
160	2195	11442
161	2214	11457
162	2243	11522
163	2262	11531
164	2278	11533
165	2296	11536
166	2312	11535
167	2332	11552
168	2360	11607
169	2396	11702
170	2423	11747
171	2441	11755
172	2461	11766
173	2487	11806
174	2523	11895
175	2541	11898
176	2567	11938
177	2580	11916
178	2593	11894
179	2610	11892
180	2625	11878
181	2637	11852
182	2651	11837
183	2665	11820
184	2676	11792
185	2690	11775
186	2702	11750
187	2714	11724
188	2726	11699
189	2738	11672
190	2750	11651
191	2765	11638
192	2780	11627
193	2801	11641
194	2815	11624
195	2831	11616
196	2846	11604
197	2862	11595
198	2880	11595
199	2900	11601
200	2915	11589
201	2931	11581
202	2947	11571
203	2965	11573
204	2980	11557
205	2995	11546
206	3010	11533
207	3021	11506
208	3036	11490
209	3058	11505
210	3071	11486
