iter	Passed	Remaining
0	11	1180
1	21	1052
2	31	1024
3	43	1045
4	54	1033
5	69	1091
6	84	1125
7	95	1099
8	108	1093
9	118	1062
10	127	1029
11	136	997
12	145	976
13	155	952
14	167	950
15	177	929
16	188	920
17	199	908
18	208	890
19	219	876
20	229	862
21	238	845
22	249	833
23	259	820
24	268	806
25	278	793
26	289	783
27	299	770
28	308	755
29	319	745
30	331	737
31	341	725
32	352	715
33	364	708
34	376	698
35	386	687
36	397	676
37	407	664
38	417	652
39	426	639
40	438	630
41	449	620
42	459	608
43	469	597
44	479	585
45	488	573
46	498	562
47	509	551
48	518	539
49	529	529
50	538	517
51	548	506
52	560	497
53	572	487
54	582	476
55	595	467
56	605	456
57	616	446
58	626	435
59	636	424
60	647	414
61	657	403
62	668	392
63	679	382
64	691	372
65	701	361
66	712	350
67	724	340
68	734	330
69	745	319
70	758	309
71	769	299
72	780	288
73	791	278
74	802	267
75	813	256
76	823	246
77	849	239
78	872	231
79	885	221
80	898	210
81	910	199
82	922	188
83	933	177
84	951	167
85	963	156
86	976	145
87	988	134
88	1000	123
89	1012	112
90	1024	101
91	1039	90
92	1062	79
93	1083	69
94	1109	58
95	1124	46
96	1142	35
97	1153	23
98	1166	11
99	1178	0
