iter	Passed	Remaining
0	45	45647
1	63	31664
2	82	27383
3	102	25519
4	118	23553
5	137	22767
6	154	21979
7	172	21331
8	192	21246
9	210	20872
10	227	20457
11	245	20239
12	262	19927
13	280	19785
14	298	19594
15	318	19609
16	343	19857
17	360	19678
18	377	19514
19	395	19356
20	412	19235
21	431	19160
22	448	19046
23	467	19004
24	485	18941
25	503	18855
26	521	18797
27	541	18811
28	591	19789
29	613	19849
30	633	19809
31	657	19886
32	677	19843
33	696	19779
34	714	19705
35	733	19645
36	752	19589
37	773	19572
38	791	19502
39	813	19515
40	831	19444
41	851	19433
42	874	19455
43	894	19426
44	913	19393
45	935	19408
46	956	19388
47	981	19458
48	1006	19525
49	1024	19474
50	1044	19433
51	1064	19414
52	1085	19396
53	1114	19521
54	1133	19469
55	1152	19426
56	1172	19402
57	1192	19374
58	1214	19364
59	1233	19326
60	1256	19338
61	1275	19303
62	1294	19258
63	1322	19336
64	1350	19420
65	1377	19498
66	1397	19454
67	1416	19411
68	1453	19608
69	1477	19636
70	1506	19710
71	1560	20119
72	1607	20414
73	1644	20573
74	1685	20783
75	1734	21088
76	1774	21267
77	1830	21642
78	1886	21998
79	1941	22324
80	1992	22605
81	2035	22792
82	2072	22898
83	2095	22846
84	2120	22828
85	2147	22819
86	2171	22787
87	2194	22746
88	2219	22715
89	2247	22726
90	2275	22727
91	2315	22855
92	2340	22824
93	2363	22784
94	2384	22716
95	2406	22657
96	2428	22603
97	2448	22534
98	2473	22515
99	2494	22450
100	2533	22549
101	2565	22584
102	2594	22596
103	2618	22563
104	2642	22521
105	2663	22461
106	2684	22402
107	2705	22349
108	2728	22305
109	2748	22239
110	2768	22174
111	2788	22106
112	2808	22042
113	2829	21987
114	2852	21950
115	2872	21893
116	2891	21823
117	2910	21756
118	2934	21722
119	2966	21753
120	2992	21736
121	3012	21682
122	3035	21640
123	3060	21617
124	3084	21591
125	3107	21554
126	3126	21491
127	3150	21461
128	3171	21411
129	3190	21354
130	3213	21315
131	3235	21274
132	3264	21278
133	3290	21268
134	3320	21274
135	3347	21269
136	3367	21213
137	3386	21154
138	3405	21095
139	3428	21060
140	3449	21013
141	3485	21063
142	3534	21180
143	3568	21213
144	3607	21273
145	3643	21314
146	3667	21280
147	3687	21226
148	3710	21191
149	3731	21143
150	3752	21098
151	3772	21049
152	3793	21000
153	3819	20983
154	3848	20981
155	3868	20931
156	3891	20897
157	3915	20867
158	3938	20829
159	3957	20777
160	3977	20728
161	3999	20688
162	4018	20635
163	4037	20580
164	4059	20541
165	4086	20533
166	4107	20486
167	4125	20433
168	4146	20388
169	4166	20342
170	4185	20291
171	4205	20243
172	4229	20217
173	4251	20181
174	4277	20163
175	4297	20119
176	4319	20082
177	4339	20039
178	4358	19988
179	4377	19940
180	4397	19898
181	4417	19853
182	4437	19813
183	4462	19788
184	4506	19853
185	4527	19813
186	4551	19787
187	4578	19774
188	4602	19748
189	4621	19700
190	4644	19672
191	4672	19662
192	4695	19632
193	4714	19587
194	4734	19546
195	4755	19506
196	4776	19468
197	4802	19452
198	4828	19433
199	4847	19390
200	4867	19348
201	4897	19348
202	4918	19311
203	4938	19268
204	4959	19235
205	4980	19197
206	5005	19176
207	5026	19140
208	5053	19126
209	5075	19094
210	5098	19064
211	5122	19039
212	5144	19007
213	5163	18966
214	5183	18924
215	5203	18887
216	5225	18855
217	5257	18858
218	5276	18815
219	5295	18773
220	5315	18736
221	5334	18696
222	5354	18657
223	5375	18623
224	5400	18601
225	5424	18578
226	5464	18609
227	5487	18580
228	5511	18557
229	5536	18535
230	5566	18530
231	5586	18492
232	5607	18459
233	5628	18426
234	5652	18401
235	5674	18368
236	5699	18350
237	5719	18311
238	5740	18279
239	5762	18247
240	5782	18210
241	5803	18177
242	5824	18144
243	5849	18122
244	5871	18092
245	5891	18058
246	5913	18028
247	5934	17996
248	5955	17962
249	5975	17926
250	5997	17896
251	6018	17862
252	6041	17838
253	6064	17811
254	6085	17779
255	6105	17743
256	6124	17707
257	6144	17670
258	6168	17647
259	6188	17614
260	6211	17587
261	6233	17559
262	6254	17527
263	6273	17490
264	6293	17455
265	6314	17423
266	6334	17390
267	6353	17354
268	6373	17320
269	6404	17315
270	6439	17323
271	6458	17287
272	6480	17258
273	6509	17247
274	6532	17221
275	6555	17195
276	6574	17160
277	6596	17132
278	6617	17101
279	6637	17068
280	6661	17044
281	6685	17021
282	6706	16990
283	6726	16957
284	6754	16944
285	6778	16923
286	6798	16889
287	6820	16860
288	6846	16842
289	6865	16808
290	6885	16776
291	6905	16744
292	6927	16715
293	6946	16680
294	6966	16647
295	6986	16616
296	7009	16592
297	7031	16564
298	7051	16531
299	7075	16510
300	7095	16478
301	7115	16444
302	7134	16411
303	7156	16383
304	7175	16350
305	7198	16325
306	7225	16310
307	7249	16287
308	7268	16253
309	7289	16224
310	7311	16198
311	7332	16169
312	7352	16137
313	7386	16137
314	7428	16154
315	7452	16131
316	7471	16097
317	7497	16080
318	7517	16048
319	7536	16014
320	7566	16005
321	7589	15979
322	7611	15953
323	7631	15922
324	7651	15890
325	7670	15858
326	7693	15833
327	7714	15805
328	7735	15775
329	7755	15746
330	7774	15713
331	7793	15681
332	7820	15663
333	7840	15634
334	7860	15603
335	7880	15573
336	7900	15542
337	7928	15528
338	7951	15504
339	7974	15479
340	7993	15447
341	8012	15415
342	8038	15396
343	8057	15364
344	8082	15345
345	8102	15315
346	8121	15284
347	8143	15257
348	8163	15227
349	8183	15198
350	8204	15169
351	8226	15143
352	8252	15125
353	8274	15099
354	8296	15073
355	8315	15043
356	8336	15014
357	8355	14984
358	8400	14998
359	8422	14973
360	8442	14944
361	8462	14914
362	8486	14891
363	8508	14866
364	8532	14844
365	8553	14816
366	8582	14802
367	8601	14771
368	8626	14752
369	8648	14725
370	8670	14700
371	8690	14670
372	8709	14640
373	8730	14613
374	8749	14583
375	8768	14552
376	8789	14524
377	8810	14498
378	8835	14476
379	8854	14446
380	8875	14420
381	8895	14390
382	8914	14360
383	8933	14331
384	8954	14303
385	8973	14273
386	8993	14245
387	9014	14219
388	9035	14191
389	9054	14162
390	9075	14135
391	9100	14114
392	9123	14091
393	9144	14064
394	9164	14037
395	9192	14021
396	9217	14000
397	9239	13974
398	9258	13946
399	9280	13920
400	9309	13906
401	9332	13882
402	9376	13890
403	9401	13869
404	9427	13849
405	9450	13826
406	9473	13803
407	9492	13773
408	9511	13744
409	9533	13719
410	9556	13695
411	9579	13671
412	9600	13645
413	9619	13616
414	9639	13588
415	9665	13568
416	9685	13540
417	9707	13516
418	9728	13490
419	9749	13463
420	9772	13440
421	9794	13414
