iter	Logloss
0	0.6806456471
1	0.6693634644
2	0.6578334193
3	0.6487026391
4	0.6390113199
5	0.6304189288
6	0.6246218955
7	0.6170681105
8	0.6099032569
9	0.6021655291
10	0.5958019872
11	0.5888800419
12	0.5826392843
13	0.5778166195
14	0.571109519
15	0.5650999022
16	0.5612007029
17	0.5560717468
18	0.5503685152
19	0.5453389518
20	0.5416206144
21	0.5378594621
22	0.5349835279
23	0.532556356
24	0.5294492519
25	0.5262741402
26	0.5230417549
27	0.5189441666
28	0.516638345
29	0.5140621596
30	0.5117638322
31	0.5088303585
32	0.5071454541
33	0.5050104688
34	0.5024377495
35	0.500840256
36	0.4987904119
37	0.4967074411
38	0.4950835076
39	0.493207671
40	0.4911609603
41	0.4885793956
42	0.4866604533
43	0.484137037
44	0.4820373441
45	0.480391014
46	0.4786247254
47	0.4769491262
48	0.4747290409
49	0.4728466599
50	0.4714413409
51	0.4704626613
52	0.4690035232
53	0.4675108839
54	0.465688659
55	0.4645220075
56	0.4630815958
57	0.4615498171
58	0.4607754158
59	0.4597499621
60	0.458567099
61	0.4579003182
62	0.4568617684
63	0.4557892847
64	0.4548456068
65	0.4542048777
66	0.4532912328
67	0.4526050625
68	0.4518861182
69	0.4514198413
70	0.450611028
71	0.4496681247
72	0.4491093755
73	0.4481304078
74	0.4475756316
75	0.4469883617
76	0.4462181834
77	0.4454149805
78	0.444872305
79	0.4442908752
80	0.4435646721
81	0.4427881133
82	0.4422155379
83	0.4415012077
84	0.4409095058
85	0.4401565646
86	0.4396447186
87	0.4390321947
88	0.4386809274
89	0.4381896289
90	0.4377876816
91	0.4371663936
92	0.4363725697
93	0.4358459763
94	0.4353994036
95	0.4348849687
96	0.4344295894
97	0.4336377933
98	0.4330488198
99	0.4325950612
100	0.4322249506
101	0.4316546602
102	0.4311382717
103	0.4304762675
104	0.4297648972
105	0.4294090157
106	0.4287564878
107	0.4284761885
108	0.4279936188
109	0.4276101545
110	0.4273409467
111	0.4265698717
112	0.4260801196
113	0.4256337979
114	0.4252266988
115	0.4248433003
116	0.4244751961
117	0.4240814314
118	0.4237370737
119	0.4234212799
120	0.4225825847
121	0.4221678152
122	0.4216964966
123	0.4213464425
124	0.4209707248
125	0.420622816
126	0.4201097064
127	0.4196962096
128	0.4194603969
129	0.4190335231
130	0.4186205183
131	0.4183363458
132	0.4178766134
133	0.4176285006
134	0.4172135335
135	0.4170278
136	0.4167048911
137	0.4161995489
138	0.4159356973
139	0.4155506712
140	0.415146171
141	0.4149354997
142	0.4146378535
143	0.4142896077
144	0.4140851963
145	0.4137115371
146	0.413468098
147	0.4130353479
148	0.4126477329
149	0.4122854534
150	0.4120172116
151	0.4117662853
152	0.4114242452
153	0.4110921971
154	0.4107139958
155	0.4103302449
156	0.4101036659
157	0.4098266282
158	0.409538936
159	0.4092274877
160	0.4087800002
161	0.4084851422
162	0.4081384534
163	0.4078725371
164	0.4075773407
165	0.4072028593
166	0.4068434573
167	0.4065382983
168	0.406199971
169	0.4059786549
170	0.4057817841
171	0.4054532655
172	0.4051891938
173	0.4048782882
174	0.4044081392
175	0.404165999
176	0.4038329694
177	0.4034469517
178	0.4030601749
179	0.4027845198
180	0.4026057319
181	0.4023686618
182	0.4020059618
183	0.401803883
184	0.4015619519
185	0.4011289287
186	0.4008908971
187	0.4006269996
188	0.4003300825
189	0.3999972353
190	0.3997613558
191	0.3994823012
192	0.3991476513
193	0.3984270172
194	0.3982074439
195	0.3978947735
196	0.3976505803
197	0.3973641462
198	0.3970789
199	0.3968360372
200	0.396445529
201	0.3961672726
202	0.3958607779
203	0.3956193075
204	0.3953159166
205	0.3950228233
206	0.3947586974
207	0.3944660359
208	0.3942154911
209	0.3939530639
210	0.3936479732
211	0.3934619414
212	0.3931952446
213	0.3929043458
214	0.3926175253
215	0.3922846618
216	0.3919707297
217	0.3917681772
218	0.391565382
219	0.3913622947
220	0.3910922417
221	0.3907934026
222	0.3905419117
223	0.3903417884
224	0.3901048507
225	0.3896996375
226	0.3892118266
227	0.3889729649
228	0.388716014
229	0.3883892277
230	0.388109682
231	0.38790345
232	0.3876779445
233	0.3873712104
234	0.3871605205
235	0.3869885855
236	0.3867586136
237	0.3863288108
238	0.3861257431
239	0.3859249102
240	0.3857021349
241	0.385482744
242	0.3852698324
243	0.3850395425
244	0.3848442568
245	0.384621363
246	0.384438493
247	0.3842131035
248	0.3839741207
249	0.3836823986
250	0.3835528145
251	0.3833377795
252	0.3831323146
253	0.3828505653
254	0.3825841825
255	0.3823095399
256	0.3820338549
257	0.3814432156
258	0.381212737
259	0.3809747288
260	0.3807004745
261	0.3803683377
262	0.3801598218
263	0.3799470599
264	0.3797084762
265	0.3794799553
266	0.3792836938
267	0.3789789545
268	0.3787631204
269	0.3785017875
270	0.3782588591
271	0.3780367739
272	0.3778085107
273	0.377596771
274	0.3772617786
