iter	Logloss
0	0.6648418125
1	0.6433185474
2	0.6203850893
3	0.6054845007
4	0.5880546877
5	0.5788468757
6	0.5656606214
7	0.5512189604
8	0.5398059972
9	0.5297707676
10	0.5195095493
11	0.5117375931
12	0.5038346878
13	0.4970386984
14	0.4903162337
15	0.4857196252
16	0.4803460283
17	0.4761363997
18	0.470821625
19	0.4662542302
20	0.4618872618
21	0.4579103028
22	0.4545885211
23	0.4520284601
24	0.4482996447
25	0.4449738134
26	0.4413591697
27	0.4380211786
28	0.4349824002
29	0.4326872543
30	0.4290576392
31	0.4268339879
32	0.4255231879
33	0.4240206394
34	0.4216260332
35	0.4199321285
36	0.4191117094
37	0.417469318
38	0.4161087197
39	0.4147742898
40	0.414080305
41	0.4128917115
42	0.412545098
43	0.4109960508
44	0.4095053632
45	0.4079117337
46	0.4060723042
47	0.4046649954
48	0.4032095413
49	0.402131727
50	0.4019042506
51	0.4008755977
52	0.3995487485
53	0.3984514447
54	0.397153211
55	0.3962364069
56	0.3956319303
57	0.3944914475
58	0.392772434
59	0.3922962559
60	0.3915099561
61	0.3904653966
62	0.388917431
63	0.3881123668
64	0.3877067462
65	0.3866775437
66	0.3860822063
67	0.3856293228
68	0.3848006826
69	0.3837615714
70	0.382508147
71	0.3815600187
72	0.3810776472
73	0.3797113966
74	0.3789501956
75	0.3782567186
76	0.3779474945
77	0.3773450533
78	0.3766975714
79	0.376134142
80	0.3754174755
81	0.3748428268
82	0.3741252931
83	0.373539169
84	0.3730260204
85	0.3717168618
86	0.3712954736
87	0.3712336374
88	0.3704716986
89	0.3690204116
90	0.3678345576
91	0.3671633769
92	0.3663460707
93	0.3661110832
94	0.3656855968
95	0.3649807479
96	0.3648192915
97	0.3642420001
98	0.3637533094
99	0.3632987281
100	0.3631999517
101	0.3620238153
102	0.3613741103
103	0.3608496176
104	0.3604655845
105	0.3600970802
106	0.3596986203
107	0.3596575141
108	0.3591384666
109	0.3586613383
110	0.3578150226
111	0.3575106842
112	0.3569237169
113	0.3561765838
114	0.3559085088
115	0.3556171375
116	0.3553906792
117	0.3547317556
118	0.3542840675
119	0.3539368674
120	0.3534860908
121	0.3528330643
122	0.3520256617
123	0.3513884438
124	0.351153302
125	0.3508111972
126	0.3504863584
127	0.3500970341
128	0.3500970341
129	0.3499853045
130	0.3498148512
131	0.3495833632
132	0.3494630639
133	0.3485955919
134	0.348173718
135	0.3481447227
136	0.3476340179
137	0.3475285859
138	0.3470804877
139	0.3464925966
140	0.3460924561
141	0.3457982981
142	0.3454389721
143	0.3454049213
144	0.3450872861
145	0.3446248968
146	0.3444912095
147	0.3440933334
148	0.3439398177
149	0.3437798448
150	0.3437174376
151	0.3432330561
152	0.3429274626
153	0.3422665853
154	0.3415972147
155	0.3410261512
156	0.3405822516
157	0.3403852868
158	0.3397523874
159	0.3395661704
160	0.3393939019
161	0.3388946943
162	0.3385460384
163	0.3383118012
164	0.3376488779
165	0.3373754932
166	0.3367673846
167	0.3365096008
168	0.3361614258
169	0.3359398746
170	0.3356164012
171	0.3350505711
172	0.3346070544
173	0.3341389992
174	0.3336551841
175	0.3331665616
176	0.3329059753
177	0.3326537457
178	0.3325031277
179	0.3321183534
180	0.3314985698
181	0.3310745238
182	0.3306412113
183	0.3303305973
184	0.329556461
185	0.3292466466
186	0.3288417336
187	0.3284575546
188	0.3282393765
189	0.3272625217
190	0.3268235105
191	0.3261389749
192	0.3257220033
193	0.3254249016
194	0.3251364749
195	0.3249892524
196	0.3245705109
197	0.3242393266
198	0.3235628893
199	0.3233493582
200	0.3230273309
201	0.3227092
202	0.3224836059
203	0.3220701202
204	0.3219062871
205	0.3216149485
206	0.3210751201
207	0.3207858087
208	0.3206423544
209	0.319966999
210	0.319397273
211	0.3191289781
212	0.3188305045
213	0.3182111982
214	0.3170631071
215	0.316499789
216	0.3160603998
217	0.31590631
218	0.3154047625
219	0.3152273387
220	0.3148533938
221	0.3145178385
222	0.3135499064
223	0.313235762
224	0.3131584671
225	0.3126426138
226	0.3120859604
227	0.311757616
228	0.3113632935
229	0.3109398877
230	0.3104524537
231	0.3099787392
232	0.3099729095
233	0.3097862985
234	0.30942548
235	0.3090204236
236	0.3084649484
237	0.3076872948
238	0.3071511312
239	0.3066141068
240	0.3060928788
241	0.3056423271
242	0.305332122
243	0.3046491383
244	0.3044840381
245	0.3041799054
246	0.3036999302
247	0.3032757193
248	0.3029762602
249	0.3026675063
250	0.302032733
251	0.3017399408
252	0.3013892795
253	0.3011246935
254	0.3007343489
255	0.3006529587
256	0.3006450455
257	0.3001864213
258	0.2997771706
259	0.2990544306
260	0.2987110257
261	0.2984108994
262	0.2981599772
263	0.2979576872
264	0.2977885215
265	0.2974589606
266	0.2971206028
267	0.2968131611
268	0.2968041956
269	0.2964572482
270	0.2958776886
271	0.2956058046
272	0.2953127688
273	0.2950903371
274	0.2947759553
275	0.2946836275
276	0.2944132125
277	0.2941459151
278	0.2937630188
279	0.2934536734
280	0.293089223
281	0.2928752702
282	0.2926207434
283	0.292091589
284	0.2919428009
285	0.291238968
286	0.2910292747
287	0.2907025773
288	0.2903202311
289	0.2897316502
290	0.2896146912
291	0.2892651565
292	0.289070175
293	0.2885660507
294	0.2883745885
295	0.2880750932
296	0.2878386391
297	0.28759656
298	0.2873172088
299	0.2867354462
300	0.2860193958
301	0.2857586088
302	0.2854245671
303	0.2849355733
304	0.2845541713
305	0.28439149
306	0.2835284662
307	0.2833538016
308	0.2828263845
309	0.2825959935
310	0.2825751274
311	0.2823455881
312	0.2820670517
313	0.2819274359
314	0.281657319
315	0.2814027233
316	0.2810160388
317	0.2802659307
318	0.2800592152
319	0.2796718941
320	0.2794072921
321	0.2788678932
322	0.2787034606
323	0.2785602535
324	0.2780984283
325	0.2779195947
326	0.2776181547
327	0.2773317143
328	0.2768623963
329	0.2768605076
330	0.2764998709
331	0.2761205096
332	0.2760043348
333	0.2758155913
334	0.275659882
335	0.2753112317
336	0.2747225848
337	0.2743410389
338	0.2739294364
339	0.2737140403
340	0.2735768077
341	0.2733101954
342	0.2730197054
343	0.2724077708
344	0.2720365844
345	0.2715657778
346	0.271083354
347	0.2709457353
348	0.2707759251
349	0.2705139473
350	0.2703751566
351	0.2701118166
352	0.2700152906
353	0.2698964695
354	0.2697048544
355	0.2694129918
356	0.2689306764
357	0.2688067519
358	0.268499937
359	0.2682760194
360	0.268173304
361	0.2678571057
362	0.2670457436
363	0.2667250969
364	0.2663960374
365	0.2659052425
366	0.2658261453
367	0.2653919643
368	0.2651148805
369	0.2650133598
370	0.2647412091
371	0.2644431327
372	0.2643637893
373	0.2641338448
374	0.2636779149
375	0.2632907902
376	0.2630839152
377	0.262831813
378	0.2626023652
379	0.2621798927
380	0.2614255368
381	0.2612540448
382	0.260871471
383	0.2607848168
384	0.2606763539
385	0.2604263075
386	0.2601867641
387	0.259927452
388	0.2596204997
389	0.2592153928
390	0.2589633862
391	0.2587971261
392	0.2586210177
393	0.2582942395
394	0.2579884135
395	0.2579459647
396	0.257832237
397	0.2577236996
398	0.2576036268
399	0.2573076674
400	0.2572017981
401	0.2568228828
402	0.2567373928
403	0.2565410606
404	0.2559227362
405	0.2554760419
406	0.2552400781
407	0.2551549481
408	0.2549183581
409	0.254886251
410	0.2544048735
411	0.2538060696
412	0.2531661098
413	0.2526795402
414	0.2525373443
415	0.2519513589
416	0.2517261748
417	0.2514009367
418	0.2512417596
419	0.2509138589
420	0.2505835372
421	0.2500568603
422	0.24989856
423	0.249683016
424	0.2494405252
425	0.2488718114
426	0.2486933362
427	0.248223812
428	0.2481223905
429	0.2480257438
430	0.2478935745
431	0.2476415624
432	0.2475792745
433	0.2475502355
434	0.2472476522
435	0.2471363341
436	0.2470575575
437	0.2469692893
