iter	Passed	Remaining
0	49	99020
1	91	90946
2	165	110474
3	204	101995
4	254	101387
5	274	91334
6	320	91158
7	433	107913
8	493	109133
9	542	107921
10	595	107680
11	659	109302
12	722	110387
13	781	110834
14	831	110046
15	889	110331
16	959	111978
17	1004	110602
18	1041	108553
19	1116	110505
20	1178	111092
21	1246	112084
22	1295	111325
23	1388	114328
24	1460	115413
25	1510	114692
26	1580	115523
27	1626	114541
28	1671	113597
29	1712	112468
30	1756	111596
31	1794	110361
32	1841	109771
33	1902	110015
34	1950	109496
35	1999	109077
36	2054	109017
37	2094	108136
38	2151	108197
39	2200	107810
40	2222	106207
41	2276	106124
42	2287	104108
43	2361	104974
44	2423	105294
45	2476	105201
46	2533	105272
47	2600	105760
48	2666	106172
49	2704	105491
50	2723	104096
51	2766	103634
52	2811	103266
53	2865	103276
54	2930	103638
55	2974	103267
56	3021	102987
57	3065	102657
58	3102	102078
59	3121	100937
60	3162	100539
61	3199	100007
62	3242	99701
63	3283	99313
64	3378	100567
65	3428	100459
66	3464	99962
67	3506	99630
68	3561	99661
69	3595	99121
70	3630	98642
71	3671	98316
72	3706	97834
73	3744	97447
74	3782	97096
75	3840	97216
76	3890	97166
77	3936	97004
78	3982	96840
79	4017	96430
80	4070	96425
81	4136	96750
82	4180	96563
83	4215	96163
84	4270	96217
85	4328	96339
86	4379	96288
87	4389	95375
88	4444	95433
89	4492	95330
90	4544	95327
91	4614	95695
92	4674	95860
93	4714	95597
94	4762	95499
95	4815	95498
96	4874	95624
97	4938	95846
98	4991	95847
99	5037	95707
100	5088	95682
101	5149	95826
102	5193	95656
103	5240	95546
104	5280	95298
105	5340	95424
106	5399	95517
107	5411	94800
108	5457	94676
109	5508	94648
110	5547	94406
111	5587	94190
112	5626	93958
113	5665	93729
114	5706	93535
115	5752	93420
116	5787	93137
117	5824	92891
118	5858	92606
119	5899	92424
120	5935	92165
121	5974	91972
122	6009	91707
123	6046	91470
124	6086	91292
125	6128	91151
126	6170	90995
127	6208	90802
128	6221	90234
129	6266	90146
130	6341	90478
131	6418	90836
132	6439	90393
133	6489	90371
134	6536	90294
135	6550	89784
136	6596	89708
137	6611	89203
138	6665	89244
139	6703	89056
140	6749	88992
141	6788	88829
142	6833	88733
143	6846	88242
144	6897	88234
145	6931	88024
146	6948	87588
147	6999	87582
148	7043	87493
149	7085	87392
150	7126	87261
151	7175	87240
152	7215	87110
153	7287	87361
154	7340	87369
155	7425	87775
156	7492	87950
157	7561	88153
158	7628	88322
159	7670	88212
160	7725	88248
161	7777	88239
162	7850	88470
163	7895	88395
164	7971	88657
165	8025	88672
166	8072	88600
167	8119	88538
168	8189	88729
169	8285	89187
170	8339	89194
171	8380	89068
172	8454	89282
173	8490	89103
174	8537	89038
175	8581	88932
176	8629	88879
177	8672	88770
178	8694	88455
179	8740	88377
180	8786	88302
181	8863	88536
182	8945	88816
183	9087	89694
184	9146	89732
185	9199	89721
186	9269	89866
187	9334	89971
188	9380	89880
189	9433	89863
190	9486	89849
191	9533	89771
192	9588	89774
193	9634	89688
