iter	Logloss
0	0.6653635922
1	0.6423574128
2	0.6200843663
3	0.6011889616
4	0.5835671097
5	0.5713889229
6	0.5590153467
7	0.5486074374
8	0.5376716634
9	0.5282680926
10	0.5201577718
11	0.5115528672
12	0.5044985578
13	0.4995244487
14	0.4929944324
15	0.488398981
16	0.4819755932
17	0.4782454489
18	0.4736859985
19	0.4695831088
20	0.4669493686
21	0.4637991783
22	0.4623409637
23	0.4586388627
24	0.4560015527
25	0.4531811245
26	0.4502446279
27	0.4475806964
28	0.4457046461
29	0.4417862491
30	0.4392241002
31	0.4359469954
32	0.4331778211
33	0.4309389586
34	0.4291828394
35	0.4272537614
36	0.4254706035
37	0.4234933294
38	0.4213358753
39	0.4187008421
40	0.417031792
41	0.4157332682
42	0.414369689
43	0.4128283843
44	0.4116398004
45	0.4103662575
46	0.4090290434
47	0.40720402
48	0.4058899141
49	0.4050388749
50	0.4030982621
51	0.4021512595
52	0.401406514
53	0.4011041166
54	0.3992506317
55	0.3985463674
56	0.3974117334
57	0.3964314991
58	0.3958464864
59	0.394959351
60	0.3946897617
61	0.3945764657
62	0.3941538105
63	0.3932007827
64	0.3921124343
65	0.3910767356
66	0.3903127131
67	0.3897460518
68	0.3890521193
69	0.3880599299
70	0.3876943323
71	0.3865487605
72	0.3855175412
73	0.3854371434
74	0.3847902056
75	0.3841127768
76	0.3827026903
77	0.3820844562
78	0.380895823
79	0.3803999701
80	0.37989016
81	0.3795644182
82	0.3789266016
83	0.3785125051
84	0.3775829603
85	0.3767232241
86	0.3764198929
87	0.3759930312
88	0.3753084898
89	0.3742288224
90	0.3733601805
91	0.3728717928
92	0.3722795571
93	0.3718797023
94	0.3713278141
95	0.3706082938
96	0.3701220832
97	0.3697089615
98	0.3695909786
99	0.3692728565
100	0.3689010516
101	0.368398974
102	0.3671993657
103	0.3661348633
104	0.365374341
105	0.3652755841
106	0.3647994596
107	0.3641011359
108	0.3637627483
109	0.3630402091
110	0.3624578372
111	0.3621889006
112	0.3617053302
113	0.3606399311
114	0.3604535601
115	0.3600920113
116	0.3593217182
117	0.359242161
118	0.3589368504
119	0.3583527249
120	0.3577620365
121	0.3569737282
122	0.3563620968
123	0.3555565207
124	0.3549789867
125	0.3545373912
126	0.3539345037
127	0.3534799764
128	0.3534799761
129	0.3529000365
130	0.3524512703
131	0.3517676651
132	0.351268417
133	0.3505470138
134	0.34971884
135	0.349594933
136	0.3494884141
137	0.3490411332
138	0.3485538842
139	0.3480958052
140	0.3474640616
141	0.347199754
142	0.3469690587
143	0.3469083496
144	0.3466528526
145	0.3463553903
146	0.3462670624
147	0.3457428971
148	0.3456969239
149	0.3452961353
150	0.3449756628
151	0.3448524689
152	0.3445974547
153	0.3442908359
154	0.3439258072
155	0.3437472273
156	0.3437472179
157	0.3436215115
158	0.3435182799
159	0.3430936879
160	0.3423725384
161	0.3420338763
162	0.3415569812
163	0.3412092067
164	0.3410034451
165	0.3402098996
166	0.3398634947
167	0.3395148071
168	0.3391733587
169	0.3385761266
170	0.3379606046
171	0.3379120789
172	0.3374216256
173	0.3371923871
174	0.3370579427
175	0.3367920111
176	0.3362548634
177	0.3357639969
178	0.3355252234
179	0.3351344067
180	0.3345816171
181	0.3339668588
182	0.3337685695
183	0.3332191403
184	0.3331968435
185	0.332601804
186	0.331820041
187	0.3315715569
188	0.3312830465
189	0.3308072798
190	0.3298323672
191	0.3292848683
192	0.328735388
193	0.3280984518
194	0.3276291651
195	0.326793153
196	0.3259747884
197	0.3252701061
