iter	Passed	Remaining
0	34	69612
1	64	64617
2	99	66041
3	135	67554
4	172	68680
5	203	67731
6	232	66263
7	265	66203
8	294	65160
9	350	69729
10	394	71396
11	432	71643
12	462	70739
13	499	70891
14	535	70808
15	571	70812
16	607	70844
17	638	70354
18	670	69878
19	709	70234
20	740	69760
21	772	69489
22	786	67562
23	818	67398
24	853	67450
25	892	67755
26	929	67888
27	966	68041
28	997	67775
29	1024	67278
30	1062	67509
31	1096	67451
32	1135	67675
33	1168	67547
34	1214	68210
35	1246	68013
36	1284	68136
37	1345	69465
38	1379	69340
39	1422	69687
40	1462	69857
41	1498	69840
42	1536	69940
43	1572	69920
44	1606	69777
45	1644	69859
46	1678	69743
47	1719	69914
48	1819	72465
49	1929	75255
50	2030	77610
51	2100	78674
52	2149	78976
53	2188	78870
54	2221	78543
55	2235	77612
56	2265	77214
57	2299	77008
58	2360	77641
59	2391	77334
60	2402	76355
61	2411	75380
62	2458	75582
63	2494	75460
64	2531	75359
65	2563	75109
66	2599	75010
67	2634	74837
68	2668	74667
69	2706	74609
70	2741	74472
71	2778	74396
72	2812	74231
73	2825	73546
74	2853	73240
75	2885	73054
76	2925	73059
77	2978	73392
78	3015	73326
79	3056	73359
80	3090	73208
81	3122	73042
82	3156	72915
83	3188	72728
84	3223	72621
85	3252	72376
86	3321	73027
87	3355	72904
88	3395	72900
89	3436	72923
90	3472	72842
91	3510	72806
92	3543	72655
93	3569	72381
94	3604	72272
95	3639	72174
96	3695	72497
97	3730	72407
98	3740	71833
99	3783	71892
100	3818	71803
101	3853	71707
102	3885	71560
103	3931	71678
104	3982	71882
105	3994	71372
106	4038	71447
107	4089	71633
108	4135	71740
109	4186	71936
110	4223	71882
111	4283	72208
112	4336	72417
113	4380	72478
114	4417	72414
115	4458	72406
116	4503	72472
117	4524	72162
118	4558	72048
119	4593	71966
120	4645	72135
121	4689	72187
122	4719	72013
123	4755	71944
124	4800	72000
125	4834	71907
126	4869	71818
127	4904	71726
128	4916	71306
129	4950	71206
130	5000	71338
131	5042	71357
132	5076	71265
133	5124	71356
134	5166	71380
135	5201	71293
136	5219	70975
137	5283	71293
138	5316	71177
139	5364	71272
140	5411	71342
141	5449	71307
142	5486	71251
143	5510	71018
144	5546	70952
145	5578	70835
146	5592	70492
147	5625	70388
148	5641	70086
149	5674	69986
150	5710	69920
151	5751	69932
152	5784	69830
153	5819	69763
154	5865	69817
155	5901	69756
156	5911	69399
157	5966	69563
158	5979	69232
159	6013	69157
160	6060	69226
161	6095	69154
162	6129	69083
163	6170	69080
164	6209	69051
165	6271	69293
166	6308	69247
167	6347	69221
168	6381	69138
169	6430	69218
170	6466	69165
171	6477	68844
172	6512	68774
173	6551	68755
174	6594	68773
175	6627	68681
176	6673	68738
177	6704	68625
178	6738	68547
179	6776	68515
180	6822	68566
181	6867	68595
182	6907	68583
183	6948	68583
184	6986	68538
185	7019	68462
186	7052	68372
187	7082	68264
188	7119	68223
189	7156	68172
190	7191	68109
191	7248	68254
192	7278	68149
193	7313	68087
194	7357	68106
195	7393	68050
196	7428	67989
197	7464	67935
198	7497	67852
199	7526	67740
200	7569	67751
201	7604	67684
202	7638	67617
203	7670	67528
204	7705	67466
205	7737	67385
206	7768	67289
207	7806	67258
208	7844	67224
209	7875	67125
210	7915	67109
211	7949	67043
212	7980	66954
213	8011	66858
214	8049	66830
215	8086	66791
216	8117	66698
217	8156	66675
218	8192	66628
219	8254	66786
220	8296	66788
221	8337	66778
222	8378	66764
223	8412	66699
224	8448	66650
225	8483	66591
226	8517	66526
227	8549	66446
228	8584	66391
229	8627	66392
230	8670	66401
231	8754	66711
232	8799	66730
233	8851	66798
234	8882	66712
235	8910	66602
236	8944	66539
237	8980	66484
238	9015	66427
239	9050	66368
240	9090	66351
241	9124	66281
242	9153	66186
243	9221	66365
244	9256	66303
245	9285	66208
246	9320	66151
247	9355	66090
248	9391	66040
249	9428	65996
250	9457	65899
251	9492	65846
252	9525	65772
253	9567	65764
254	9598	65681
255	9631	65613
256	9663	65539
257	9701	65502
258	9732	65421
259	9766	65361
260	9801	65303
261	9832	65223
262	9863	65142
263	9899	65096
264	9934	65042
265	9964	64959
266	9998	64899
267	10032	64834
268	10063	64760
269	10096	64692
270	10139	64689
271	10195	64774
272	10237	64763
273	10274	64721
274	10308	64659
275	10343	64609
276	10379	64563
277	10406	64461
278	10437	64382
279	10473	64339
280	10505	64267
281	10535	64187
282	10578	64184
283	10614	64137
284	10649	64083
285	10678	63999
286	10717	63967
287	10749	63898
288	10782	63838
289	10823	63819
290	10852	63734
291	10886	63676
292	10916	63596
293	10951	63546
294	10979	63455
295	11008	63375
296	11039	63297
297	11071	63234
298	11109	63199
299	11160	63243
300	11202	63230
301	11236	63177
302	11274	63145
303	11307	63083
304	11343	63042
305	11373	62960
306	11413	62940
307	11446	62878
308	11478	62816
309	11507	62732
310	11544	62698
311	11572	62611
312	11605	62551
313	11657	62596
314	11706	62619
315	11763	62690
316	11804	62669
317	11837	62613
318	11878	62592
319	11917	62567
320	11948	62498
321	11980	62431
322	12010	62359
323	12048	62327
324	12085	62284
325	12126	62271
